institution;period;euro;doi;is_hybrid
Åbo Akademi University;2020;4830,46;10.3791/61125;TRUE
Åbo Akademi University;2020;1871,01;10.1371/journal.pone.0229376;FALSE
Åbo Akademi University;2020;1868,13;10.3390/vaccines8030408;FALSE
Åbo Akademi University;2020;900,15;10.3390/scipharm88040057;FALSE
Åbo Akademi University;2020;434;10.18291/njwls.123623;FALSE
Åbo Akademi University;2020;1766,65;10.1016/j.biocel.2020.105878;TRUE
Åbo Akademi University;2020;2919,23;10.3898/175864320829334834;TRUE
Åbo Akademi University;2020;2690,8;10.1057/s41304-019-00230-4;TRUE
Åbo Akademi University;2020;1066,4;10.1057/s41599-020-0459-7;FALSE
Åbo Akademi University;2020;1735,06;10.1089/phage.2020.0021;TRUE
Åbo Akademi University;2020;1686,29;10.1016/j.electacta.2020.137566;TRUE
Åbo Akademi University;2020;3206,86;10.3389/feart.2020.591871;FALSE
Åbo Akademi University;2020;1550;10.1080/17482631.2020.1734276;FALSE
Åbo Akademi University;2020;864,02;10.33805/2641-8991.124;FALSE
Åbo Akademi University;2020;1068,83;10.1016/j.ijnss.2020.09.011;FALSE
Åbo Akademi University;2020;1636,8;10.1080/17482631.2020.1857950;FALSE
Åbo Akademi University;2020;1931,66;10.1016/j.carbon.2020.11.094;TRUE
Åbo Akademi University;2020;2102,61;10.3390/molecules25051160;FALSE
Åbo Akademi University;2020;1240,81;10.3390/en13236164;FALSE
Åbo Akademi University;2020;1868,13;10.3390/biom10081114;FALSE
Åbo Akademi University;2020;2058,09;10.3390/nano11010014;FALSE
Åbo Akademi University;2020;1629,89;10.3390/pharmaceutics12010033;FALSE
Åbo Akademi University;2020;1768,13;10.3390/pharmaceutics12080726;FALSE
Åbo Akademi University;2020;602,19;10.3389/fpsyg.2020.01744;FALSE
Åbo Akademi University;2020;850,74;10.1155/2020/3939718;FALSE
Åbo Akademi University;2020;3350,15;10.1523/ENEURO.0303-19.2019;FALSE
Åbo Akademi University;2020;3185,63;10.1096/fj.202001046R;TRUE
Åbo Akademi University;2020;2999,56;10.1093/emph/eoaa049;FALSE
Åbo Akademi University;2020;3100;10.3389/fchem.2020.602941;FALSE
Åbo Akademi University;2020;1852,29;https://doi.org/10.3390/en14010101;FALSE
Åbo Akademi University;2020;2418;10.1163/15718107-08902001;TRUE
Åbo Akademi University;2020;3093,8;10.1080/15374416.2020.1731820;TRUE
Åbo Akademi University;2020;1847,6;10.1039/C9TB01958H;TRUE
Åbo Akademi University;2020;2086,57;https://doi.org/10.3390/s20133678;FALSE
Åbo Akademi University;2020;1000;10.1186/s12913-020-05323-1;FALSE
Åbo Akademi University;2020;2120,75;10.1136/bmjopen-2020-042234;FALSE
Åbo Akademi University;2020;1738,12;https://doi.org/10.3390/cells9020440;FALSE
Åbo Akademi University;2020;1016,33;10.1016/j.ipm.2019.102127;TRUE
Åbo Akademi University;2020;1101,02;10.1016/j.jrurstud.2019.10.017;TRUE
Åbo Akademi University;2020;845,3;https://doi.org/10.1002/jip.1557;TRUE
Åbo Akademi University;2020;186;https://doi.org/10.7752/jpes.2020.s6422;FALSE
Åbo Akademi University;2020;806;https://doi.org/10.22495/cocv17i3art12;FALSE
Åbo Akademi University;2020;1844,14;10.1016/j.bbamcr.2019.07.002;TRUE
