institution;period;euro;doi;is_hybrid
Åbo Akademi University;2024;1438,4;https://doi.org/10.1080/02673843.2024.2302102;FALSE
Åbo Akademi University;2024;3091,92;https://doi.org/10.3390/batteries10010036;FALSE
Åbo Akademi University;2024;3088,19;https://doi.org/10.3389/fmars.2024.1304442;FALSE
Åbo Akademi University;2024;3118,18;https://doi.org/10.3389/fpsyg.2024.1112103 ;FALSE
Åbo Akademi University;2024;1438,4;https://doi.org/10.1080/02673843.2024.2306889;FALSE
Åbo Akademi University;2024;2907,8;https://doi.org/10.1038/s41598-024-54160-3;FALSE
Åbo Akademi University;2024;1783,29;https://doi.org/10.1098/rsos.230651;FALSE
Åbo Akademi University;2024;632,4;https://doi.org/10.3991/ijep.v14i4.45957;FALSE
Åbo Akademi University;2024;1402,76;https://doi.org/10.1121/10.0025523;FALSE
Åbo Akademi University;2024;12759,6;https://doi.org/10.1038/s41558-024-01981-9;TRUE
Åbo Akademi University;2024;4819,2;10.1080/13825585.2024.2436996;TRUE
Åbo Akademi University;2024;3978,35;10.1080/00224499.2024.2445742;TRUE
Åbo Akademi University;2024;7055,6;10.1038/s41467-024-48149-9;FALSE
Åbo Akademi University;2024;2907,8;10.1038/s41598-024-61337-3;FALSE
Åbo Akademi University;2024;1001,31;10.3389/fpos.2024.1415403;FALSE
Åbo Akademi University;2024;2907,8;10.1038/s41598-024-63687-4;FALSE
Åbo Akademi University;2024;2998,16;10.3390/en17153779;FALSE
Åbo Akademi University;2024;713,05;10.1177/21582440241256224;FALSE
Åbo Akademi University;2024;6293,89;10.1371/journal.pbio.3002740;FALSE
Åbo Akademi University;2024;2026,83;10.1080/02673843.2024.2387792;FALSE
Åbo Akademi University;2024;3162,6;10.1080/17482631.2024.2422142;FALSE
Åbo Akademi University;2024;2942,98;10.1038/s41598-024-75595-8;FALSE
Åbo Akademi University;2024;4819,2;10.1080/13825585.2024.2436996;TRUE
Åbo Akademi University;2024;2624,21;https://doi.org/10.1016/j.egyr.2024.12.027;FALSE
Åbo Akademi University;2024;1527,03;10.23865/njlr.v10.6120;FALSE
Åbo Akademi University;2024;2002,6;10.1080/02673843.2024.2373278;FALSE
Åbo Akademi University;2024;2050,29;https://doi.org/10.1136/archdischild-2023-326331;TRUE
Åbo Akademi University;2024;2579,2;https://doi.org/10.1016/j.cstres.2024.03.001;FALSE
Åbo Akademi University;2024;4096,81;https://doi.org/10.1152/ajpgi.00220.2023;TRUE
Åbo Akademi University;2024;4111,95;10.1152/ajpcell.00123.2024;TRUE
Åbo Akademi University;2024;1686,4;10.1016/j.crsust.2024.100259;FALSE
Åbo Akademi University;2024;1981,52;10.1016/j.heliyon.2024.e28949;FALSE
Åbo Akademi University;2024;1993,68;10.3389/frobt.2024.1332110;FALSE
Åbo Akademi University;2024;627,5;10.1024/2673-8627/a000062;FALSE
Åbo Akademi University;2024;2232;10.3233/WOR-230166;TRUE
Åbo Akademi University;2024;5253,68;10.1021/acs.energyfuels.4c02666;TRUE
Åbo Akademi University;2024;5488,87;10.1021/acs.energyfuels.4c04516;TRUE
Åbo Akademi University;2024;2566,48; https://doi.org/10.1007/s10856-024-06795-x;FALSE
