"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Bern University of Applied Sciences",2017,2283.99,"10.3389/fphar.2017.00942",FALSE,"Frontiers Media SA","Frontiers in Pharmacology","1663-9812",NA,"1663-9812","1663-9812","https://creativecommons.org/licenses/by/4.0/",TRUE,"29403372","PMC5779072","ut:000422755500001","https://www.frontiersin.org/articles/10.3389/fphar.2017.00942/full",TRUE
"",,,"","","","","","","","","","","","","","",""
"Bern University of Applied Sciences",2017,2960.29,"10.1016/j.biortech.2017.03.050",TRUE,"Elsevier BV","Bioresource Technology","0960-8524","0960-8524",NA,"0960-8524","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28400170",NA,"ut:000402482600018","https://www.sciencedirect.com/science/article/pii/S0960852417303206?via%3Dihub",FALSE
"Bern University of Applied Sciences",2017,1350,"10.5194/esurf-5-451-2017",FALSE,"Copernicus GmbH","Earth Surface Dynamics","2196-632X",NA,"2196-632X","2196-632X","https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000419312700001","https://www.earth-surf-dynam.net/5/451/2017/esurf-5-451-2017.pdf",TRUE
"Bern University of Applied Sciences",2017,1233.85,"10.3390/su9060871",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000404133200002","https://www.mdpi.com/2071-1050/9/6/871/htm",TRUE
"Bern University of Applied Sciences",2017,1499.4,"10.5194/nhess-17-291-2017",FALSE,"Copernicus GmbH","Natural Hazards and Earth System Sciences","1684-9981",NA,"1684-9981","1561-8633","https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000395189600001","https://www.nat-hazards-earth-syst-sci.net/17/291/2017/nhess-17-291-2017.pdf",TRUE
"Bern University of Applied Sciences",2017,1364.34,"10.1186/s12711-017-0358-6",FALSE,"Springer Nature","Genetics Selection Evolution","1297-9686",NA,"1297-9686","0999-193X",NA,TRUE,"29115934","PMC5674839","ut:000414762800003","https://gsejournal.biomedcentral.com/track/pdf/10.1186/s12711-017-0358-6?site=gsejournal.biomedcentral.com",TRUE
"Bern University of Applied Sciences",2017,2200,"10.1007/s00421-017-3675-0",TRUE,"Springer Nature","European Journal of Applied Physiology","1439-6319","1439-6319","1439-6327","1439-6319","http://creativecommons.org/licenses/by/4.0",TRUE,"28674921","PMC5556133","ut:000407724700002","https://link.springer.com/content/pdf/10.1007%2Fs00421-017-3675-0.pdf",FALSE
"Bern University of Applied Sciences",2018,1399.05,"10.1371/journal.pone.0206549",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"30388151","PMC6214539","ut:000449289800040","https://doi.org/10.1371/journal.pone.0206549",TRUE
"Bern University of Applied Sciences",2018,979.47,"10.3390/su10061792",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000436570100104","https://doi.org/10.3390/su10061792",TRUE
"Bern University of Applied Sciences",2018,1545.71,"10.23880/oajar-16000206",FALSE,"Medwin","Open Access Journal of Agricultural Research","2474-8846",NA,NA,"2474-8846",NA,FALSE,NA,NA,NA,"https://medwinpublishers.com/OAJAR/OAJAR16000206.pdf",FALSE
"Bern University of Applied Sciences",2018,1281.96,"10.3390/atmos9040146",FALSE,"MDPI AG","Atmosphere","2073-4433",NA,"2073-4433","2073-4433","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000435178000032","https://doi.org/10.3390/atmos9040146",TRUE
"Bern University of Applied Sciences",2018,1203,"10.1002/nop2.198",FALSE,"Wiley-Blackwell","Nursing Open","2054-1058",NA,NA,"2054-1058","http://creativecommons.org/licenses/by/4.0/",TRUE,"30534405","PMC6279720","ut:000452867200015","https://doi.org/10.1002/nop2.198",TRUE
