"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Bern University of Applied Sciences",2020,1600.55,"10.3390/nu12092595",FALSE,"MDPI AG","Nutrients","2072-6643",NA,"2072-6643","2072-6643","https://creativecommons.org/licenses/by/4.0/",TRUE,"32859048","PMC7550988","ut:000581200100001","https://www.mdpi.com/2072-6643/12/9/2595",TRUE
"Bern University of Applied Sciences",2020,1527.16,"10.3390/su12166412",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000579602900001","https://www.mdpi.com/2071-1050/12/16/6412",TRUE
"Bern University of Applied Sciences",2020,1740.08,"10.3390/ma13102360",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944","1996-1944","https://creativecommons.org/licenses/by/4.0/",TRUE,"32455527","PMC7287867","ut:000539277000152","https://www.mdpi.com/1996-1944/13/10/2360",TRUE
"Bern University of Applied Sciences",2020,2337.09,"10.1186/s12978-020-0882-7",FALSE,"Springer Nature","Reproductive Health","1742-4755",NA,"1742-4755","1742-4755","http://creativecommons.org/licenses/by/4.0/",TRUE,"32066475","PMC7027089","ut:000517156400002","https://reproductive-health-journal.biomedcentral.com/articles/10.1186/s12978-020-0882-7",TRUE
"Bern University of Applied Sciences",2020,1802.6,"10.3389/fnut.2020.00037",FALSE,"Frontiers Media SA","Frontiers in Nutrition","2296-861X",NA,"2296-861X","2296-861X","https://creativecommons.org/licenses/by/4.0/",TRUE,"32328497","PMC7161344","ut:000529871300001","https://www.frontiersin.org/articles/10.3389/fnut.2020.00037/full",TRUE
"Bern University of Applied Sciences",2020,1499.65,"10.1371/journal.pone.0244097",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"33434228","PMC7802975","ut:000609979700028","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0244097",TRUE
"Bern University of Applied Sciences",2020,3532.56,"10.1016/j.agee.2020.106963",TRUE,"Elsevier BV","Agriculture, Ecosystems & Environment","0167-8809","0167-8809",NA,"0167-8809","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000540169600005","https://www.sciencedirect.com/science/article/pii/S0167880920301481",FALSE
"Bern University of Applied Sciences",2020,1120,"10.1016/j.techfore.2020.120177",TRUE,"Elsevier BV","Technological Forecasting and Social Change","0040-1625","0040-1625",NA,"0040-1625","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000554927000052","https://doi.org/10.1016/j.techfore.2020.120177",FALSE
"Bern University of Applied Sciences",2020,506.19,"10.1016/j.wdp.2020.100237",TRUE,"Elsevier BV","World Development Perspectives","2452-2929","2452-2929",NA,"2452-2929","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,"https://www.sciencedirect.com/science/article/pii/S2452292920300576#!",FALSE
"Bern University of Applied Sciences",2020,1550.39,"10.3390/en13143653",FALSE,"MDPI AG","Energies","1996-1073",NA,"1996-1073","1996-1073","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000554210800001","https://www.mdpi.com/1996-1073/13/14/3653",TRUE
"Bern University of Applied Sciences",2020,1250,"10.3233/thc-202392",TRUE,"IOS Press","Technology and Health Care","0928-7329","0928-7329","1878-7401","0928-7329","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"32741796",NA,NA,"https://content.iospress.com/articles/technology-and-health-care/thc202392",FALSE
"Bern University of Applied Sciences",2020,3295.62,"10.1007/s00253-020-10595-y",TRUE,"Springer Nature","Applied Microbiology and Biotechnology","0175-7598","0175-7598","1432-0614","0175-7598","https://creativecommons.org/licenses/by/4.0",TRUE,"32337627","PMC7275028","ut:000528966800002","https://link.springer.com/article/10.1007/s00253-020-10595-y",FALSE
"Bern University of Applied Sciences",2020,1485.04,"10.3390/f11030345",FALSE,"MDPI AG","Forests","1999-4907",NA,"1999-4907","1999-4907","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000530221500095","https://www.mdpi.com/1999-4907/11/3/345",TRUE
"Bern University of Applied Sciences",2020,1560.75,"10.3390/w12030893",FALSE,"MDPI AG","Water","2073-4441",NA,"2073-4441","2073-4441","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000529249500278","https://www.mdpi.com/2073-4441/12/3/893",TRUE
"Bern University of Applied Sciences",2019,1176.14,"10.3390/app10020593",FALSE,"MDPI AG","Applied Sciences","2076-3417",NA,"2076-3417","2076-3417","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000522540400169","https://www.mdpi.com/2076-3417/10/2/593",TRUE
