"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Bern University of Applied Sciences",2025,2643.05,"10.1038/s41598-025-24890-z",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,"41266444","PMC12635262",NA,"https://www.nature.com/articles/s41598-025-24890-z",TRUE
"Bern University of Applied Sciences",2025,2070.05,"10.3389/fspor.2025.1387934",FALSE,"Frontiers Media SA","Frontiers in Sports and Active Living","2624-9367",NA,"2624-9367","2624-9367","https://creativecommons.org/licenses/by/4.0/",TRUE,"40248211","PMC12003351",NA,"https://www.frontiersin.org/journals/sports-and-active-living/articles/10.3389/fspor.2025.1387934/full",TRUE
"Bern University of Applied Sciences",2025,1925,"10.5194/nhess-25-467-2025",FALSE,"Copernicus GmbH","Natural Hazards and Earth System Sciences","1684-9981",NA,"1684-9981","1561-8633","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://nhess.copernicus.org/articles/25/467/2025/",TRUE
"Bern University of Applied Sciences",2025,3124.09,"10.1186/s12913-025-12251-5",FALSE,"Springer Nature","BMC Health Services Research","1472-6963",NA,"1472-6963","1472-6963","https://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,"39815296","PMC11734235",NA,"https://link.springer.com/article/10.1186/s12913-025-12251-5",TRUE
"Bern University of Applied Sciences",2025,1826.89,"10.1186/s44247-025-00149-5",FALSE,"Springer Nature","BMC Digital Health","2731-684X",NA,"2731-684X","2731-684X","https://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,NA,NA,NA,"https://link.springer.com/article/10.1186/s44247-025-00149-5",TRUE
"Bern University of Applied Sciences",2025,1987.73,"10.2196/70753",FALSE,"JMIR Publications Inc.","JMIR Medical Informatics","2291-9694",NA,"2291-9694","2291-9694","CC BY",TRUE,"41213114","PMC12599995",NA,"https://medinform.jmir.org/2025/1/e70753",TRUE
"Bern University of Applied Sciences",2025,2891.42,"10.2196/79449",FALSE,"JMIR Publications Inc.","Journal of Medical Internet Research","1438-8871",NA,"1438-8871","1438-8871","CC BY",TRUE,"41428384","PMC12770925",NA,"https://www.jmir.org/2025/1/e79449",TRUE
"Bern University of Applied Sciences",2025,2578.88,"10.3389/ijph.2025.1608014",FALSE,"Frontiers Media SA","International Journal of Public Health","1661-8564",NA,"1661-8564","1661-8556","https://creativecommons.org/licenses/by/4.0/",TRUE,"40160302","PMC11949752",NA,"https://www.ssph-journal.org/journals/international-journal-of-public-health/articles/10.3389/ijph.2025.1608014/full",TRUE
"Bern University of Applied Sciences",2025,2881.51,"10.2196/63573",FALSE,"JMIR Publications Inc.","JMIR mHealth and uHealth","2291-5222",NA,"2291-5222","2291-5222","CC BY",TRUE,"40854233","PMC12377792",NA,"https://mhealth.jmir.org/2025/1/e63573",TRUE
"Bern University of Applied Sciences",2025,2416.42,"10.3390/ma18204719",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944","1996-1944","https://creativecommons.org/licenses/by/4.0/",TRUE,"41156950","PMC12565642",NA,"https://www.mdpi.com/1996-1944/18/20/4719",FALSE
"Bern University of Applied Sciences",2025,2435.26,"10.3390/s25227040",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"41305247","PMC12656555",NA,"https://www.mdpi.com/1424-8220/25/22/7040",TRUE
"Bern University of Applied Sciences",2025,2449.6,"10.3390/bios15040214",FALSE,"MDPI AG","Biosensors","2079-6374",NA,"2079-6374","2079-6374","https://creativecommons.org/licenses/by/4.0/",TRUE,"40277527","PMC12024833",NA,"https://www.mdpi.com/2079-6374/15/4/214",TRUE
"Bern University of Applied Sciences",2025,3713.67,"10.1093/ptj/pzaf097",TRUE,"Oxford University Press (OUP)","Physical Therapy","0031-9023","0031-9023","1538-6724","0031-9023","https://creativecommons.org/licenses/by/4.0/",TRUE,"40801269","PMC12448435",NA,"https://academic.oup.com/ptj/article/105/9/pzaf097/8233084?login=true",FALSE
"Bern University of Applied Sciences",2025,1631.46,"10.2196/78339",FALSE,"JMIR Publications Inc.","JMIR Research Protocols","1929-0748",NA,"1929-0748","1929-0748","CC BY",TRUE,"41813431","PMC12978970",NA,"https://www.researchprotocols.org/2026/1/e78339/PDF",TRUE
"Bern University of Applied Sciences",2025,2859.25,"10.1186/s12904-025-01912-1",FALSE,"Springer Nature","BMC Palliative Care","1472-684X",NA,"1472-684X","1472-684X","https://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,"41146109","PMC12560387",NA,"https://link.springer.com/article/10.1186/s12904-025-01912-1",TRUE
"Bern University of Applied Sciences",2025,1614.82,"10.2196/76776",FALSE,"JMIR Publications Inc.","JMIR Research Protocols","1929-0748",NA,"1929-0748","1929-0748","CC BY",TRUE,"40991775","PMC12459736",NA,"https://www.researchprotocols.org/2025/1/e76776",TRUE
"Bern University of Applied Sciences",2025,2165.84,"10.3390/children12030382",FALSE,"MDPI AG","Children","2227-9067",NA,"2227-9067","2227-9067","https://creativecommons.org/licenses/by/4.0/",TRUE,"40150664","PMC11941570",NA,"https://www.mdpi.com/2227-9067/12/3/382",TRUE
"Bern University of Applied Sciences",2025,2799.79,"10.1186/s12909-025-07903-3",FALSE,"Springer Nature","BMC Medical Education","1472-6920",NA,"1472-6920","1472-6920","https://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,"41039389","PMC12492745",NA,"https://link.springer.com/article/10.1186/s12909-025-07903-3",TRUE
"Bern University of Applied Sciences",2025,1746.4,"10.1371/journal.pone.0293773",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"40184416","PMC11970635",NA,"https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0293773",TRUE
