"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Leibniz-BIPS",2023,2080.39,"10.1186/s12874-022-01821-4",FALSE,"Springer Nature","BMC Medical Research Methodology","1471-2288",NA,"1471-2288","1471-2288","https://creativecommons.org/licenses/by/4.0",TRUE,"36567381","PMC9791771",NA,NA,TRUE
"Leibniz-BIPS",2023,2212.97,"10.1186/s12966-022-01383-0",FALSE,"Springer Nature","International Journal of Behavioral Nutrition and Physical Activity","1479-5868",NA,"1479-5868","1479-5868","https://creativecommons.org/licenses/by/4.0",TRUE,"36494689","PMC9733271",NA,NA,TRUE
"Leibniz-BIPS",2023,2290.42,"10.1186/s12966-023-01452-y",FALSE,"Springer Nature","International Journal of Behavioral Nutrition and Physical Activity","1479-5868",NA,"1479-5868","1479-5868","https://creativecommons.org/licenses/by/4.0",TRUE,"37098620","PMC10127415",NA,NA,TRUE
"Leibniz-BIPS",2023,2290.42,"10.1186/s12966-023-01501-6",FALSE,"Springer Nature","International Journal of Behavioral Nutrition and Physical Activity","1479-5868",NA,"1479-5868","1479-5868","https://creativecommons.org/licenses/by/4.0",TRUE,"37620898","PMC10463721",NA,NA,TRUE
"Leibniz-BIPS",2023,2290.42,"10.1186/s12966-023-01497-z",FALSE,"Springer Nature","International Journal of Behavioral Nutrition and Physical Activity","1479-5868",NA,"1479-5868","1479-5868","https://creativecommons.org/licenses/by/4.0",TRUE,"37596651","PMC10439638",NA,NA,TRUE
"Leibniz-BIPS",2023,2290.42,"10.1186/s12889-023-16589-5",FALSE,"Springer Nature","BMC Public Health","1471-2458",NA,"1471-2458","1471-2458","https://creativecommons.org/licenses/by/4.0",TRUE,"37653487","PMC10469853",NA,NA,TRUE
"Leibniz-BIPS",2023,2071.41,"10.1038/s41598-023-45944-0",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"37914849","PMC10620404",NA,NA,TRUE
"Leibniz-BIPS",2024,2290.42,"10.1186/s12966-023-01551-w",FALSE,"Springer Nature","International Journal of Behavioral Nutrition and Physical Activity","1479-5868",NA,"1479-5868","1479-5868","https://creativecommons.org/licenses/by/4.0",TRUE,"38169385","PMC10759484",NA,NA,TRUE
"Leibniz-BIPS",2023,2090,"10.1007/s40801-022-00350-2",FALSE,"Springer Nature","Drugs - Real World Outcomes","2199-1154","2199-1154","2198-9788","2198-9788","https://creativecommons.org/licenses/by-nc/4.0",TRUE,"36725812","PMC10232386",NA,NA,TRUE
"Leibniz-BIPS",2022,2729.14,"10.2196/31921",FALSE,"JMIR Publications Inc.","Journal of Medical Internet Research","1438-8871",NA,"1438-8871","1438-8871",NA,TRUE,"35763320","PMC9277526",NA,NA,TRUE
"Leibniz-BIPS",2023,2512.65,"10.2196/43542",FALSE,"JMIR Publications Inc.","Journal of Medical Internet Research","1438-8871",NA,"1438-8871","1438-8871",NA,TRUE,"36951896","PMC10131689",NA,NA,TRUE
"Leibniz-BIPS",2023,2576,"10.2147/clep.s405585",FALSE,"Informa UK Limited","Clinical Epidemiology","1179-1349",NA,"1179-1349","1179-1349","https://creativecommons.org/licenses/by-nc/3.0/",TRUE,"37483262","PMC10362862",NA,NA,TRUE
"Leibniz-BIPS",2023,3074.08,"10.3389/fpubh.2023.1258280",FALSE,"Frontiers Media SA","Frontiers in Public Health","2296-2565",NA,"2296-2565","2296-2565","https://creativecommons.org/licenses/by/4.0/",TRUE,"38074742","PMC10703300",NA,NA,TRUE
"Leibniz-BIPS",2023,3322.75,"10.2196/50814",FALSE,"JMIR Publications Inc.","JMIR Public Health and Surveillance","2369-2960",NA,"2369-2960","2369-2960",NA,TRUE,"37983078","PMC10696499",NA,NA,TRUE
"Leibniz-BIPS",2023,1870.73,"10.3389/fdgth.2023.1266684",FALSE,"Frontiers Media SA","Frontiers in Digital Health","2673-253X",NA,"2673-253X","2673-253X","https://creativecommons.org/licenses/by/4.0/",TRUE,"37886670","PMC10598750",NA,NA,TRUE
"Leibniz-BIPS",2023,2394.06,"10.3389/ijph.2023.1605798",FALSE,"Frontiers Media SA","International Journal of Public Health","1661-8564",NA,"1661-8564","1661-8556","https://creativecommons.org/licenses/by/4.0/",TRUE,"38033763","PMC10684735",NA,NA,TRUE
