"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Brandenburg University of Technology Cottbus-Senftenberg",2023,3596.99,"10.1007/s00103-023-03728-x",TRUE,"Springer Nature","Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz","1436-9990","1436-9990","1437-1588","1436-9990","https://creativecommons.org/licenses/by/4.0",TRUE,"37261459","PMC10329054",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Brandenburg University of Technology Cottbus-Senftenberg",2023,3596.99,"10.1007/s00103-023-03761-w",TRUE,"Springer Nature","Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz","1436-9990","1436-9990","1437-1588","1436-9990","https://creativecommons.org/licenses/by/4.0",TRUE,"37712986","PMC10539437",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Brandenburg University of Technology Cottbus-Senftenberg",2023,3596.99,"10.1007/s00170-023-11897-x",TRUE,"Springer Nature","The International Journal of Advanced Manufacturing Technology","0268-3768","0268-3768","1433-3015","0268-3768","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Brandenburg University of Technology Cottbus-Senftenberg",2023,3596.99,"10.1007/s00170-023-12650-0",TRUE,"Springer Nature","The International Journal of Advanced Manufacturing Technology","0268-3768","0268-3768","1433-3015","0268-3768","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Brandenburg University of Technology Cottbus-Senftenberg",2023,3596.99,"10.1007/s00202-023-02005-z",TRUE,"Springer Nature","Electrical Engineering","0948-7921","0948-7921","1432-0487","0948-7921","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Brandenburg University of Technology Cottbus-Senftenberg",2023,3596.99,"10.1007/s00221-023-06619-4",TRUE,"Springer Nature","Experimental Brain Research","0014-4819","0014-4819","1432-1106","0014-4819","https://creativecommons.org/licenses/by/4.0",TRUE,"37097301","PMC10224860",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Brandenburg University of Technology Cottbus-Senftenberg",2023,3596.99,"10.1007/s00267-023-01852-7",TRUE,"Springer Nature","Environmental Management","0364-152X","0364-152X","1432-1009","0364-152X","https://creativecommons.org/licenses/by/4.0",TRUE,"37474777","PMC10509051",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Brandenburg University of Technology Cottbus-Senftenberg",2023,3596.99,"10.1007/s00453-023-01107-1",TRUE,"Springer Nature","Algorithmica","0178-4617","0178-4617","1432-0541","0178-4617","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Brandenburg University of Technology Cottbus-Senftenberg",2023,3596.99,"10.1007/s00454-023-00522-z",TRUE,"Springer Nature","Discrete & Computational Geometry","0179-5376","0179-5376","1432-0444","0179-5376","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Brandenburg University of Technology Cottbus-Senftenberg",2023,3596.99,"10.1007/s00548-023-00887-6",TRUE,"Springer Nature","Standort","0174-3635","0174-3635","1432-220X","0174-3635","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Brandenburg University of Technology Cottbus-Senftenberg",2023,3596.99,"10.1007/s10107-023-01964-2",TRUE,"Springer Nature","Mathematical Programming","0025-5610","0025-5610","1436-4646","0025-5610","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
