institution,year,doi,is_hybrid,publisher,journal_full_title,agreement
Charles University,2024,10.1145/3618260.3649783,TRUE,Association for Computing Machinery (ACM),Proceedings of the 56th Annual ACM Symposium on Theory of Computing,CzechELib ACM agreement
Charles University,2024,10.1145/3626772.3657863,TRUE,Association for Computing Machinery (ACM),Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval,CzechELib ACM agreement
Charles University,2024,10.1145/3627043.3659555,TRUE,Association for Computing Machinery (ACM),"Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",CzechELib ACM agreement
Charles University,2024,10.1145/3639477.3639739,TRUE,Association for Computing Machinery (ACM),46th International Conference on Software Engineering: Software Engineering in Practice,CzechELib ACM agreement
Charles University,2024,10.1145/3643795.3648389,TRUE,Association for Computing Machinery (ACM),2024 International Workshop on Large Language Models for Code,CzechELib ACM agreement
Charles University,2024,10.1145/3649169.3649247,TRUE,Association for Computing Machinery (ACM),The 15th International Workshop on Programming Models and Applications for Multicores and Manycores,CzechELib ACM agreement
Charles University,2024,10.1145/3649411.3649414,TRUE,Association for Computing Machinery (ACM),16th Workshop on General Purpose Processing Using GPU,CzechELib ACM agreement
Charles University,2024,10.1145/3664647.3685517,TRUE,Association for Computing Machinery (ACM),Proceedings of the 32nd ACM International Conference on Multimedia,CzechELib ACM agreement
Charles University,2024,10.1145/3676887,TRUE,Association for Computing Machinery (ACM),ACM Transactions on Algorithms,CzechELib ACM agreement
Charles University,2024,10.1145/3709150,TRUE,Association for Computing Machinery (ACM),ACM Transactions on Computing Education,CzechELib ACM agreement
Charles University,2024,10.1021/acsmaterialsau.4c00137,FALSE,American Chemical Society (ACS),ACS Materials Au,CzechELib ACS agreement
Charles University,2024,10.1021/acs.jafc.4c09069,TRUE,American Chemical Society (ACS),Journal of Agricultural and Food Chemistry,CzechELib ACS agreement
Charles University,2024,10.1021/acsami.4c13795,TRUE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,CzechELib ACS agreement
Charles University,2024,10.1021/acsptsci.4c00408,TRUE,American Chemical Society (ACS),ACS Pharmacology & Translational Science,CzechELib ACS agreement
Charles University,2024,10.1021/acs.orglett.4c04378,TRUE,American Chemical Society (ACS),Organic Letters,CzechELib ACS agreement
Charles University,2024,10.1021/acscatal.4c05269,TRUE,American Chemical Society (ACS),ACS Catalysis,CzechELib ACS agreement
Charles University,2024,10.1021/acs.jchemed.4c01146,TRUE,American Chemical Society (ACS),Journal of Chemical Education,CzechELib ACS agreement
Charles University,2024,10.1021/acs.jpca.4c05556,TRUE,American Chemical Society (ACS),The Journal of Physical Chemistry A,CzechELib ACS agreement
Charles University,2024,10.1021/acsanm.4c05231,FALSE,American Chemical Society (ACS),ACS Applied Nano Materials,CzechELib ACS agreement
Charles University,2024,10.1021/acs.biomac.4c00915,TRUE,American Chemical Society (ACS),Biomacromolecules,CzechELib ACS agreement
Charles University,2024,10.1021/acs.joc.4c01764,TRUE,American Chemical Society (ACS),The Journal of Organic Chemistry,CzechELib ACS agreement
Charles University,2024,10.1021/acsptsci.4c00518,TRUE,American Chemical Society (ACS),ACS Pharmacology & Translational Science,CzechELib ACS agreement
Charles University,2024,10.1021/acs.jchemed.4c00485,TRUE,American Chemical Society (ACS),Journal of Chemical Education,CzechELib ACS agreement
Charles University,2024,10.1021/acs.jpca.4c05103,TRUE,American Chemical Society (ACS),The Journal of Physical Chemistry A,CzechELib ACS agreement
Charles University,2024,10.1021/acs.nanolett.4c02325,TRUE,American Chemical Society (ACS),Nano Letters,CzechELib ACS agreement
Charles University,2024,10.1021/acs.jnatprod.4c00825,TRUE,American Chemical Society (ACS),Journal of Natural Products,CzechELib ACS agreement
Charles University,2024,10.1021/acs.analchem.4c02819,TRUE,American Chemical Society (ACS),Analytical Chemistry,CzechELib ACS agreement
Charles University,2024,10.1021/acs.organomet.4c00284,TRUE,American Chemical Society (ACS),Organometallics,CzechELib ACS agreement
Charles University,2024,10.1021/acs.biomac.4c00833,TRUE,American Chemical Society (ACS),Biomacromolecules,CzechELib ACS agreement
Charles University,2024,10.1021/acs.orglett.4c02434,TRUE,American Chemical Society (ACS),Organic Letters,CzechELib ACS agreement
Charles University,2024,10.1021/jacsau.4c00453,FALSE,American Chemical Society (ACS),JACS Au,CzechELib ACS agreement
Charles University,2024,10.1021/acs.jcim.4c00809,TRUE,American Chemical Society (ACS),Journal of Chemical Information and Modeling,CzechELib ACS agreement
Charles University,2024,10.1021/acsami.4c05542,TRUE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,CzechELib ACS agreement
Charles University,2024,10.1021/acs.analchem.4c01811,TRUE,American Chemical Society (ACS),Analytical Chemistry,CzechELib ACS agreement
Charles University,2024,10.1021/acs.accounts.4c00137,TRUE,American Chemical Society (ACS),Accounts of Chemical Research,CzechELib ACS agreement
Charles University,2024,10.1021/acs.jpcc.4c02403,TRUE,American Chemical Society (ACS),The Journal of Physical Chemistry C,CzechELib ACS agreement
