Institution;Period;Euro;DOI;Is Hybrid
Consiglio Nazionale Delle Ricerche (CNR);2020;1.548,22;10.1109/ACCESS.2020.2992202;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2020;1.548,22;10.1109/ACCESS.2020.3017726;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2020;1.548,22;10.1109/ACCESS.2020.3019665;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2020;1.548,22;10.1109/ACCESS.2020.3037221;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2020;1.548,22;10.1109/ACCESS.2020.3043069;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2020;1.548,22;10.1109/ACCESS.2021.3054479;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2020;1.548,22;10.1109/ACCESS.2021.3061756;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2020;1.548,22;10.1109/ACCESS.2021.3068130;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2020;1.548,22;10.1109/ACCESS.2021.3082424;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2020;1.548,22;10.1109/ACCESS.2021.3085109;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2021;1.548,22;10.1109/ACCESS.2021.3089826;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2021;1.548,22;10.1109/ACCESS.2021.3096598;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2021;1.548,22;10.1109/ACCESS.2021.3105278;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2021;1.548,22;10.1109/ACCESS.2021.3111004;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2021;1.548,22;10.1109/ACCESS.2021.3119898;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2021;1.548,22;10.1109/ACCESS.2021.3128686;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2021;1.548,22;10.1109/ACCESS.2021.3135078;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2021;1.548,22;10.1109/JSTARS.2021.3117123;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2021;1.548,22;10.1109/JSTARS.2021.3124829;FALSE
Consiglio Nazionale Delle Ricerche (CNR);2021;1.548,22;10.1109/TQE.2021.3090532;FALSE
