"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Aix-Marseille Université",2021,2225,"10.1186/s12889-021-11752-2",FALSE,"Springer Nature","BMC Public Health","1471-2458",NA,"1471-2458","1471-2458","https://creativecommons.org/licenses/by/4.0",TRUE,"34635065","PMC8507235","ut:000706133000003",NA,TRUE
"Aix-Marseille Université",2021,3238.62,"10.18632/aging.202743",FALSE,"Impact Journals, LLC","Aging","1945-4589",NA,"1945-4589","1945-4589",NA,TRUE,"33653968","PMC7993710",NA,NA,FALSE
"Aix-Marseille Université",2021,2495,"10.1080/07481187.2020.1851881",TRUE,"Informa UK Limited","Death Studies","0748-1187","0748-1187","1091-7683","0748-1187","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"33236965",NA,"ut:000592288300001",NA,FALSE
"Aix-Marseille Université",2021,1425.83,"10.1371/journal.pone.0254232",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"34214145","PMC8253398","ut:000671718200023",NA,TRUE
"Aix-Marseille Université",2021,1485,"10.1002/2211-5463.13106",FALSE,"Wiley-Blackwell","FEBS Open Bio","2211-5463","2211-5463","2211-5463","2211-5463","http://creativecommons.org/licenses/by/4.0/",TRUE,"33534950","PMC8016135","ut:000621502000001",NA,TRUE
"Aix-Marseille Université",2021,1361.64,"10.1186/s12911-021-01427-8",FALSE,"Springer Nature","BMC Medical Informatics and Decision Making","1472-6947",NA,"1472-6947","1472-6947","http://creativecommons.org/licenses/by/4.0/",TRUE,"33947379","PMC8094578","ut:000647093400001",NA,TRUE
"Aix-Marseille Université",2021,640.48,"10.2196/18593",FALSE,"JMIR Publications Inc.","JMIR Public Health and Surveillance","2369-2960",NA,"2369-2960","2369-2960",NA,TRUE,"33970108","PMC8145078","ut:000659422700013",NA,TRUE
"Aix-Marseille Université",2021,1866.55,"10.3390/ijerph182111153",FALSE,"MDPI AG","International Journal of Environmental Research and Public Health","1660-4601",NA,"1660-4601","1660-4601","https://creativecommons.org/licenses/by/4.0/",TRUE,"34769671","PMC8582715","ut:000721274200001",NA,TRUE
"Aix-Marseille Université",2021,1392.88,"10.1371/journal.pone.0252443",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"34061892","PMC8168842","ut:000656813600035",NA,TRUE
"Aix-Marseille Université",2021,1623.08,"10.3390/biom11050701",FALSE,"MDPI AG","Biomolecules","2218-273X",NA,"2218-273X","2218-273X","https://creativecommons.org/licenses/by/4.0/",TRUE,"34066751","PMC8151241","ut:000653434600001",NA,TRUE
"Aix-Marseille Université",2021,3150,"10.1186/s12933-021-01237-2",FALSE,"Springer Nature","Cardiovascular Diabetology","1475-2840",NA,"1475-2840","1475-2840","https://creativecommons.org/licenses/by/4.0",TRUE,"33648515","PMC7919089","ut:000625382600001",NA,TRUE
"Aix-Marseille Université",2021,2190,"10.1016/j.jbc.2021.100818",FALSE,"Elsevier BV","Journal of Biological Chemistry","0021-9258","0021-9258",NA,"0021-9258","http://creativecommons.org/licenses/by/4.0/",TRUE,"34029592","PMC8254121","ut:000678068400020",NA,TRUE
"Aix-Marseille Université",2021,2239.69,"10.3389/fcvm.2021.761164",FALSE,"Frontiers Media SA","Frontiers in Cardiovascular Medicine","2297-055X",NA,"2297-055X","2297-055X","https://creativecommons.org/licenses/by/4.0/",TRUE,"34805317","PMC8595247","ut:000719803800001",NA,TRUE
"Aix-Marseille Université",2021,2583.67,"10.3389/fendo.2021.726967",FALSE,"Frontiers Media SA","Frontiers in Endocrinology","1664-2392",NA,"1664-2392","1664-2392","https://creativecommons.org/licenses/by/4.0/",TRUE,"34484128","PMC8415546","ut:000693566800001",NA,TRUE
"Aix-Marseille Université",2021,2598.74,"10.3389/fonc.2021.704945",FALSE,"Frontiers Media SA","Frontiers in Oncology","2234-943X",NA,"2234-943X","2234-943X","https://creativecommons.org/licenses/by/4.0/",TRUE,"34589424","PMC8475274",NA,NA,TRUE
"Aix-Marseille Université",2021,2617.89,"10.3389/fphys.2021.743154",FALSE,"Frontiers Media SA","Frontiers in Physiology","1664-042X",NA,"1664-042X","1664-042X","https://creativecommons.org/licenses/by/4.0/",TRUE,"34675819","PMC8523798","ut:000708216300001",NA,TRUE
"Aix-Marseille Université",2021,1295.94,"10.3390/biomedicines9030228",FALSE,"MDPI AG","Biomedicines","2227-9059",NA,"2227-9059","2227-9059","https://creativecommons.org/licenses/by/4.0/",TRUE,"33668375","PMC7996194","ut:000633423700001",NA,TRUE
"Aix-Marseille Université",2021,1623.08,"10.3390/biomedicines9050566",FALSE,"MDPI AG","Biomedicines","2227-9059",NA,"2227-9059","2227-9059","https://creativecommons.org/licenses/by/4.0/",TRUE,"34070021","PMC8157884","ut:000653411100001",NA,TRUE
"Aix-Marseille Université",2021,648.57,"10.3390/biomedicines8120592",FALSE,"MDPI AG","Biomedicines","2227-9059",NA,"2227-9059","2227-9059","https://creativecommons.org/licenses/by/4.0/",TRUE,"33321883","PMC7764286","ut:000601853400001",NA,TRUE
"Aix-Marseille Université",2021,1106.33,"10.3390/biomedicines8120633",FALSE,"MDPI AG","Biomedicines","2227-9059",NA,"2227-9059","2227-9059","https://creativecommons.org/licenses/by/4.0/",TRUE,"33352759","PMC7767164","ut:000601715200001",NA,TRUE
"Aix-Marseille Université",2021,1803.43,"10.3390/cells10040795",FALSE,"MDPI AG","Cells","2073-4409",NA,"2073-4409","2073-4409","https://creativecommons.org/licenses/by/4.0/",TRUE,"33918298","PMC8066129","ut:000642890400001",NA,TRUE
"Aix-Marseille Université",2021,1532.91,"10.3390/cells10092305",FALSE,"MDPI AG","Cells","2073-4409",NA,"2073-4409","2073-4409","https://creativecommons.org/licenses/by/4.0/",TRUE,"34571954","PMC8466330","ut:000699319900001",NA,TRUE
"Aix-Marseille Université",2021,1623.08,"10.3390/ijms22147584",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"34299203","PMC8303608","ut:000676818900001",NA,TRUE
"Aix-Marseille Université",2021,1992.03,"10.3390/jcm9113726",FALSE,"MDPI AG","Journal of Clinical Medicine","2077-0383",NA,"2077-0383","2077-0383","https://creativecommons.org/licenses/by/4.0/",TRUE,"33233575","PMC7699790","ut:000593245900001",NA,TRUE
"Aix-Marseille Université",2021,2074.17,"10.1371/journal.pgen.1009284",FALSE,"Public Library of Science (PLoS)","PLOS Genetics","1553-7404",NA,"1553-7404","1553-7390","http://creativecommons.org/licenses/by/4.0/",TRUE,"33465109","PMC7846112","ut:000611971600007",NA,TRUE
"Aix-Marseille Université",2021,1055.43,"10.3389/fimmu.2021.643153",FALSE,"Frontiers Media SA","Frontiers in Immunology","1664-3224",NA,"1664-3224","1664-3224","https://creativecommons.org/licenses/by/4.0/",TRUE,"33643324","PMC7904894","ut:000621350600001",NA,TRUE
"Aix-Marseille Université",2021,1690,"10.1038/s41598-021-85856-5",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"33758269","PMC7988022","ut:000634964500005",NA,TRUE
