"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn/isbn";"issn_print";"issn_electronic";"url"
"Université des Antilles";2022;1197,56;"10.1021/acsomega.1c03378";"FALSE";;;;;;
"Université des Antilles";2022;1387,23;"10.17352/2455-815x.000142";"FALSE";;;;;;
"Université des Antilles";2022;1375,23;"10.1080/17513758.2022.2033860";"FALSE";;;;;;
"Université des Antilles";2022;1756,63;"10.3389/fpsyg.2022.778468";"FALSE";;;;;;
"Université des Antilles";2022;400;"10.5114/biolsport.2023.116007";"FALSE";;;;;;
"Université des Antilles";2022;1774,82;"10.1371/journal.pone.0273668";"FALSE";;;;;;
"Université des Antilles";2022;163,68;"10.32474/SJFN.2022.04.000189";"FALSE";;;;;;
"Université des Antilles";2022;2005;"10.3390/pr10071263";"FALSE";;;;;;
"Université des Antilles";2022;415;"10.19080/ijesnr.2022.29.556268";"FALSE";;;;;;
"Université des Antilles";2022;1705,23;"10.3390/plants11101360";"FALSE";;;;;;
"Université des Antilles";2022;1953;"10.5194/os-18-915-2022";"FALSE";;;;;;
"Université des Antilles";2022;1352,57;"10.3390/math10224190";"FALSE";;;;;;
"Université des Antilles";2022;1356,6;"10.1016/j.eti.2022.102940";"FALSE";;;;;;
"Université des Antilles";2022;2020,14;"10.3390/f14040697";"FALSE";;;;;;
"Université des Antilles";2022;1300;"10.3390/molecules27186040";"FALSE";;;;;;
"Université des Antilles";2022;1111,12;"10.3390/en15228671";"FALSE";;;;;;
