"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn";"issn_print";"issn_electronic";"url"
"Université Clermont Auvergne";2021;2700;"10.1136/archdischild-2020-320601";"TRUE";;;;;;
"Université Clermont Auvergne";2021;2265;"10.1016/j.envint.2020.106198";"FALSE";;;;;;
"Université Clermont Auvergne";2021;967,38;"10.3389/fspas.2021.700277";"FALSE";;;;;;
"Université Clermont Auvergne";2021;2616;"10.3389/fcell.2021.747563";"FALSE";;;;;;
"Université Clermont Auvergne";2021;2285,73;"10.3389/feart.2020.575842";"FALSE";;;;;;
"Université Clermont Auvergne";2021;2109,31;"10.3389/feart.2021.669661";"FALSE";;;;;;
"Université Clermont Auvergne";2021;2481,54;"10.3389/fmicb.2021.728429";"FALSE";;;;;;
"Université Clermont Auvergne";2021;2593,82;"10.3389/fpubh.2021.691587";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1761,3;"10.3390/app11135990";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1631,52;"10.3390/cancers13092060";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1666,92;"10.3390/electronics10182301";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1482,44;"10.3390/foods9111695";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1142,74;"10.3390/healthcare9050542";"FALSE";;;;;;
"Université Clermont Auvergne";2021;2093,57;"10.3390/ijerph18062828";"FALSE";;;;;;
"Université Clermont Auvergne";2021;2119,62;"10.3390/ijerph18052509";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1307,01;"10.3390/ijms22063111";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1623,08;"10.3390/ijms22126257";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1532,91;"10.3390/ijms22147269";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1713,25;"10.3390/ijms22189965";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1532,91;"10.3390/ijms222011043";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1847,58;"10.3390/microorganisms9020358";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1442,74;"10.3390/microorganisms9061282";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1548,24;"10.3390/nu13030788";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1802,78;"10.3390/nu13041051";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1514,88;"10.3390/nu13051569";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1805,62;"10.3390/nu13093188";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1843,15;"10.3390/polym13050757";"FALSE";;;;;;
"Université Clermont Auvergne";2021;2482,48;"10.1364/OPTICA.427088";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1107;"10.1093/aobpla/plaa071";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1500,82;"10.1371/journal.pone.0259664";"FALSE";;;;;;
"Université Clermont Auvergne";2021;2310;"10.1186/s12866-020-01856";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1455;"10.1186/s40104-021-00584-0";"FALSE";;;;;;
"Université Clermont Auvergne";2021;999;"10.1186/s13617-021-00104-9";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1690;"10.1038/s41598-021-98736-9";"FALSE";;;;;;
"Université Clermont Auvergne";2021;1679;"10.1002/prp2.844";"FALSE";;;;;;
