"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Université Clermont Auvergne",2019,1409.31,"10.3390/s19245345",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"31817186","PMC6960621","ut:000517961400009",NA,TRUE
"Université Clermont Auvergne",2019,1342.19,"10.1371/journal.pone.0225542",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"31774827","PMC6881036","ut:000533896400039",NA,TRUE
"Université Clermont Auvergne",2019,2570,"10.1038/s41522-019-0098-1",FALSE,"Springer Nature","npj Biofilms and Microbiomes","2055-5008",NA,"2055-5008","2055-5008","https://creativecommons.org/licenses/by/4.0",TRUE,"31583108","PMC6760147","ut:000487326500001",NA,TRUE
"Université Clermont Auvergne",2019,1342.19,"10.1371/journal.pone.0214660",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"30964881","PMC6456220","ut:000463876300022",NA,TRUE
"Université Clermont Auvergne",2019,1171,"10.1186/s13059-019-1767-3",FALSE,"Springer Nature","Genome Biology","1474-760X",NA,"1474-760X","1465-6906","http://creativecommons.org/licenses/by/4.0/",TRUE,"31391082","PMC6685187","ut:000479204200002",NA,TRUE
"Université Clermont Auvergne",2019,1241.21,"10.3389/fmicb.2018.03167",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X","https://creativecommons.org/licenses/by/4.0/",TRUE,"30619225","PMC6305708","ut:000453855600001",NA,TRUE
"Université Clermont Auvergne",2019,1342.19,"10.1371/journal.pone.0215466",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"30990837","PMC6467416","ut:000464696100045",NA,TRUE
"Université Clermont Auvergne",2019,604.32,"10.3390/fi11010018",FALSE,"MDPI AG","Future Internet","1999-5903",NA,"1999-5903","1999-5903","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000459675400010",NA,TRUE
"",,,"","","","","","","","","","","","","","",""
"Université Clermont Auvergne",2019,921.68,"10.3390/medicines6040101",FALSE,"MDPI AG","Medicines","2305-6320",NA,"2305-6320","2305-6320","https://creativecommons.org/licenses/by/4.0/",TRUE,"31614667","PMC6963863",NA,NA,TRUE
