"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Université de Bordeaux",2022,1480,"10.1186/s40658-020-00301-2",FALSE,"Springer Nature","EJNMMI Physics","2197-7364",NA,"2197-7364","2197-7364","https://creativecommons.org/licenses/by/4.0",TRUE,"32430671","PMC7237560",NA,NA,TRUE
"Université de Bordeaux",2022,1445.87,"10.3390/app11062494",FALSE,"MDPI AG","Applied Sciences","2076-3417",NA,"2076-3417","2076-3417","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université de Bordeaux",2022,1262.4,"10.3390/foods10092204",FALSE,"MDPI AG","Foods","2304-8158",NA,"2304-8158","2304-8158","https://creativecommons.org/licenses/by/4.0/",TRUE,"34574312","PMC8466591",NA,NA,TRUE
"Université de Bordeaux",2022,4100,"10.1002/anie.202107537",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"34528366","PMC9293096",NA,NA,FALSE
"Université de Bordeaux",2022,3090.96,"10.1097/rli.0000000000000849",TRUE,"Ovid Technologies (Wolters Kluwer Health)","Investigative Radiology","1536-0210","0020-9996","1536-0210","0020-9996","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"35030106","PMC9390231",NA,NA,FALSE
"Université de Bordeaux",2022,881.02,"10.1126/sciadv.abj9496",FALSE,"American Association for the Advancement of Science (AAAS)","Science Advances","2375-2548",NA,"2375-2548","2375-2548",NA,TRUE,"35138885","PMC8827661",NA,NA,TRUE
"Université de Bordeaux",2022,1803.43,"10.3390/cells10112960",FALSE,"MDPI AG","Cells","2073-4409",NA,"2073-4409","2073-4409","https://creativecommons.org/licenses/by/4.0/",TRUE,"34831183","PMC8616208",NA,NA,TRUE
"Université de Bordeaux",2022,4059,"10.1093/brain/awab432",TRUE,"Oxford University Press (OUP)","Brain","0006-8950","0006-8950","1460-2156","0006-8950","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35511193","PMC9255380",NA,NA,FALSE
"Université de Bordeaux",2022,1983.77,"10.3390/cancers13236129",FALSE,"MDPI AG","Cancers","2072-6694",NA,"2072-6694","2072-6694","https://creativecommons.org/licenses/by/4.0/",TRUE,"34885238","PMC8657179",NA,NA,TRUE
"Université de Bordeaux",2022,1416.03,"10.3389/fcell.2021.719072",FALSE,"Frontiers Media SA","Frontiers in Cell and Developmental Biology","2296-634X",NA,"2296-634X","2296-634X","https://creativecommons.org/licenses/by/4.0/",TRUE,"34540837","PMC8440917",NA,NA,TRUE
"Université de Bordeaux",2022,2125.03,"10.1371/journal.pntd.0009985",FALSE,"Public Library of Science (PLoS)","PLOS Neglected Tropical Diseases","1935-2735",NA,"1935-2735","1935-2727","http://creativecommons.org/licenses/by/4.0/",TRUE,"34919562","PMC8719729",NA,NA,TRUE
"Université de Bordeaux",2022,1352,"10.1038/s41598-021-04689-4",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"35031649","PMC8760263",NA,NA,TRUE
"Université de Bordeaux",2022,2343.75,"10.1073/pnas.2112466118",TRUE,"Proceedings of the National Academy of Sciences","Proceedings of the National Academy of Sciences","0027-8424","0027-8424","1091-6490","0027-8424","https://www.pnas.org/site/aboutpnas/licenses.xhtml",TRUE,"34782470","PMC8617497",NA,NA,FALSE
"Université de Bordeaux",2022,2622.87,"10.3389/fpsyt.2021.790203",FALSE,"Frontiers Media SA","Frontiers in Psychiatry","1664-0640",NA,"1664-0640","1664-0640","https://creativecommons.org/licenses/by/4.0/",TRUE,"35173637","PMC8841420",NA,NA,TRUE
"Université de Bordeaux",2022,1578,"10.3390/ijms23020658",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"35054844","PMC8776001",NA,NA,TRUE
"Université de Bordeaux",2022,1629.88,"10.3389/fncel.2022.802411",FALSE,"Frontiers Media SA","Frontiers in Cellular Neuroscience","1662-5102",NA,"1662-5102","1662-5102","https://creativecommons.org/licenses/by/4.0/",TRUE,"35221920","PMC8866569",NA,NA,TRUE
"",,,"","","","","","","","","","","","","","",""
"Université de Bordeaux",2022,1856.61,"10.1364/oe.451001",FALSE,"Optica Publishing Group","Optics Express","1094-4087",NA,"1094-4087","1094-4087","https://doi.org/10.1364/OA_License_v2#VOR-OA",TRUE,"35473023",NA,NA,NA,TRUE
"Université de Bordeaux",2022,1713.25,"10.3390/biom12020228",FALSE,"MDPI AG","Biomolecules","2218-273X",NA,"2218-273X","2218-273X","https://creativecommons.org/licenses/by/4.0/",TRUE,"35204729","PMC8961619",NA,NA,TRUE
"Université de Bordeaux",2022,2665.2,"10.3389/fmicb.2021.748416",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X","https://creativecommons.org/licenses/by/4.0/",TRUE,"35002998","PMC8740202",NA,NA,TRUE
"Université de Bordeaux",2022,1983.77,"10.3390/s22051830",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"35270975","PMC8914628",NA,NA,TRUE
"Université de Bordeaux",2022,1790,"10.1038/s41598-022-07284-3",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"35260577","PMC8904496",NA,NA,TRUE
"Université de Bordeaux",2022,2294.13,"10.3389/fcvm.2022.841032",FALSE,"Frontiers Media SA","Frontiers in Cardiovascular Medicine","2297-055X",NA,"2297-055X","2297-055X","https://creativecommons.org/licenses/by/4.0/",TRUE,"35387445","PMC8977850",NA,NA,TRUE
"Université de Bordeaux",2022,2327,"10.1111/acel.13584",FALSE,"Wiley-Blackwell","Aging Cell","1474-9718","1474-9718","1474-9726","1474-9718","http://creativecommons.org/licenses/by/4.0/",TRUE,"35318803","PMC9009122",NA,NA,TRUE
"Université de Bordeaux",2022,4400,"10.1136/bmj-2021-066192",TRUE,"BMJ","BMJ","1756-1833",NA,"1756-1833","1756-1833","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35321876","PMC8941665",NA,NA,FALSE
"Université de Bordeaux",2022,2693.71,"10.3389/fendo.2022.795225",FALSE,"Frontiers Media SA","Frontiers in Endocrinology","1664-2392",NA,"1664-2392","1664-2392","https://creativecommons.org/licenses/by/4.0/",TRUE,"35528003","PMC9072637",NA,NA,TRUE
"Université de Bordeaux",2022,1713.25,"10.3390/su14031787",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
