"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn/isbn";"issn_print";"issn_electronic";"url"
"Université de Bordeaux";2024;2710;"10.1080/00036846.2023.2281289";"TRUE";;;;;;
"Université de Bordeaux";2024;1466,2;"10.1177/20552076231218808";"FALSE";;;;;;
"Université de Bordeaux";2024;2650;"10.5588/ijtldopen.23.0484";"FALSE";;;;;;
"Université de Bordeaux";2024;4650;"10.1016/j.celrep.2023.112579";"FALSE";;;;;;
"Université de Bordeaux";2024;1042,92;"10.3390/biology13010043";"FALSE";;;;;;
"Université de Bordeaux";2024;1477,76;"10.1177/20552076231220814";"FALSE";;;;;;
"Université de Bordeaux";2024;2140,5;"10.1109/ACCESS.2023.3346429";"FALSE";;;;;;
"Université de Bordeaux";2024;2418,01;"10.1016/j.conb.2023.102814";"TRUE";;;;;;
"Université de Bordeaux";2024;1854;"10.1186/s11671-023-03927-0";"FALSE";;;;;;
"Université de Bordeaux";2024;5390;"10.1038/s41467-023-42872-5";"FALSE";;;;;;
"Université de Bordeaux";2024;3414;"10.1186/s13012-024-01338-y";"FALSE";;;;;;
"Université de Bordeaux";2024;2245;"10.1038/s41598-023-49511-5";"FALSE";;;;;;
"Université de Bordeaux";2024;438,93;"10.3847/1538-4357/ad0786";"TRUE";;;;;;
"Université de Bordeaux";2024;1487,6;"10.7717/peerj.17056";"FALSE";;;;;;
"Université de Bordeaux";2024;500;"10.4436/JASS.10021";"FALSE";;;;;;
"Université de Bordeaux";2024;4104;"10.1016/j.eclinm.2024.102528";"FALSE";;;;;;
"Université de Bordeaux";2024;1790;"10.1186/S40035-024-00408-X";"FALSE";;;;;;
"Université de Bordeaux";2024;3414,44;"10.1093/braincomms/fcae055";"FALSE";;;;;;
"Université de Bordeaux";2024;1600;"10.5194/gmd-17-2117-2024";"FALSE";;;;;;
"Université de Bordeaux";2024;2542,16;"10.1016/j.neubiorev.2023.105475";"TRUE";;;;;;
"Université de Bordeaux";2024;2439,69;"10.3389/fped.2024.1337865";"FALSE";;;;;;
"Université de Bordeaux";2024;2268;"10.1002/dad2.12578";"FALSE";;;;;;
"Université de Bordeaux";2024;2776,92;"10.1001/jamanetworkopen.2024.12824";"FALSE";;;;;;
"Université de Bordeaux";2024;2454;"10.1186/S40793-024-00566-5";"FALSE";;;;;;
"Université de Bordeaux";2024;2345;"10.1038/s41598-024-59476-8";"FALSE";;;;;;
"Université de Bordeaux";2024;2945;"10.1007/s10389-024-02256-5";"TRUE";;;;;;
"Université de Bordeaux";2024;4177;"10.1093/europace/euae103";"TRUE";;;;;;
"Université de Bordeaux";2024;4145;"10.1038/s41380-024-02604-7";"TRUE";;;;;;
"Université de Bordeaux";2024;1886,32;"10.1016/j.chb.2023.107824";"TRUE";;;;;;
"Université de Bordeaux";2024;1799,46;"10.1371/journal.pone.0299150";"FALSE";;;;;;
