"institution";"period";"euro";"doi";"is_hybrid"
"Université de Caen Normandie";2018;1370,00;"10.1038/s41598-018-28164-9 ";"FALSE"
"Université de Caen Normandie";2018;2788,00;"10.18632/oncotarget.25062";"FALSE"
"Université de Caen Normandie";2018;1161,00;"10.1177/1534735418757912";"FALSE"
"Université de Caen Normandie";2018;2419,00;"10.3389/fmicb.2018.01030";"FALSE"
"Université de Caen Normandie";2018;468,75;"10.3390/agriculture8010014 ";"FALSE"
"Université de Caen Normandie";2018;2191,20;"10.3389/fpls.2018.01751";"FALSE"
"Université de Caen Normandie";2018;458,82;"10.3390/plants7020037 ";"FALSE"
"Université de Caen Normandie";2018;1371,70;"10.1371/journal.pone.0204376";"FALSE"
"Université de Caen Normandie";2018;2160,00;"10.1186/s12864-018-4780-0";"FALSE"
"Université de Caen Normandie";2018;1837,62;"10.3389/fendo.2018.00304";"FALSE"
"Université de Caen Normandie";2018;2016,90;"10.3389/fpls.2018.00516";"FALSE"
"Université de Caen Normandie";2018;1370,00;"10.1038/s41598-018-24643-1";"FALSE"
"Université de Caen Normandie";2018;1370,00;"10.1038/s41598-018-34700-4";"FALSE"
"Université de Caen Normandie";2019;1500,00;"10.33594/000000168";"FALSE"
"Université de Caen Normandie";2019;1641,60;"10.3390/en12224273";"FALSE"
"Université de Caen Normandie";2019;1618,31;"10.3390/en12132478";"FALSE"
"Université de Caen Normandie";2019;1157,54;"10.3390/genes10090695";"FALSE"
"Université de Caen Normandie";2019;430,00;"10.1016/j.dib.2018.12.050";"FALSE"
"Université de Caen Normandie";2019;430,00;"10.1016/j.dib.2018.12.050";"FALSE"
"Université de Caen Normandie";2019;2596,00;"10.3389/fpls.2019.00046";"FALSE"
"Université de Caen Normandie";2019;2596,00;"10.3389/fpls.2019.00458";"FALSE"
"Université de Caen Normandie";2019;2643,20;"10.3389/fmicb.2018.02443";"FALSE"
"Université de Caen Normandie";2019;487,45;"10.3390/plants8050137";"FALSE"
"Université de Caen Normandie";2019;1829,10;"10.3390/md17100585";"FALSE"
"Université de Caen Normandie";2019;1818,46;"10.3390/md17120672";"FALSE"
"Université de Caen Normandie";2019;4280,00;"10.1016/j.celrep.2019.10.080 ";"FALSE"
"Université de Caen Normandie";2019;2643,20;"10.3389/fnagi.2019.00148";"FALSE"
"Université de Caen Normandie";2019;2596,00;"10.3389/fpls.2018.01998";"FALSE"
"Université de Caen Normandie";2020;1605,11;"10.3390/pharmaceutics12030251";"FALSE"
"Université de Caen Normandie";2020;1327,50;"10.1016/j.jbo.2020.100283";"FALSE"
"Université de Caen Normandie";2020;2225,00;"10.1186/s13550-019-0550-5";"FALSE"
"Université de Caen Normandie";2020;1570,00;"10.1038/s41598-020-76724-9";"FALSE"
"Université de Caen Normandie";2020;1280,00;"10.1002/nop2.670";"FALSE"
"Université de Caen Normandie";2020;1869,68;"10.3390/toxins12070458";"FALSE"
"Université de Caen Normandie";2020;690,00;"10.1080/17445647.2019.1657510";"FALSE"
"Université de Caen Normandie";2020;700,00;"10.3391/bir.2020.9.4.10 ";"FALSE"
"Université de Caen Normandie";2020;700,00;"10.3391/bir.2020.9.2.09";"FALSE"
"Université de Caen Normandie";2020;560,00;"10.3391/bir.2020.9.4.09 ";"FALSE"
"Université de Caen Normandie";2020;1310,00;"10.1016/j.heliyon.2020.e04170";"FALSE"
"Université de Caen Normandie";2020;833,86;"10.3389/fpls.2020.01253";"FALSE"
"Université de Caen Normandie";2020;1050,00;"10.3391/ai.2020.15.3.02";"FALSE"
"Université de Caen Normandie";2020;1570,00;"10.1038/s41598-020-62685-6";"FALSE"
"Université de Caen Normandie";2020;1416,00;"10.3390/atmos11030223 ";"FALSE"
"Université de Caen Normandie";2020;1352,56;"10.1371/journal.pone.0237211";"FALSE"
"Université de Caen Normandie";2020;2501,60;"10.3389/fpls.2020.607615";"FALSE"
"Université de Caen Normandie";2020;1570,00;"10.1038/s41598-020-59805-7";"FALSE"
"Université de Caen Normandie";2020;1570,00;"10.1038/s41598-020-62335-x";"FALSE"
"Université de Caen Normandie";2020;1859,77;"10.3390/md18090439";"FALSE"
"Université de Caen Normandie";2020;1326,35;"10.3390/mi11040376 ";"FALSE"
"Université de Caen Normandie";2020;833.86;"10.3389/fpls.2020.01253";"FALSE"
