"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Centre Hospitalier Universitaire de Rennes",2020,2046.1,"10.3748/wjg.v26.i36.5463",FALSE,"Baishideng Publishing Group Inc.","World Journal of Gastroenterology","1007-9327","1007-9327",NA,"1007-9327",NA,TRUE,"33024397","PMC7520611","ut:000576331500007",NA,FALSE
"Centre Hospitalier Universitaire de Rennes",2019,3501.76,"10.1136/bmj.l6015",TRUE,"BMJ","BMJ","0959-8138","0959-8138","1756-1833","1756-1833","http://www.bmj.com/company/legal-information/terms-conditions/legal-information/tdm-licencepolicy",TRUE,"31690553","PMC6830500","ut:000498179900002",NA,FALSE
"Centre Hospitalier Universitaire de Rennes",2018,1543.58,"10.1136/bmjopen-2017-020873",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055","2044-6055",NA,TRUE,"29961015","PMC6042576","ut:000442924700044",NA,TRUE
"Centre Hospitalier Universitaire de Rennes",2019,1900,"10.1136/bmjopen-2018-024249",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055","2044-6055",NA,TRUE,"31154292","PMC6550003","ut:000471192800066",NA,TRUE
"Centre Hospitalier Universitaire de Rennes",2020,2249.8,"10.1017/s2045796020000359",FALSE,"Cambridge University Press (CUP)","Epidemiology and Psychiatric Sciences","2045-7960","2045-7960","2045-7979","2045-7960","http://creativecommons.org/licenses/by/4.0/",TRUE,"32336312","PMC7214735",NA,NA,TRUE
"Centre Hospitalier Universitaire de Rennes",2020,2070,"10.1016/j.jcv.2020.104507",TRUE,"Elsevier BV","Journal of Clinical Virology","1386-6532","1386-6532",NA,"1386-6532","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32570044",NA,"ut:000552972500034",NA,FALSE
"Centre Hospitalier Universitaire de Rennes",2020,1582.5,"10.1016/j.jviromet.2020.113908",TRUE,"Elsevier BV","Journal of Virological Methods","0166-0934","0166-0934",NA,"0166-0934","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32522575",NA,"ut:000549161600004",NA,FALSE
"Centre Hospitalier Universitaire de Rennes",2019,1725,"10.1016/j.ekir.2019.02.008",FALSE,"Elsevier BV","Kidney International Reports","2468-0249","2468-0249",NA,"2468-0249","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31080924","PMC6506703","ut:000466813000010",NA,TRUE
"Centre Hospitalier Universitaire de Rennes",2020,943.75,"10.1016/j.ymgmr.2019.100558",FALSE,"Elsevier BV","Molecular Genetics and Metabolism Reports","2214-4269","2214-4269",NA,"2214-4269","http://creativecommons.org/licenses/by/4.0/",TRUE,"32021803","PMC6994713","ut:000514810400010",NA,TRUE
"Centre Hospitalier Universitaire de Rennes",2019,2158.33,"10.1016/j.neuroimage.2019.04.071",TRUE,"Elsevier BV","NeuroImage","1053-8119","1053-8119",NA,"1053-8119","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31051290",NA,"ut:000472161500021",NA,TRUE
