"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1836.15,"10.1094/phytofr-08-22-0089-r",FALSE,"Scientific Societies","PhytoFrontiers™","2690-5442","2690-5442",NA,"2690-5442",NA,TRUE,NA,NA,NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,482,"10.1094/pdis-08-22-1898-pdn",TRUE,"Scientific Societies","Plant Disease","0191-2917","0191-2917","1943-7692","0191-2917",NA,TRUE,"36265144",NA,NA,NA,FALSE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,4021.61,"10.1094/phyto-04-22-0132-r",TRUE,"Scientific Societies","Phytopathology","0031-949X","0031-949X","1943-7684","0031-949X",NA,TRUE,"35939624",NA,NA,NA,FALSE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,586.46,"10.1094/pdis-06-22-1399-pdn",TRUE,"Scientific Societies","Plant Disease","0191-2917","0191-2917","1943-7692","0191-2917",NA,TRUE,"36018553",NA,NA,NA,FALSE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,2900,"10.30682/nm2205n",FALSE,"Bologna University Press","New Medit","2611-1128",NA,"2611-1128","1594-5685","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,872.85,"10.1505/146554823836838691",TRUE,"Commonwealth Forestry Association","International Forestry Review","1465-5489","1465-5489",NA,"1465-5489",NA,TRUE,NA,NA,NA,NA,FALSE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1116,"10.5194/soil-9-89-2023",FALSE,"Copernicus GmbH","SOIL","2199-398X",NA,"2199-398X","2199-398X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1309,"10.5194/bg-20-3119-2023",FALSE,"Copernicus GmbH","Biogeosciences","1726-4189",NA,"1726-4189","1726-4170","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1118.15,"10.1109/jstars.2023.3236259",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","1939-1404","1939-1404","2151-1535","1939-1404","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,NA,NA,NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,2224.75,"10.34133/plantphenomics.0077",FALSE,"American Association for the Advancement of Science (AAAS)","Plant Phenomics","2643-6515",NA,"2643-6515","2643-6515",NA,TRUE,"37545839","PMC10403158",NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,360,"10.1051/cagri/2023020",FALSE,"EDP Sciences","Cahiers Agricultures","1166-7699","1166-7699","1777-5949","1166-7699","https://creativecommons.org/licenses/by-nc/4.0",TRUE,NA,NA,NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1118.15,"10.1128/mra.00134-23",FALSE,"American Society for Microbiology","Microbiology Resource Announcements","2576-098X",NA,"2576-098X","2576-098X","https://creativecommons.org/licenses/by/4.0/",TRUE,"37812008","PMC10652970",NA,NA,FALSE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,2893.9,"10.1128/jvi.00723-23",TRUE,"American Society for Microbiology","Journal of Virology","0022-538X","0022-538X","1098-5514","0022-538X","https://creativecommons.org/licenses/by/4.0/",TRUE,"37737587","PMC10617387",NA,NA,FALSE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,480,"10.1051/cagri/2023019",FALSE,"EDP Sciences","Cahiers Agricultures","1166-7699","1166-7699","1777-5949","1166-7699","https://creativecommons.org/licenses/by-nc/4.0",TRUE,NA,NA,NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,2510,"10.1016/j.cdnut.2023.100033",FALSE,"Elsevier BV","Current Developments in Nutrition","2475-2991","2475-2991",NA,"2475-2991","http://creativecommons.org/licenses/by/4.0/",TRUE,"37180084","PMC10111601",NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,284.24,"10.1016/j.dib.2022.108869",FALSE,"Elsevier BV","Data in Brief","2352-3409","2352-3409",NA,"2352-3409","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36691558","PMC9860465",NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1809.49,"10.1016/j.heliyon.2023.e13992",FALSE,"Elsevier BV","Heliyon","2405-8440","2405-8440",NA,"2405-8440","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36915493","PMC10006461",NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1140,"10.1016/j.crfs.2023.100489",FALSE,"Elsevier BV","Current Research in Food Science","2665-9271","2665-9271",NA,"2665-9271","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37095831","PMC10121635",NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,620.76,"10.1016/j.tfp.2023.100386",FALSE,"Elsevier BV","Trees, Forests and People","2666-7193","2666-7193",NA,"2666-7193","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,283.78,"10.1016/j.dib.2023.109244",FALSE,"Elsevier BV","Data in Brief","2352-3409","2352-3409",NA,"2352-3409","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37383754","PMC10293996",NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1294.73,"10.1016/j.jag.2023.103379",FALSE,"Elsevier BV","International Journal of Applied Earth Observation and Geoinformation","1569-8432","1569-8432",NA,"1569-8432","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1740,"10.1016/j.heliyon.2023.e17680",FALSE,"Elsevier BV","Heliyon","2405-8440","2405-8440",NA,"2405-8440","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37483722","PMC10359769",NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,752.2,"10.1016/j.dib.2023.109555",FALSE,"Elsevier BV","Data in Brief","2352-3409","2352-3409",NA,"2352-3409","http://creativecommons.org/licenses/by/4.0/",TRUE,"37753256","PMC10518681",NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1247.43,"10.1016/j.onehlt.2023.100630",FALSE,"Elsevier BV","One Health","2352-7714","2352-7714",NA,"2352-7714","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"38024266","PMC10665146",NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1020.68,"10.1016/j.baae.2023.10.001",FALSE,"Elsevier BV","Basic and Applied Ecology","1439-1791","1439-1791",NA,"1439-1791","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,691.7,"10.1016/j.lwt.2023.115571",FALSE,"Elsevier BV","LWT","0023-6438","0023-6438",NA,"0023-6438","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,709.44,"10.1016/j.tfp.2023.100477",FALSE,"Elsevier BV","Trees, Forests and People","2666-7193","2666-7193",NA,"2666-7193","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,3110,"10.1016/j.pt.2023.02.001",TRUE,"Elsevier BV","Trends in Parasitology","1471-4922","1471-4922",NA,"1471-4922","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36764849",NA,NA,NA,FALSE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1892.78,"10.1016/j.cois.2023.101024",TRUE,"Elsevier BV","Current Opinion in Insect Science","2214-5745","2214-5745",NA,"2214-5745","http://creativecommons.org/licenses/by/4.0/",TRUE,"36958588",NA,NA,NA,FALSE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1957.38,"10.1016/j.prevetmed.2023.105932",TRUE,"Elsevier BV","Preventive Veterinary Medicine","0167-5877","0167-5877",NA,"0167-5877","http://creativecommons.org/licenses/by/4.0/",TRUE,"37247579",NA,NA,NA,FALSE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1253.24,"10.1016/j.techfore.2023.122624",TRUE,"Elsevier BV","Technological Forecasting and Social Change","0040-1625","0040-1625",NA,"0040-1625","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1808.8,"10.1016/j.landusepol.2023.106784",TRUE,"Elsevier BV","Land Use Policy","0264-8377","0264-8377",NA,"0264-8377","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,2632.49,"10.1016/j.foodres.2023.113443",TRUE,"Elsevier BV","Food Research International","0963-9969","0963-9969",NA,"0963-9969","http://creativecommons.org/licenses/by/4.0/",TRUE,"37803771",NA,NA,NA,FALSE
"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",2023,1957.38,"10.1016/j.prevetmed.2023.106025",TRUE,"Elsevier BV","Preventive Veterinary Medicine","0167-5877","0167-5877",NA,"0167-5877","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37776605",NA,NA,NA,FALSE
