"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,1208.42,"10.1371/journal.pcbi.1011483",FALSE,"Public Library of Science (PLoS)","PLOS Computational Biology","1553-7358",NA,"1553-7358","1553-734X","http://creativecommons.org/licenses/by/4.0/",TRUE,"37747914","PMC10553811",NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,1606.63,"10.1371/journal.pone.0284272",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"37099529","PMC10132669",NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,2365.39,"10.1371/journal.pcbi.1010792",FALSE,"Public Library of Science (PLoS)","PLOS Computational Biology","1553-7358",NA,"1553-7358","1553-734X","http://creativecommons.org/licenses/by/4.0/",TRUE,"36626366","PMC9870156",NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,1479,"10.1093/sysbio/syad027",TRUE,"Oxford University Press (OUP)","Systematic Biology","1063-5157","1063-5157","1076-836X","1063-5157","https://creativecommons.org/licenses/by/4.0/",TRUE,"37161619","PMC10627560",NA,NA,FALSE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,4162.5,"10.1126/sciadv.adg5663",FALSE,"American Association for the Advancement of Science (AAAS)","Science Advances","2375-2548",NA,"2375-2548","2375-2548",NA,TRUE,"37585526","PMC10431715",NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,9750,"10.1038/s41587-023-01893-7",TRUE,"Springer Nature","Nature Biotechnology","1087-0156","1087-0156","1546-1696","1087-0156","https://creativecommons.org/licenses/by/4.0",TRUE,"37537501","PMC11180605",NA,NA,FALSE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,9750,"10.1038/s41565-023-01468-2",TRUE,"Springer Nature","Nature Nanotechnology","1748-3387","1748-3387","1748-3395","1748-3387","https://creativecommons.org/licenses/by/4.0",TRUE,"37524905","PMC10656289",NA,NA,FALSE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,2438.88,"10.1371/journal.pcbi.1011315",FALSE,"Public Library of Science (PLoS)","PLOS Computational Biology","1553-7358",NA,"1553-7358","1553-734X","http://creativecommons.org/licenses/by/4.0/",TRUE,"37549194","PMC10461857",NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,2190,"10.1007/s00285-023-02005-4",TRUE,"Springer Nature","Journal of Mathematical Biology","0303-6812","0303-6812","1432-1416","0303-6812","https://creativecommons.org/licenses/by/4.0",TRUE,"37823947","PMC10570263",NA,NA,FALSE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,5130,"10.1002/advs.202307893",FALSE,"Wiley-Blackwell","Advanced Science","2198-3844","2198-3844","2198-3844","2198-3844","http://creativecommons.org/licenses/by/4.0/",TRUE,"38102826","PMC10870021",NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,3028.6,"10.3389/fmars.2023.1136558",FALSE,"Frontiers Media SA","Frontiers in Marine Science","2296-7745",NA,"2296-7745","2296-7745","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,1925,"10.5194/hess-27-2437-2023",FALSE,"Copernicus GmbH","Hydrology and Earth System Sciences","1607-7938",NA,"1607-7938","1027-5606","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,2411.33,"10.1103/physrevresearch.5.l032045",FALSE,"American Physical Society (APS)","Physical Review Research","2643-1564",NA,"2643-1564","2643-1564","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,3063.75,"10.3389/fpsyg.2023.1256779",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"37842707","PMC10570613",NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,1674,"10.5194/bg-20-4289-2023",FALSE,"Copernicus GmbH","Biogeosciences","1726-4189",NA,"1726-4189","1726-4170","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,5390,"10.1038/s41467-023-42519-5",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"37884507","PMC10603060",NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,2493.31,"10.1371/journal.pcbi.1010855",FALSE,"Public Library of Science (PLoS)","PLOS Computational Biology","1553-7358",NA,"1553-7358","1553-734X","http://creativecommons.org/licenses/by/4.0/",TRUE,"36689488","PMC9894562",NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,2634,"10.1088/1748-9326/acb06e",FALSE,"IOP Publishing","Environmental Research Letters","1748-9326",NA,"1748-9326","1748-9326","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,3028.6,"10.3389/fmars.2023.1045138",FALSE,"Frontiers Media SA","Frontiers in Marine Science","2296-7745",NA,"2296-7745","2296-7745","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,2574,"10.1038/s41598-023-30592-1",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"36934110","PMC10024733",NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,1767,"10.5194/bg-19-4267-2022",FALSE,"Copernicus GmbH","Biogeosciences","1726-4189",NA,"1726-4189","1726-4170","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,5859,"10.5194/bg-20-1195-2023",FALSE,"Copernicus GmbH","Biogeosciences","1726-4189",NA,"1726-4189","1726-4170","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,1896,"10.1029/2022ms003123",FALSE,"American Geophysical Union (AGU)","Journal of Advances in Modeling Earth Systems","1942-2466","1942-2466","1942-2466","1942-2466","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,3170,"10.1029/2023tc007747",TRUE,"American Geophysical Union (AGU)","Tectonics","0278-7407","0278-7407","1944-9194","0278-7407","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,2760,"10.1029/2022gc010752",TRUE,"American Geophysical Union (AGU)","Geochemistry, Geophysics, Geosystems","1525-2027","1525-2027","1525-2027","1525-2027","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,3500,"10.1111/gcb.16558",TRUE,"Wiley-Blackwell","Global Change Biology","1354-1013","1354-1013","1365-2486","1354-1013","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"36516354",NA,NA,NA,FALSE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,3290,"10.1002/qj.4591",TRUE,"Wiley-Blackwell","Quarterly Journal of the Royal Meteorological Society","0035-9009","0035-9009","1477-870X","0035-9009","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,3170,"10.1029/2022jb026018",TRUE,"American Geophysical Union (AGU)","Journal of Geophysical Research: Solid Earth","2169-9313","2169-9313","2169-9356","2169-9313","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,1660,"10.1371/journal.pclm.0000227",FALSE,"Public Library of Science (PLoS)","PLOS Climate","2767-3200",NA,"2767-3200","2767-3200","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2023,1805,"10.1371/journal.pone.0289741",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"37713370","PMC10503726",NA,NA,TRUE
"",,,"","","","","","","","","","","","","","",""
