"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2018,1395,"10.5194/bg-15-2835-2018",FALSE,"Copernicus GmbH","Biogeosciences","1726-4189",NA,"1726-4189","1726-4170","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000431798500005",NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2018,1170,"10.5194/nhess-17-1857-2017",FALSE,"Copernicus GmbH","Natural Hazards and Earth System Sciences","1684-9981",NA,"1684-9981","1561-8633","https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000413859700001",NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2018,2025,"10.7554/elife.33321",FALSE,"eLife Sciences Publications, Ltd","eLife","2050-084X",NA,"2050-084X","2050-084X","http://creativecommons.org/licenses/by/4.0/",TRUE,"29561263","PMC5935486",NA,NA,TRUE
"",,,"","","","","","","","","","","","","","",""
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2018,2150,"10.7554/elife.31599",FALSE,"eLife Sciences Publications, Ltd","eLife","2050-084X",NA,"2050-084X","2050-084X","http://creativecommons.org/licenses/by/4.0/",TRUE,"30418871","PMC6231762",NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2018,2651.16,"10.1016/j.neuroimage.2018.01.035",FALSE,"Elsevier BV","NeuroImage","1053-8119","1053-8119",NA,"1053-8119","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29448077","PMC5915520","ut:000430364100076",NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2018,2651.16,"10.1016/j.neuroimage.2018.01.033",FALSE,"Elsevier BV","NeuroImage","1053-8119","1053-8119",NA,"1053-8119","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29378317",NA,"ut:000430364100017",NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2018,2283.3,"10.3389/fnins.2018.00531",FALSE,"Frontiers Media SA","Frontiers in Neuroscience","1662-453X",NA,"1662-453X","1662-453X","https://creativecommons.org/licenses/by/4.0/",TRUE,"30131670","PMC6090837","ut:000441070400001",NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2018,1560,"10.1088/1367-2630/aab574",FALSE,"IOP Publishing","New Journal of Physics","1367-2630",NA,"1367-2630","1367-2630","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000428767400002",NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2018,836,"10.1162/opmi_a_00022",FALSE,"MIT Press - Journals","Open Mind","2470-2986",NA,"2470-2986","2470-2986",NA,TRUE,"31149647","PMC6515859",NA,NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2018,2025,"10.1371/journal.pcbi.1005582",FALSE,"Public Library of Science (PLoS)","PLOS Computational Biology","1553-7358",NA,"1553-7358","1553-734X","http://creativecommons.org/licenses/by/4.0/",TRUE,"28622330","PMC5509365","ut:000404565400034",NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2018,2021,"10.1371/journal.pgen.1007581",FALSE,"Public Library of Science (PLoS)","PLOS Genetics","1553-7404",NA,"1553-7404","1553-7390","http://creativecommons.org/licenses/by/4.0/",TRUE,"30080860","PMC6095606","ut:000443389100035",NA,TRUE
"Université Paris-Saclay - CentraleSupélec - ENS Paris-Saclay",2018,3850,"10.1038/s41467-018-04839-9",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"29955046","PMC6023878","ut:000436549100002",NA,TRUE
