"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"ESRF - European Synchrotron Radiation Facility",2017,1075,"10.1080/00393630.2016.1232529",TRUE,"Informa UK Limited","Studies in Conservation","0039-3630","0039-3630","2047-0584","0039-3630","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000393691200002",NA,FALSE
"ESRF - European Synchrotron Radiation Facility",2017,1103.78,"10.1107/s1600576717015229",TRUE,"International Union of Crystallography (IUCr)","Journal of Applied Crystallography","1600-5767",NA,"1600-5767","0021-8898","http://creativecommons.org/licenses/by/2.0/uk/legalcode",TRUE,"29217993","PMC5713145",NA,NA,FALSE
"ESRF - European Synchrotron Radiation Facility",2017,874.94,"10.1107/s2052252517013008",FALSE,"International Union of Crystallography (IUCr)","IUCrJ","2052-2525",NA,"2052-2525","2052-2525","http://creativecommons.org/licenses/by/2.0/uk/legalcode",TRUE,"29123677","PMC5668860",NA,NA,TRUE
"ESRF - European Synchrotron Radiation Facility",2017,213.57,"10.1371/journal.pone.0186391",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"29049333","PMC5648163","ut:000413195900060",NA,TRUE
"ESRF - European Synchrotron Radiation Facility",2017,1631.27,"10.1364/oe.25.025090",FALSE,"Optical Society of America (OSA)","Optics Express","1094-4087",NA,"1094-4087","1094-4087",NA,TRUE,"29041180",NA,NA,NA,TRUE
"ESRF - European Synchrotron Radiation Facility",2017,1725.52,"10.1364/oe.25.014173",FALSE,"Optical Society of America (OSA)","Optics Express","1094-4087",NA,"1094-4087","1094-4087",NA,TRUE,"28789003",NA,NA,NA,TRUE
"ESRF - European Synchrotron Radiation Facility",2017,1644.09,"10.1364/oe.25.028469",FALSE,"Optical Society of America (OSA)","Optics Express","1094-4087",NA,"1094-4087","1094-4087",NA,TRUE,NA,NA,NA,NA,TRUE
"ESRF - European Synchrotron Radiation Facility",2017,192.06,"10.1038/srep36307",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"27796347","PMC5087091","ut:000386507500001",NA,TRUE
"ESRF - European Synchrotron Radiation Facility",2017,293.8,"10.1039/c6ra28405a",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069","2046-2069",NA,TRUE,NA,NA,"ut:000393759900046",NA,TRUE
"ESRF - European Synchrotron Radiation Facility",2017,1438.45,"10.1364/optica.4.000492",FALSE,"Optical Society of America (OSA)","Optica","2334-2536",NA,"2334-2536","2334-2536",NA,TRUE,NA,NA,NA,NA,TRUE
"ESRF - European Synchrotron Radiation Facility",2017,1305,"10.1038/s41598-017-04271-x",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"28638053","PMC5479813","ut:000403840000034",NA,TRUE
"ESRF - European Synchrotron Radiation Facility",2017,1305,"10.1038/s41598-017-14757-3",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"29085040","PMC5662592","ut:000414129700002",NA,TRUE
"ESRF - European Synchrotron Radiation Facility",2017,1305,"10.1038/s41598-017-18000-x",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"29317649","PMC5760574","ut:000419659800019",NA,TRUE
"ESRF - European Synchrotron Radiation Facility",2017,1551.75,"10.1126/science.aah6345",TRUE,"American Association for the Advancement of Science (AAAS)","Science","0036-8075","0036-8075","1095-9203","0036-8075","http://www.sciencemag.org/about/science-licenses-journal-article-reuse",TRUE,"28522691",NA,"ut:000402871700044",NA,FALSE
"ESRF - European Synchrotron Radiation Facility",2017,1567.36,"10.1126/sciadv.aao4044",FALSE,"American Association for the Advancement of Science (AAAS)","Science Advances","2375-2548",NA,"2375-2548","2375-2548",NA,TRUE,"29226247","PMC5722647","ut:000418003100027",NA,TRUE
"ESRF - European Synchrotron Radiation Facility",2018,882.75,"10.1085/jgp.201812196",TRUE,"Rockefeller University Press","The Journal of General Physiology","0022-1295","0022-1295","1540-7748","0022-1295","https://creativecommons.org/licenses/by/4.0/",TRUE,"30510036","PMC6314382","ut:000457588600008",NA,FALSE
"ESRF - European Synchrotron Radiation Facility",2018,898.23,"10.1107/s1600577518013899",TRUE,"International Union of Crystallography (IUCr)","Journal of Synchrotron Radiation","1600-5775",NA,"1600-5775","0909-0495","http://creativecommons.org/licenses/by/2.0/uk/legalcode",TRUE,"30407186","PMC6225738",NA,NA,FALSE
"ESRF - European Synchrotron Radiation Facility",2018,898.23,"10.1107/s1600576718012748",TRUE,"International Union of Crystallography (IUCr)","Journal of Applied Crystallography","1600-5767",NA,"1600-5767","0021-8898","http://creativecommons.org/licenses/by/2.0/uk/legalcode",TRUE,"30546286","PMC6276275",NA,NA,FALSE
"ESRF - European Synchrotron Radiation Facility",2018,1858.43,"10.1063/1.5026462",TRUE,"AIP Publishing","Applied Physics Letters","0003-6951","0003-6951","1077-3118","0003-6951",NA,TRUE,NA,NA,"ut:000432553900051",NA,FALSE
"ESRF - European Synchrotron Radiation Facility",2018,1370,"10.1038/s41598-018-22891-9",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"29549336","PMC5856831","ut:000427589100024",NA,TRUE
