"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Université d'Evry-Val-d'Essonne",2018,1285.7,"10.1371/journal.pone.0179787",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"28622364","PMC5473586","ut:000403506300052",NA,TRUE
"Université d'Evry-Val-d'Essonne",2018,2160,"10.1186/s12859-018-2007-7",FALSE,"Springer Nature","BMC Bioinformatics","1471-2105",NA,"1471-2105","1471-2105",NA,TRUE,"29334887","PMC5769536","ut:000419911100003",NA,TRUE
"Université d'Evry-Val-d'Essonne",2018,3000,"10.1242/dmm.033704",FALSE,"The Company of Biologists","Disease Models & Mechanisms","1754-8403","1754-8403","1754-8411","1754-8403","http://creativecommons.org/licenses/by/3.0",TRUE,"30213879","PMC6177001","ut:000446093700008",NA,TRUE
"Université d'Evry-Val-d'Essonne",2018,1228.12,"10.3390/atmos9100396",FALSE,"MDPI AG","Atmosphere","2073-4433",NA,"2073-4433","2073-4433","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000448543200031",NA,TRUE
"Université d'Evry-Val-d'Essonne",2018,1337,"10.1029/2018ea000444",FALSE,"American Geophysical Union (AGU)","Earth and Space Science","2333-5084",NA,NA,"2333-5084","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université d'Evry-Val-d'Essonne",2019,1125,"10.1186/s12859-019-2648-1",FALSE,"Springer Nature","BMC Bioinformatics","1471-2105",NA,"1471-2105","1471-2105","http://creativecommons.org/licenses/by/4.0/",TRUE,"30925864","PMC6439972","ut:000462857100005",NA,TRUE
"Université d'Evry-Val-d'Essonne",2019,1595,"10.1371/journal.pone.0213387",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"30845214","PMC6405192","ut:000460638800079",NA,TRUE
"",,,"","","","","","","","","","","","","","",""
"Université d'Evry-Val-d'Essonne",2019,4310,"10.1016/j.celrep.2019.04.031",FALSE,"Elsevier BV","Cell Reports","2211-1247","2211-1247",NA,"2211-1247","http://creativecommons.org/licenses/by/4.0/",TRUE,"31067465",NA,"ut:000467058500015",NA,TRUE
"Université d'Evry-Val-d'Essonne",2019,1900,"10.3389/fmolb.2019.00045",FALSE,"Frontiers Media SA","Frontiers in Molecular Biosciences","2296-889X",NA,"2296-889X","2296-889X","https://creativecommons.org/licenses/by/4.0/",TRUE,"31245385","PMC6581711","ut:000472104000001",NA,TRUE
"Université d'Evry-Val-d'Essonne",2019,1305,"10.1175/jtech-d-18-0145.1",TRUE,"American Meteorological Society","Journal of Atmospheric and Oceanic Technology","0739-0572","0739-0572","1520-0426","0739-0572",NA,TRUE,NA,NA,NA,NA,FALSE
"Université d'Evry-Val-d'Essonne",2019,890,"10.1177/1729881419861769",FALSE,"SAGE Publications","International Journal of Advanced Robotic Systems","1729-8814","1729-8814","1729-8814","1729-8806","http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,"ut:000478040000001",NA,TRUE
"Université d'Evry-Val-d'Essonne",2019,1337,"10.1029/2019ea000669",FALSE,"American Geophysical Union (AGU)","Earth and Space Science","2333-5084","2333-5084","2333-5084","2333-5084","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université d'Evry-Val-d'Essonne",2019,1463,"10.5194/gmd-12-3687-2019",FALSE,"Copernicus GmbH","Geoscientific Model Development","1991-9603",NA,"1991-9603","1991-959X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000482520600003",NA,TRUE
"Université d'Evry-Val-d'Essonne",2019,3200,"10.1093/nar/gkz926",FALSE,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048","0305-1048","1362-4962","0305-1048","http://creativecommons.org/licenses/by/4.0/",TRUE,"31647104","PMC7145621","ut:000525956700079",NA,TRUE
"Université d'Evry-Val-d'Essonne",2019,1636.79,"10.3390/s19224958",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"31739484","PMC6891670","ut:000503381500137",NA,TRUE
"Université d'Evry-Val-d'Essonne",2020,3283.88,"10.1103/physrevx.10.011031",FALSE,"American Physical Society (APS)","Physical Review X","2160-3308",NA,"2160-3308","2160-3308","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université d'Evry-Val-d'Essonne",2020,950,"10.1105/tpc.19.00917",TRUE,"American Society of Plant Biologists (ASPB)","The Plant Cell","1040-4651","1040-4651","1532-298X","1040-4651","http://aspb.org/publications/aspb-journals/open-articles",TRUE,"32265268",NA,"ut:000545969900023",NA,FALSE
"Université d'Evry-Val-d'Essonne",2020,2650,"10.1093/bioinformatics/btaa484",TRUE,"Oxford University Press (OUP)","Bioinformatics","1367-4803","1367-4803","1460-2059","1367-4803","http://creativecommons.org/licenses/by/4.0/",TRUE,"32403123","PMC7575051","ut:000606794200012",NA,FALSE
