"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"EZUS - LYON",2023,574.55,"10.1214/22-ejs2094",FALSE,"Institute of Mathematical Statistics","Electronic Journal of Statistics","1935-7524","1935-7524",NA,"1935-7524",NA,TRUE,NA,NA,NA,NA,TRUE
"EZUS - LYON",2023,2288,"10.1111/eva.13550",FALSE,"Wiley-Blackwell","Evolutionary Applications","1752-4571","1752-4571","1752-4571","1752-4571","http://creativecommons.org/licenses/by/4.0/",TRUE,"37216030","PMC10197226",NA,NA,TRUE
"EZUS - LYON",2023,2428.79,"10.3390/jcm12030849",FALSE,"MDPI AG","Journal of Clinical Medicine","2077-0383",NA,"2077-0383","2077-0383","https://creativecommons.org/licenses/by/4.0/",TRUE,"36769498","PMC9917955",NA,NA,FALSE
"EZUS - LYON",2023,2021.54,"10.3390/ijerph20021389",FALSE,"MDPI AG","International Journal of Environmental Research and Public Health","1660-4601",NA,"1660-4601","1660-4601","https://creativecommons.org/licenses/by/4.0/",TRUE,"36674148","PMC9859068",NA,NA,FALSE
"EZUS - LYON",2023,2298.19,"10.1097/hc9.0000000000000078",FALSE,"Ovid Technologies (Wolters Kluwer Health)","Hepatology Communications","2471-254X",NA,"2471-254X","2471-254X","http://creativecommons.org/licenses/by/4.0/ http://creativecommons.org/licenses/by/4.0/",TRUE,"37058078","PMC10109841",NA,NA,TRUE
"EZUS - LYON",2023,1770.45,"10.3389/fspor.2023.1128075",FALSE,"Frontiers Media SA","Frontiers in Sports and Active Living","2624-9367",NA,"2624-9367","2624-9367","https://creativecommons.org/licenses/by/4.0/",TRUE,"36935884","PMC10020231",NA,NA,TRUE
"EZUS - LYON",2023,1799.81,"10.3390/e25020327",FALSE,"MDPI AG","Entropy","1099-4300",NA,"1099-4300","1099-4300","https://creativecommons.org/licenses/by/4.0/",TRUE,"36832693","PMC9954873",NA,NA,TRUE
"EZUS - LYON",2023,2164.1,"10.1016/j.talanta.2022.123839",TRUE,"Elsevier BV","Talanta","0039-9140","0039-9140",NA,"0039-9140","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36027619",NA,NA,NA,FALSE
"EZUS - LYON",2023,1977.61,"10.3390/ijms24054702",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"36902138","PMC10003364",NA,NA,FALSE
"EZUS - LYON",2023,2647.66,"10.3390/v15030778",FALSE,"MDPI AG","Viruses","1999-4915",NA,"1999-4915","1999-4915","https://creativecommons.org/licenses/by/4.0/",TRUE,"36992485","PMC10058809",NA,NA,TRUE
"EZUS - LYON",2023,2553.54,"10.7554/elife.85993",FALSE,"eLife Sciences Publications, Ltd","eLife","2050-084X",NA,"2050-084X","2050-084X","http://creativecommons.org/licenses/by/4.0/",TRUE,"37278068","PMC10259472",NA,NA,TRUE
"EZUS - LYON",2023,2749.52,"10.3389/fnins.2023.1228062",FALSE,"Frontiers Media SA","Frontiers in Neuroscience","1662-453X",NA,"1662-453X","1662-453X","https://creativecommons.org/licenses/by/4.0/",TRUE,"37645373","PMC10461095",NA,NA,TRUE
"EZUS - LYON",2023,1188.31,"10.1016/j.polymertesting.2023.108052",FALSE,"Elsevier BV","Polymer Testing","0142-9418","0142-9418",NA,"0142-9418","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"EZUS - LYON",2023,2015.65,"10.2196/49587",FALSE,"JMIR Publications Inc.","JMIR Aging","2561-7605",NA,"2561-7605","2561-7605",NA,TRUE,"38010904","PMC10694640",NA,NA,TRUE
"EZUS - LYON",2023,886.67,"10.3389/fspor.2023.1236143",FALSE,"Frontiers Media SA","Frontiers in Sports and Active Living","2624-9367",NA,"2624-9367","2624-9367","https://creativecommons.org/licenses/by/4.0/",TRUE,"38022769","PMC10646390",NA,NA,TRUE
"EZUS - LYON",2023,1846.63,"10.1109/tnsre.2023.3328936",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Neural Systems and Rehabilitation Engineering","1534-4320","1534-4320","1558-0210","1534-4320","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,"37906486",NA,NA,NA,TRUE
"EZUS - LYON",2023,2945,"10.1186/s13046-023-02909-5",FALSE,"Springer Nature","Journal of Experimental & Clinical Cancer Research","1756-9966",NA,"1756-9966","1756-9966","https://creativecommons.org/licenses/by/4.0",TRUE,"38008756","PMC10680185",NA,NA,TRUE
"EZUS - LYON",2023,2809.2,"10.3389/fpubh.2023.1326771",FALSE,"Frontiers Media SA","Frontiers in Public Health","2296-2565",NA,"2296-2565","2296-2565","https://creativecommons.org/licenses/by/4.0/",TRUE,"38179573","PMC10764472",NA,NA,TRUE
"EZUS - LYON",2023,3245,"10.1186/s13054-023-04759-1",FALSE,"Springer Nature","Critical Care","1364-8535",NA,"1364-8535","1364-8535","https://creativecommons.org/licenses/by/4.0",TRUE,"38049866","PMC10694984",NA,NA,TRUE
"EZUS - LYON",2024,1000,"10.3390/s24247999",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"39771734","PMC11679155",NA,NA,TRUE
"EZUS - LYON",2024,1814.54,"10.3390/risks12060092",FALSE,"MDPI AG","Risks","2227-9091",NA,"2227-9091","2227-9091","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"EZUS - LYON",2024,1875.02,"10.3390/risks12030057",FALSE,"MDPI AG","Risks","2227-9091",NA,"2227-9091","2227-9091","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"EZUS - LYON",2024,2756.93,"10.3390/jcm13226653",FALSE,"MDPI AG","Journal of Clinical Medicine","2077-0383",NA,"2077-0383","2077-0383","https://creativecommons.org/licenses/by/4.0/",TRUE,"39597796","PMC11594283",NA,NA,FALSE
"EZUS - LYON",2024,481.78,"10.3389/fspor.2024.1489456",FALSE,"Frontiers Media SA","Frontiers in Sports and Active Living","2624-9367",NA,"2624-9367","2624-9367","https://creativecommons.org/licenses/by/4.0/",TRUE,"39742108","PMC11685194",NA,NA,TRUE
"EZUS - LYON",2024,2814.64,"10.3389/fpubh.2024.1432324",FALSE,"Frontiers Media SA","Frontiers in Public Health","2296-2565",NA,"2296-2565","2296-2565","https://creativecommons.org/licenses/by/4.0/",TRUE,"39534739","PMC11555563",NA,NA,TRUE
"EZUS - LYON",2024,2830,"10.2196/63776",FALSE,"JMIR Publications Inc.","JMIR mHealth and uHealth","2291-5222",NA,"2291-5222","2291-5222",NA,TRUE,"39447142","PMC11527390",NA,NA,TRUE
"EZUS - LYON",2024,3363.9,"10.1681/asn.0000000000000452",TRUE,"Ovid Technologies (Wolters Kluwer Health)","Journal of the American Society of Nephrology","1046-6673","1046-6673","1533-3450","1046-6673","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"39141438",NA,NA,NA,FALSE
"EZUS - LYON",2024,1990,"10.1186/s42155-024-00444-8",FALSE,"Springer Nature","CVIR Endovascular","2520-8934",NA,"2520-8934","2520-8934","https://creativecommons.org/licenses/by/4.0",TRUE,"38492037","PMC10944426",NA,NA,TRUE
"EZUS - LYON",2024,1890,"10.1186/s42155-023-00423-5",FALSE,"Springer Nature","CVIR Endovascular","2520-8934",NA,"2520-8934","2520-8934","https://creativecommons.org/licenses/by/4.0",TRUE,"38175362","PMC10766936",NA,NA,TRUE
"EZUS - LYON",2024,3045,"10.1186/s12984-024-01353-6",FALSE,"Springer Nature","Journal of NeuroEngineering and Rehabilitation","1743-0003",NA,"1743-0003","1743-0003","https://creativecommons.org/licenses/by/4.0",TRUE,"38622731","PMC11020208",NA,NA,TRUE
"EZUS - LYON",2024,3045,"10.1186/s12984-024-01348-3",FALSE,"Springer Nature","Journal of NeuroEngineering and Rehabilitation","1743-0003",NA,"1743-0003","1743-0003","https://creativecommons.org/licenses/by/4.0",TRUE,"38622634","PMC11017566",NA,NA,TRUE
"EZUS - LYON",2024,3190,"10.1186/s12916-024-03444-6",FALSE,"Springer Nature","BMC Medicine","1741-7015",NA,"1741-7015","1741-7015","https://creativecommons.org/licenses/by/4.0",TRUE,"38840159","PMC11155114",NA,NA,TRUE
"EZUS - LYON",2024,1600,"10.1177/16094069241251543",FALSE,"SAGE Publications","International Journal of Qualitative Methods","1609-4069","1609-4069","1609-4069","1609-4069","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,TRUE
"EZUS - LYON",2024,2345,"10.1038/s41598-024-60382-2",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"38744985","PMC11093974",NA,NA,TRUE
"EZUS - LYON",2024,3445,"10.1038/s41541-024-00899-9",FALSE,"Springer Nature","npj Vaccines","2059-0105",NA,"2059-0105","2059-0105","https://creativecommons.org/licenses/by/4.0",TRUE,"38898106","PMC11187144",NA,NA,TRUE
"EZUS - LYON",2024,2820,"10.1016/j.isci.2024.111350",FALSE,"Elsevier BV","iScience","2589-0042","2589-0042",NA,"2589-0042","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"39650736","PMC11625291",NA,NA,TRUE
"EZUS - LYON",2024,2600,"10.1016/j.isci.2021.103423",FALSE,"Elsevier BV","iScience","2589-0042","2589-0042",NA,"2589-0042","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"34849474","PMC8608609",NA,NA,TRUE
