"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn/isbn";"issn_print";"issn_electronic";"url"
"Université de Franche-Comté";2023;2694;"10.1186/s13102-023-00714-3";"FALSE";;;;;;
"Université de Franche-Comté";2023;3014;"10.1093/ehjacc/zuad119";"TRUE";;;;;;
"Université de Franche-Comté";2023;2578,21;"10.3390/ijerph20126128";"FALSE";;;;;;
"Université de Franche-Comté";2023;3174;"10.1186/s12885-023-10902-6";"FALSE";;;;;;
"Université de Franche-Comté";2023;1454,35;"10.1016/j.ecoenv.2023.115185";"FALSE";;;;;;
"Université de Franche-Comté";2023;1224,08;"10.3389/fmicb.2023.1249884";"FALSE";;;;;;
"Université de Franche-Comté";2023;3006,18;"10.1186/s12935-023-02971-1";"FALSE";;;;;;
"Université de Franche-Comté";2023;6228;"10.1038/s41388-023-02813-4";"TRUE";;;;;;
"Université de Franche-Comté";2023;1880,4;"10.1038/s41598-022-24682-9";"FALSE";;;;;;
"Université de Franche-Comté";2023;1971,63;"10.1364/OE.486550";"FALSE";;;;;;
"Université de Franche-Comté";2023;373,98;"10.1146/annurev-control-090623-115925";"TRUE";;;;;;
"Université de Franche-Comté";2023;2193,06;"10.3390/en16031294";"FALSE";;;;;;
"Université de Franche-Comté";2023;1956,23;"10.1364/OE.486235";"FALSE";;;;;;
"Université de Franche-Comté";2023;2440;"10.1088/1361-6528/acd0b5";"TRUE";;;;;;
"Université de Franche-Comté";2023;293,48;"10.1016/j.dib.2022.107835";"FALSE";;;;;;
"Université de Franche-Comté";2023;970,04;"10.13039/501100011742";"TRUE";;;;;;
"Université de Franche-Comté";2023;419,75;"10.1016/j.rinp.2023.106830";"FALSE";;;;;;
"Université de Franche-Comté";2023;1414,16;"10.3390/brainsci13060967";"FALSE";;;;;;
"Université de Franche-Comté";2023;1550,4;"10.1016/j.biopha.2022.113100";"FALSE";;;;;;
"Université de Franche-Comté";2023;3115,24;"10.3390/ijms24108750";"FALSE";;;;;;
"Université de Franche-Comté";2023;2970,6;"10.3389/fnins.2023.1181674";"FALSE";;;;;;
"Université de Franche-Comté";2023;867,16;"10.1109/ACCESS.2023.3295329";"FALSE";;;;;;
"Université de Franche-Comté";2023;2814;"10.1186/s12909-023-04744-w";"FALSE";;;;;;
"Université de Franche-Comté";2023;1862,75;"10.3390/pharmaceutics15071927";"FALSE";;;;;;
"Université de Franche-Comté";2023;2292,6;"10.3390/biomedicines11092350";"FALSE";;;;;;
"Université de Franche-Comté";2023;511,74;"10.3390/M1689";"FALSE";;;;;;
