institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;url
Hospices Civils de Lyon;2018;1657;10.1155/2018/2954546;FALSE;;;;
Hospices Civils de Lyon;2020;2670;10.1186/s40246-020-00281-5;FALSE;;;;
Hospices Civils de Lyon;2019;1990;10.1186/s12877-019-1204-1;FALSE;;;;
Hospices Civils de Lyon;2019;1800;10.1186/s12877-019-1059-5;FALSE;;;;
Hospices Civils de Lyon;2019;2590;10.1016/j.ejrad.2018.11.035;TRUE;;;;
Hospices Civils de Lyon;2020;3021;10.1016/j.jamda.2020.09.015;TRUE;;;;
Hospices Civils de Lyon;2020;2270;10.2147/PPA.S257323;FALSE;;;;
Hospices Civils de Lyon;2017;1630;10.3390/ijms18102097;FALSE;;;;
Hospices Civils de Lyon;2020;1386;10.1016/j.kint.2020.03.027;TRUE;;;;
Hospices Civils de Lyon;2019;673;10.2337/dc18-2535;FALSE;;;;
Hospices Civils de Lyon;2019;1247;10.1371/journal.pone.0197655;FALSE;;;;
Hospices Civils de Lyon;2018;629;10.1128/JCM.01361-17;FALSE;;;;
Hospices Civils de Lyon;2019;1710;10.3389/fimmu.2019.01726;FALSE;;;;
Hospices Civils de Lyon;2019;1798;10.2147/PPA.S211769;FALSE;;;;
Hospices Civils de Lyon;2019;1151;10.21037/jtd.2020.03.21;FALSE;;;;
Hospices Civils de Lyon;2019;1128;10.1128/AAC.00993-19;FALSE;;;;
Hospices Civils de Lyon;2020;2038;10.3390/jcm9103280;FALSE;;;;
Hospices Civils de Lyon;2017;2200;10.1007/s12311-017-0907-0;TRUE;;;;
Hospices Civils de Lyon;2019;1827;10.1016/j.ymgmr.2019.100509;FALSE;;;;
Hospices Civils de Lyon;2020;1900;10.1136/bmjopen-2020-041268;FALSE;;;;
Hospices Civils de Lyon;2018;1247;10.1371/journal.pone.0200064;FALSE;;;;
Hospices Civils de Lyon;2019;820;10.1016/j.hrcr.2019.09.011;FALSE;;;;
Hospices Civils de Lyon;2017;1766;10.3389/fnins.2017.00582;FALSE;;;;
Hospices Civils de Lyon;2020;2950;10.1200/JCO.20.00803;FALSE;;;;
Hospices Civils de Lyon;2018;1574;10.1016/j.nicl.2018.04.001;FALSE;;;;
Hospices Civils de Lyon;2018;1871;10.3389/fneur.2018.00555;FALSE;;;;
Hospices Civils de Lyon;2020;1770;10.1016/j.jbo.2020.100275;FALSE;;;;
Hospices Civils de Lyon;2019;1900;10.1136/bmjopen-2019-032910;FALSE;;;;
Hospices Civils de Lyon;2020;2680;10.1186/s13054-020-03122-y;FALSE;;;;
Hospices Civils de Lyon;2019;2290;10.1186/s13054-019-2560-0;FALSE;;;;
Hospices Civils de Lyon;2020;1667,75;10.3390/ijms21186956;FALSE;;;;
Hospices Civils de Lyon;2018;576;10.1002/ccr3.1450;FALSE;;;;
Hospices Civils de Lyon;2020;2490;10.1186/s40478-020-01067-5;FALSE;;;;
Hospices Civils de Lyon;2020;1976;10.1681/ASN.2019111205;FALSE;;;;
Hospices Civils de Lyon;2020;1575;10.3390/ijms21186807;FALSE;;;;
Hospices Civils de Lyon;2020;1717;10.1016/j.diagmicrobio.2020.115201;TRUE;;;;
Hospices Civils de Lyon;2019;2205;10.3389/fimmu.2019.02704;FALSE;;;;
Hospices Civils de Lyon;2020;1474;10.1371/journal.pone.0231873;FALSE;;;;
Hospices Civils de Lyon;2020;2105;10.1186/s13195-020-00590-w;FALSE;;;;
Hospices Civils de Lyon;2019;1274;10.1155/2019/7019046;FALSE;;;;
Hospices Civils de Lyon;2020;2755;10.3389/fimmu.2020.01183;FALSE;;;;
Hospices Civils de Lyon;2017;576;10.1002/ccr3.1198;FALSE;;;;
Hospices Civils de Lyon;2020;693;10.22203/eCM.v040a05;FALSE;;;;
Hospices Civils de Lyon;2020;2225;10.1186/s13049-020-00772-3;FALSE;;;;
Hospices Civils de Lyon;2020;1061;10.3389/fped.2020.00418;FALSE;;;;
Hospices Civils de Lyon;2020;2190;10.1038/s41467-020-18925-4;FALSE;;;;
Hospices Civils de Lyon;2019;1925;10.3389/fimmu.2019.02992;FALSE;;;;
Hospices Civils de Lyon;2020;1894;10.3390/jcm9051262;FALSE;;;;
Hospices Civils de Lyon;2019;1490;10.1038/s41598-019-48502-9;FALSE;;;;
Hospices Civils de Lyon;2019;1405;10.3390/toxins11110635;FALSE;;;;
Hospices Civils de Lyon;2019;812,19;10.3390/jcm8081107;FALSE;;;;
Hospices Civils de Lyon;2020;1861;10.3390/ijms21176316;FALSE;;;;
Hospices Civils de Lyon;2019;1818;10.3390/nu11122946;FALSE;;;;
Hospices Civils de Lyon;2020;1925;10.1186/s12879-020-05406-8;FALSE;;;;
Hospices Civils de Lyon;2020;2547;10.14309/ctg.0000000000000137;FALSE;;;;
Hospices Civils de Lyon;2020;1510;10.1016/j.ijid.2020.01.037;FALSE;;;;
Hospices Civils de Lyon;2019;1745;10.1186/s13063-019-3303-x;FALSE;;;;
Hospices Civils de Lyon;2020;1455;10.1128/AAC.02231-19;FALSE;;;;
Hospices Civils de Lyon;2020;1790;10.1186/s13063-019-4015-y;FALSE;;;;
Hospices Civils de Lyon;2019;1366;10.1002/cre2.184;FALSE;;;;
Hospices Civils de Lyon;2017;935,11;10.12688/f1000research.10950.1;FALSE;;;;
Hospices Civils de Lyon;2019;1423;10.1371/journal.pone.0214134;FALSE;;;;
Hospices Civils de Lyon;2020;1050;10.1016/j.ijid.2019.11.008;FALSE;;;;
Hospices Civils de Lyon;2019;1303;10.21037/jtd.2020.04.21;FALSE;;;;
