"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn";"issn_print";"issn_electronic";"url"
"IFSTTAR";2019;1003,2;"10.17265/1934-8975/2019.02.001";"FALSE";;;;;;
"IFSTTAR";2019;1550;"10.1016/j.trb.2019.02.009";"TRUE";;;;;;
"IFSTTAR";2019;1550;"10.1016/j.trb.2019.02.014";"TRUE";;;;;;
"IFSTTAR";2019;1860;"10.1016/j.trf.2019.04.004";"TRUE";;;;;;
"IFSTTAR";2019;629,2;"10.1016/j.dib.2019.104590";"FALSE";;;;;;
"IFSTTAR";2019;430;"10.1016/j.dib.2019.103828";"FALSE";;;;;;
"IFSTTAR";2019;1848;"10.1109/ACCESS.2019.2893362.";"FALSE";;;;;;
"IFSTTAR";2019;519,68;"10.1109/ACCESS.2019.2944389";"FALSE";;;;;;
"IFSTTAR";2019;1589,92;"10.3390/s19020242";"FALSE";;;;;;
"IFSTTAR";2019;1577,32;"10.3390/s19030742";"FALSE";;;;;;
"IFSTTAR";2019;1297,1;"10.3390/s19040953";"FALSE";;;;;;
"IFSTTAR";2018;1416,88;"10.3390/ijerph15081642";"FALSE";;;;;;
"IFSTTAR";2018;2336,4;"10.3389/fnhum.2018.00525";"FALSE";;;;;;
"IFSTTAR";2019;493,97;"10.3390/en12142727";"FALSE";;;;;;
"IFSTTAR";2019;1498,52;"10.3390/en12061009";"FALSE";;;;;;
"IFSTTAR";2019;264,07;"10.3390/environments6030027";"FALSE";;;;;;
"IFSTTAR";2019;1490;"10.1038/s41598-019-46537-6";"FALSE";;;;;;
"IFSTTAR";2019;2045;"10.1186/s12940-019-0540-0";"FALSE";;;;;;
"IFSTTAR";2019;350;"10.7307/ptt.v31i2.2849 ";"FALSE";;;;;;
"IFSTTAR";2019;716,8;"10.2136/vzj2018.07.0140";"FALSE";;;;;;
