"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"ILL - Institut Laue-Langevin",2021,1570,"10.1038/s41598-020-79676-2",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"33432070","PMC7801420","ut:000627829300157",NA,TRUE
"ILL - Institut Laue-Langevin",2021,2428,"10.3389/fchem.2021.628186",FALSE,"Frontiers Media SA","Frontiers in Chemistry","2296-2646",NA,"2296-2646","2296-2646","https://creativecommons.org/licenses/by/4.0/",TRUE,"33968895","PMC8104085","ut:000635376800001",NA,TRUE
"ILL - Institut Laue-Langevin",2021,2471,"10.1021/acs.langmuir.0c02935",TRUE,"American Chemical Society (ACS)","Langmuir","0743-7463","0743-7463","1520-5827","0743-7463","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"33724851",NA,"ut:000639003400003",NA,FALSE
"ILL - Institut Laue-Langevin",2021,1770,"10.1016/j.nima.2021.165230",TRUE,"Elsevier BV","Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","0168-9002","0168-9002",NA,"0168-9002","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000636224700007",NA,FALSE
"ILL - Institut Laue-Langevin",2021,1770,"10.1016/j.nima.2021.165558",TRUE,"Elsevier BV","Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","0168-9002","0168-9002",NA,"0168-9002","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000672431800006",NA,FALSE
"ILL - Institut Laue-Langevin",2021,1690,"10.1038/s41598-021-93996-x",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"34290262","PMC8295359","ut:000687318300081",NA,TRUE
"ILL - Institut Laue-Langevin",2021,1686,"10.3390/nano11113067",FALSE,"MDPI AG","Nanomaterials","2079-4991",NA,"2079-4991","2079-4991","https://creativecommons.org/licenses/by/4.0/",TRUE,"34835831","PMC8620422","ut:000724477600001",NA,TRUE
"",,,"","","","","","","","","","","","","","",""
"",,,"","","","","","","","","","","","","","",""
"ILL - Institut Laue-Langevin",2021,1298,"10.3390/cryst11080897",FALSE,"MDPI AG","Crystals","2073-4352",NA,"2073-4352","2073-4352","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000688807000001",NA,TRUE
"",,,"","","","","","","","","","","","","","",""
