"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"INRA",2017,1305,"10.1038/s41598-017-07593-y",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"28798305","PMC5552874","ut:000407400200012",NA,TRUE
"INRA",2017,1305,"10.1038/s41598-017-16614-9",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"29263358","PMC5738420","ut:000418389000004",NA,TRUE
"INRA",2017,1305,"10.1038/srep44334",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"28287150","PMC5347079","ut:000396095200001",NA,TRUE
"INRA",2017,2098,"10.1111/1751-7915.12747",FALSE,"Wiley-Blackwell","Microbial Biotechnology","1751-7915","1751-7915",NA,"1751-7915","http://creativecommons.org/licenses/by/4.0/",TRUE,"28695687","PMC5743810","ut:000418789600008",NA,TRUE
"INRA",2017,1405.3,"10.1371/journal.pone.0172113",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"28207869","PMC5312967","ut:000394424500086",NA,TRUE
"INRA",2017,281.7,"10.3390/pr4040051",FALSE,"MDPI AG","Processes","2227-9717",NA,"2227-9717","2227-9717","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000391592700018",NA,TRUE
"INRA",2017,1305,"10.1038/s41598-017-06511-6",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"28743971","PMC5526995","ut:000406281400012",NA,TRUE
"INRA",2017,1474,"10.3382/ps/pew444",TRUE,"Elsevier BV","Poultry Science","0032-5791","0032-5791",NA,"0032-5791","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28339732","PMC5447358","ut:000402795900027",NA,TRUE
"INRA",2017,1305,"10.1038/s41598-017-01078-8",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"28424471","PMC5430435","ut:000399535300001",NA,TRUE
"INRA",2017,2250,"10.1371/journal.pgen.1006666",FALSE,"Public Library of Science (PLoS)","PLOS Genetics","1553-7404",NA,"1553-7404","1553-7390","http://creativecommons.org/licenses/by/4.0/",TRUE,"28301472","PMC5373671","ut:000398043000028",NA,TRUE
"INRA",2017,1254,"10.1371/journal.pone.0184015",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"28886097","PMC5590879","ut:000410001100054",NA,TRUE
"INRA",2017,1127.06,"10.4236/fns.2017.84029",FALSE,"Scientific Research Publishing, Inc.","Food and Nutrition Sciences","2157-944X","2157-944X","2157-9458","2157-944X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"INRA",2017,2867,"10.1105/tpc.16.00435",TRUE,"American Society of Plant Biologists (ASPB)","The Plant Cell","1040-4651","1040-4651","1532-298X","1040-4651",NA,TRUE,"28087830",NA,"ut:000394129700013",NA,FALSE
"INRA",2017,2500,"10.1111/1744-7917.12469",TRUE,"Wiley-Blackwell","Insect Science","1672-9609","1672-9609",NA,"1672-9609","http://creativecommons.org/licenses/by/4.0/",TRUE,"28421675","PMC5724696","ut:000423298700007",NA,FALSE
"INRA",2017,1403.36,"10.1371/journal.pone.0174398",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"28467423","PMC5414972","ut:000400647000005",NA,TRUE
"INRA",2017,2141.4,"10.3389/fpls.2017.00265",FALSE,"Frontiers Media SA","Frontiers in Plant Science","1664-462X",NA,"1664-462X","1664-462X",NA,TRUE,"28293247","PMC5329020","ut:000394892400002",NA,TRUE
"INRA",2017,1081.48,"10.3389/fpls.2017.00431",FALSE,"Frontiers Media SA","Frontiers in Plant Science","1664-462X",NA,"1664-462X","1664-462X",NA,TRUE,"28400786","PMC5368246","ut:000397429200001",NA,TRUE
"INRA",2017,1305,"10.1038/s41598-017-08380-5",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"28819220","PMC5561069","ut:000407864000023",NA,TRUE
"INRA",2017,1305,"10.1038/srep40568",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"28084452","PMC5234012","ut:000392174600001",NA,TRUE
"INRA",2017,2200,"10.1007/s00122-017-3003-4",TRUE,"Springer Nature","Theoretical and Applied Genetics","0040-5752","0040-5752","1432-2242","0040-5752","http://creativecommons.org/licenses/by/4.0",TRUE,"29098310","PMC5787229","ut:000423400100006",NA,FALSE
"INRA",2017,1200,"10.1038/nature22380",TRUE,"Springer Nature","Nature","0028-0836","0028-0836","1476-4687","0028-0836","https://creativecommons.org/licenses/by/4.0",TRUE,"28538728",NA,"ut:000402372800046",NA,FALSE
"INRA",2017,1305,"10.1038/s41598-017-04853-9",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"28687734","PMC5501821","ut:000404970900041",NA,TRUE
"INRA",2017,3400,"10.1111/tpj.13429",TRUE,"Wiley-Blackwell","The Plant Journal","0960-7412","0960-7412",NA,"0960-7412","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"27870294","PMC5516170","ut:000408134600008",NA,FALSE
"INRA",2017,1935,"10.1371/journal.pgen.1007143",FALSE,"Public Library of Science (PLoS)","PLOS Genetics","1553-7404",NA,"1553-7404","1553-7390","http://creativecommons.org/licenses/by/4.0/",TRUE,"29272270","PMC5757927","ut:000419103000027",NA,TRUE
"INRA",2017,1350,"10.1371/journal.pone.0179782",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"28683084","PMC5500287","ut:000405335200015",NA,TRUE
"INRA",2017,1950,"10.3389/fmicb.2017.01236",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X",NA,TRUE,"28729859","PMC5498481","ut:000405228400001",NA,TRUE
"INRA",2017,1850,"10.3389/fpls.2017.01633",FALSE,"Frontiers Media SA","Frontiers in Plant Science","1664-462X",NA,"1664-462X","1664-462X",NA,TRUE,"28983306","PMC5613134","ut:000411408000001",NA,TRUE
"INRA",2017,1989.51,"10.3389/fmicb.2017.00598",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X",NA,TRUE,"28428778","PMC5382197","ut:000398464400001",NA,TRUE
"INRA",2017,931.26,"10.3389/fmicb.2017.01366",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X",NA,TRUE,"28790986","PMC5524725","ut:000406342500001",NA,TRUE
"INRA",2017,1800,"10.1186/s12859-017-1742-5",FALSE,"Springer Nature","BMC Bioinformatics","1471-2105",NA,"1471-2105","1471-2105",NA,TRUE,"28697800","PMC5504623","ut:000406607100002",NA,TRUE
"INRA",2017,2007.8,"10.3389/fmicb.2017.00359",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X",NA,TRUE,"28337182","PMC5340753","ut:000395681500001",NA,TRUE
"INRA",2017,1305,"10.1038/s41598-017-17212-5",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"29259180","PMC5736637","ut:000418359600088",NA,TRUE
"INRA",2017,550,"10.1371/journal.pone.0171104",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"28187126","PMC5302804","ut:000394244300011",NA,TRUE
"INRA",2017,1363.06,"10.1104/pp.16.00621",TRUE,"American Society of Plant Biologists (ASPB)","Plant Physiology","0032-0889","0032-0889","1532-2548","0032-0889",NA,TRUE,"27436830",NA,"ut:000391147700011",NA,FALSE
"INRA",2017,2431.8,"10.1104/pp.17.00698",TRUE,"American Society of Plant Biologists (ASPB)","Plant Physiology","0032-0889","0032-0889","1532-2548","0032-0889","http://aspb.org/publications/aspb-journals/open-articles",TRUE,"28899961",NA,"ut:000414052500009",NA,FALSE
"INRA",2017,2184,"10.1186/s13007-017-0246-7",FALSE,"Springer Nature","Plant Methods","1746-4811",NA,"1746-4811","1746-4811",NA,TRUE,"29176999","PMC5688816","ut:000414783300004",NA,TRUE
"INRA",2017,1820,"10.1186/s13007-017-0248-5",FALSE,"Springer Nature","Plant Methods","1746-4811",NA,"1746-4811","1746-4811",NA,TRUE,"29151844","PMC5678554","ut:000414783300006",NA,TRUE
"INRA",2017,1668.66,NA,FALSE,"SciMed Central","JSM Biotechnology & Biomedical Engineering","2333-7117",NA,NA,"2333-7117",NA,FALSE,NA,NA,NA,"https://www.jscimedcentral.com/jounal-article-pdfd/JSM-Biotechnology-and-Biomedical-Engineering/biotechnology-3-1071.pdf",FALSE
