"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"INRAE",2018,1224,"10.1002/ece3.4391",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758","2045-7758",NA,"2045-7758","http://creativecommons.org/licenses/by/4.0/",TRUE,"30271539","PMC6157692","ut:000445606000007",NA,TRUE
"INRAE",2018,2283.3,"10.3389/fmicb.2018.02204",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X","https://creativecommons.org/licenses/by/4.0/",TRUE,"30283423","PMC6157547","ut:000445011600001",NA,TRUE
"INRAE",2018,1210.95,"10.1371/journal.pone.0193748",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"29518106","PMC5843216","ut:000426902900036",NA,TRUE
"INRAE",2018,2673.51,"10.1007/s00239-018-9878-0",TRUE,"Springer Nature","Journal of Molecular Evolution","0022-2844","0022-2844","1432-1432","0022-2844","https://creativecommons.org/licenses/by/4.0",TRUE,"30456442","PMC6267676","ut:000451330500008",NA,FALSE
"INRAE",2018,1305,"10.1038/s41598-018-20319-y",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"29382895","PMC5789981","ut:000423508900028",NA,TRUE
"INRAE",2018,1370,"10.1038/s41598-018-24381-4",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"29670193","PMC5906660","ut:000430280600040",NA,TRUE
"INRAE",2018,1206,"10.1093/gbe/evy158",FALSE,"Oxford University Press (OUP)","Genome Biology and Evolution","1759-6653",NA,"1759-6653","1759-6653","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"30060195","PMC6173279","ut:000455325000006",NA,TRUE
"INRAE",2018,1579.44,"10.1155/2018/4579734",FALSE,"Hindawi Publishing Corporation","International Journal of Endocrinology","1687-8337","1687-8337","1687-8345","1687-8337","http://creativecommons.org/licenses/by/4.0/",TRUE,"30018639","PMC6029501","ut:000437154600001",NA,TRUE
"INRAE",2018,1745,"10.1186/s12864-018-4764-0",FALSE,"Springer Nature","BMC Genomics","1471-2164",NA,"1471-2164","1471-2164","http://creativecommons.org/licenses/by/4.0/",TRUE,"29843609","PMC5975405","ut:000433332100002",NA,TRUE
"INRAE",2018,1745,"10.1186/s12864-018-4977-2",FALSE,"Springer Nature","BMC Genomics","1471-2164",NA,"1471-2164","1471-2164","http://creativecommons.org/licenses/by/4.0/",TRUE,"30107779","PMC6092800","ut:000441887900004",NA,TRUE
"INRAE",2018,1876,"10.3382/ps/pey267",FALSE,"Elsevier BV","Poultry Science","0032-5791","0032-5791",NA,"0032-5791","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"30085271",NA,"ut:000452126600036",NA,TRUE
"INRAE",2018,1213.05,"10.3382/ps/pey360",FALSE,"Elsevier BV","Poultry Science","0032-5791","0032-5791",NA,"0032-5791","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"30165680",NA,"ut:000462590500050",NA,TRUE
"INRAE",2018,1570,"10.1038/s41598-018-34338-2",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"30375496","PMC6207733","ut:000448736900001",NA,TRUE
"INRAE",2018,1085.63,"10.3389/fgene.2018.00159",FALSE,"Frontiers Media SA","Frontiers in Genetics","1664-8021",NA,"1664-8021","1664-8021","https://creativecommons.org/licenses/by/4.0/",TRUE,"29868111","PMC5968397","ut:000432412300001",NA,TRUE
"INRAE",2018,1935,"10.1371/journal.pcbi.1006085",FALSE,"Public Library of Science (PLoS)","PLOS Computational Biology","1553-7358",NA,"1553-7358","1553-734X","http://creativecommons.org/licenses/by/4.0/",TRUE,"29708968","PMC5945227","ut:000432169600025",NA,TRUE
"INRAE",2018,2309.85,"10.3389/fmicb.2018.02779",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X","https://creativecommons.org/licenses/by/4.0/",TRUE,"30524398","PMC6256188","ut:000450668500001",NA,TRUE
"INRAE",2018,1370,"10.1038/s41598-018-19493-w",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"29348608","PMC5773496","ut:000422739300100",NA,TRUE
"",,,"","","","","","","","","","","","","","",""
"INRAE",2018,2044.01,"10.1371/journal.pgen.1007304",FALSE,"Public Library of Science (PLoS)","PLOS Genetics","1553-7404",NA,"1553-7404","1553-7390","http://creativecommons.org/licenses/by/4.0/",TRUE,"29608565","PMC5897037","ut:000431115700018",NA,TRUE
"INRAE",2018,487.96,"10.3390/agriculture8020027",FALSE,"MDPI AG","Agriculture","2077-0472",NA,"2077-0472","2077-0472","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000427503400010",NA,TRUE
"INRAE",2018,1474.14,"10.3390/ijms19030899",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"29562647","PMC5877760","ut:000428309800256",NA,TRUE
"INRAE",2018,1370,"10.1038/s41598-018-27591-y",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"29915290","PMC6006304","ut:000435448300051",NA,TRUE
"INRAE",2018,1370,"10.1038/s41598-019-39193-3",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"30770849","PMC6377601","ut:000458752600005",NA,TRUE
"INRAE",2018,1800,"10.1186/s12864-018-4668-z",FALSE,"Springer Nature","BMC Genomics","1471-2164",NA,"1471-2164","1471-2164","http://creativecommons.org/licenses/by/4.0/",TRUE,"29728057","PMC5936029","ut:000431829200005",NA,TRUE
"INRAE",2018,1407,"10.1371/journal.pone.0209192",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"30543711","PMC6292630","ut:000453247500077",NA,TRUE
"INRAE",2018,1917,"10.1093/nar/gky301",FALSE,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048","0305-1048","1362-4962","0305-1048","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"29718355","PMC6030842","ut:000438374100077",NA,TRUE
"INRAE",2018,3938,"10.1111/mec.14523",TRUE,"Wiley-Blackwell","Molecular Ecology","0962-1083","0962-1083",NA,"0962-1083","http://creativecommons.org/licenses/by/4.0/",TRUE,"29421852","PMC5900718","ut:000429575900017",NA,FALSE
"INRAE",2018,931.5,"10.3389/fpls.2018.00139",FALSE,"Frontiers Media SA","Frontiers in Plant Science","1664-462X",NA,"1664-462X","1664-462X","https://creativecommons.org/licenses/by/4.0/",TRUE,"29472944","PMC5809434","ut:000424444200002",NA,TRUE
"INRAE",2018,1799.03,"10.3389/fmicb.2018.00100",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X","https://creativecommons.org/licenses/by/4.0/",TRUE,"29491848","PMC5817068","ut:000425128200001",NA,TRUE
"INRAE",2018,1210.95,"10.1371/journal.pone.0194893",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","https://creativecommons.org/publicdomain/zero/1.0/",TRUE,"29596500","PMC5875799","ut:000428630000047",NA,TRUE
"INRAE",2018,1841.36,"10.3389/fpls.2018.01746",FALSE,"Frontiers Media SA","Frontiers in Plant Science","1664-462X",NA,"1664-462X","1664-462X","https://creativecommons.org/licenses/by/4.0/",TRUE,"30568664","PMC6290248","ut:000452112600001",NA,TRUE
"INRAE",2018,950,"10.1038/s41477-018-0172-3",FALSE,"Springer Nature","Nature Plants","2055-0278",NA,"2055-0278","2055-0278","https://creativecommons.org/licenses/by/4.0",TRUE,"29915331","PMC6086335","ut:000443221200016",NA,FALSE
"INRAE",2018,1800,"10.1186/s12864-018-5239-z",FALSE,"Springer Nature","BMC Genomics","1471-2164",NA,"1471-2164","1471-2164","http://creativecommons.org/licenses/by/4.0/",TRUE,"30541448","PMC6291945","ut:000452965700004",NA,TRUE
"INRAE",2018,950,"10.1186/s12870-018-1337-y",FALSE,"Springer Nature","BMC Plant Biology","1471-2229",NA,"1471-2229","1471-2229","http://creativecommons.org/licenses/by/4.0/",TRUE,"30097018","PMC6086078","ut:000441272500004",NA,TRUE
"INRAE",2018,506,"10.3389/fpls.2018.01443",FALSE,"Frontiers Media SA","Frontiers in Plant Science","1664-462X",NA,"1664-462X","1664-462X","https://creativecommons.org/licenses/by/4.0/",TRUE,"30333845","PMC6176273","ut:000446049900001",NA,TRUE
"INRAE",2018,642.85,"10.1371/journal.pone.0198597",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"29883467","PMC5993251","ut:000434728100032",NA,TRUE
"INRAE",2018,2438.74,"10.1093/jxb/ery309",TRUE,"Oxford University Press (OUP)","Journal of Experimental Botany","0022-0957","0022-0957","1460-2431","0022-0957","http://creativecommons.org/licenses/by/4.0/",TRUE,"30137451","PMC6487589","ut:000469784900015",NA,FALSE
"INRAE",2018,1187.87,"10.3390/su10051380",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000435587100076",NA,TRUE
"INRAE",2018,1011.5,"10.15698/mic2019.01.665",FALSE,"Shared Science Publishers OG","Microbial Cell","2311-2638",NA,"2311-2638","2311-2638",NA,TRUE,"30652106","PMC6334232","ut:000455054200002",NA,TRUE
"INRAE",2018,2283.3,"10.3389/fmicb.2018.02158",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X","https://creativecommons.org/licenses/by/4.0/",TRUE,"30283413","PMC6156533","ut:000445008000001",NA,TRUE
"INRAE",2018,817,"10.3389/fonc.2018.00355",FALSE,"Frontiers Media SA","Frontiers in Oncology","2234-943X",NA,"2234-943X","2234-943X","https://creativecommons.org/licenses/by/4.0/",TRUE,"30250824","PMC6140628","ut:000444098100001",NA,TRUE
"",,,"","","","","","","","","","","","","","",""
"",,,"","","","","","","","","","","","","","",""
"",,,"","","","","","","","","","","","","","",""
"",,,"","","","","","","","","","","","","","",""
"INRAE",2018,1130.5,"10.1186/s12864-018-4490-7",FALSE,"Springer Nature","BMC Genomics","1471-2164",NA,"1471-2164","1471-2164",NA,TRUE,"29402214","PMC5800051","ut:000424154400002",NA,TRUE
"INRAE",2018,2790,"10.1186/s12915-018-0490-y",FALSE,"Springer Nature","BMC Biology","1741-7007",NA,"1741-7007","1741-7007",NA,TRUE,"29415713","PMC5803925","ut:000424676100001",NA,TRUE
"INRAE",2018,2173,"10.7554/elife.34460",FALSE,"eLife Sciences Publications, Ltd","eLife","2050-084X",NA,"2050-084X","2050-084X","http://creativecommons.org/licenses/by/4.0/",TRUE,"29683428","PMC5963923",NA,NA,TRUE
"INRAE",2018,590,"10.1016/j.fsi.2018.03.028",TRUE,"Elsevier BV","Fish & Shellfish Immunology","1050-4648","1050-4648",NA,"1050-4648","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29567136",NA,"ut:000457504400009",NA,FALSE
"INRAE",2018,2570,"10.1038/s41541-018-0052-x",FALSE,"Springer Nature","npj Vaccines","2059-0105",NA,"2059-0105","2059-0105","https://creativecommons.org/licenses/by/4.0",TRUE,"29707242","PMC5910381","ut:000436159300001",NA,TRUE
"INRAE",2018,1822.5,"10.1371/journal.ppat.1006920",FALSE,"Public Library of Science (PLoS)","PLOS Pathogens","1553-7374",NA,"1553-7374","1553-7366","http://creativecommons.org/licenses/by/4.0/",TRUE,"29489893","PMC5847313","ut:000426477000049",NA,TRUE
