"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"IRD - Institut de Recherche pour le Développement",2023,3489.87,"10.1016/j.jhydrol.2023.130156",TRUE,"Elsevier BV","Journal of Hydrology","0022-1694","0022-1694",NA,"0022-1694","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"IRD - Institut de Recherche pour le Développement",2023,2334.92,"10.1038/s41598-023-44430-x",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"37821679","PMC10567682",NA,NA,TRUE
"IRD - Institut de Recherche pour le Développement",2023,3425,"10.1093/ofid/ofad103",FALSE,"Oxford University Press (OUP)","Open Forum Infectious Diseases","2328-8957",NA,"2328-8957","2328-8957","https://creativecommons.org/licenses/by/4.0/",TRUE,"36968967","PMC10034755",NA,NA,TRUE
"IRD - Institut de Recherche pour le Développement",2023,1548,"10.3390/geosciences13090263",FALSE,"MDPI AG","Geosciences","2076-3263",NA,"2076-3263","2076-3263","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"IRD - Institut de Recherche pour le Développement",2023,774,"10.3390/atmos14091322",FALSE,"MDPI AG","Atmosphere","2073-4433",NA,"2073-4433","2073-4433","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"IRD - Institut de Recherche pour le Développement",2023,1633.96,"10.3390/ijms232314882",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"36499205","PMC9739279",NA,NA,FALSE
"IRD - Institut de Recherche pour le Développement",2023,2245,"10.1186/s12936-022-04361-w",FALSE,"Springer Nature","Malaria Journal","1475-2875",NA,"1475-2875","1475-2875","https://creativecommons.org/licenses/by/4.0",TRUE,"36447200","PMC9707106",NA,NA,TRUE
"IRD - Institut de Recherche pour le Développement",2023,2054.6,"10.1371/journal.pgph.0001264",FALSE,"Public Library of Science (PLoS)","PLOS Global Public Health","2767-3375",NA,"2767-3375","2767-3375","http://creativecommons.org/licenses/by/4.0/",TRUE,"36962691","PMC10022020",NA,NA,TRUE
"IRD - Institut de Recherche pour le Développement",2023,1400,"10.1080/16549716.2022.2077904",FALSE,"Informa UK Limited","Global Health Action","1654-9716","1654-9716","1654-9880","1654-9880","http://creativecommons.org/licenses/by/4.0/",TRUE,"35775278","PMC9255210",NA,NA,TRUE
"IRD - Institut de Recherche pour le Développement",2023,2021.98,"10.1016/j.catena.2023.106964",TRUE,"Elsevier BV","CATENA","0341-8162","0341-8162",NA,"0341-8162","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
