"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn";"issn_print";"issn_electronic";"url";
"Université de Lille";2021;"1680,50";"10.3389/fcimb.2021.533528";"FALSE";;;;;;;
"Université de Lille";2021;"1381,43";"10.1371/journal.pone.0236216";"FALSE";;;;;;;
"Université de Lille";2021;300;"10.5334/tismir.93";"FALSE";;;;;;;
"Université de Lille";2021;"2616,06";"10.3389/fpsyg.2021.828027";"FALSE";;;;;;;
"Université de Lille";2021;"2263,90";"10.1136/bmjopen-2021-050448";"FALSE";;;;;;;
"Université de Lille";2021;"1735,50";"10.1136/bmjopen-2021-050432";"FALSE";;;;;;;
"Université de Lille";2021;"2531,39";"10.3389/fped.2021.715269";"FALSE";;;;;;;
"Université de Lille";2021;"2541,20";"10.3389/fped.2021.688272";"FALSE";;;;;;;
"Université de Lille";2021;"1587,48";"10.3389/fphar.2021.756056";"FALSE";;;;;;;
"Université de Lille";2021;"1630,39";"10.2196/30970";"FALSE";;;;;;;
"Université de Lille";2021;"2655,25";"10.2196/29259";"FALSE";;;;;;;
"Université de Lille";2021;"1298,47";"10.3390/children8050337";"FALSE";;;;;;;
"Université de Lille";2021;"1298,47";"10.3390/healthcare9111539";"FALSE";;;;;;;
"Université de Lille";2021;"1425,83";"10.1371/journal.pone.0254155";"FALSE";;;;;;;
"Université de Lille";2021;"1454,48";"10.1371/journal.pone.0258303";"FALSE";;;;;;;
"Université de Lille";2021;"2245,00";"10.1186/s12874-021-01377-9";"FALSE";;;;;;;
"Université de Lille";2021;"2245,00";"10.1186/s12874-021-01396-6";"FALSE";;;;;;;
"Université de Lille";2021;"1411,25";"10.5334/ijic.5483";"FALSE";;;;;;;
"Université de Lille";2021;"2400,00";"10.1111/aogs.14287";"FALSE";;;;;;;
"Université de Lille";2021;"2235,00";"10.1016/j.jinf.2021.11.006";"TRUE";;;;;;;
"Université de Lille";2021;743,69;"10.1126/sciadv.abd6709";"FALSE";;;;;;;
"Université de Lille";2021;"2025,00";"10.1016/j.revpalbo.2021.104543";"TRUE";;;;;;;
"Université de Lille";2021;"2479,47";"10.3389/fnmol.2021.661368";"FALSE";;;;;;;
"Université de Lille";2021;"2419,48";"10.3389/fcell.2021.617801";"FALSE";;;;;;;
"Université de Lille";2021;"1403,90";"10.1371/journal.pone.0245434";"FALSE";;;;;;;
"Université de Lille";2021;"2180,00";"10.1016/j.btre.2021.e00632";"FALSE";;;;;;;
"Université de Lille";2021;"2512,52";"10.3389/fbioe.2021.678469";"FALSE";;;;;;;
"Université de Lille";2021;"2531,40";"10.3389/fbioe.2021.815337";"FALSE";;;;;;;
"Université de Lille";2021;"1623,08";"10.3390/foods10061312";"FALSE";;;;;;;
"Université de Lille";2021;"1623,08";"10.3390/foods10092134";"FALSE";;;;;;;
"Université de Lille";2021;"1352,57";"10.3390/ijms222312877";"FALSE";;;;;;;
"Université de Lille";2021;"1659,75";"10.3390/molecules26010136";"FALSE";;;;;;;
"Université de Lille";2021;697,27;"10.3390/app11062788";"FALSE";;;;;;;
"Université de Lille";2021;"1388,64";"10.3390/nano11102528";"FALSE";;;;;;;
"Université de Lille";2021;"4530,00";"10.1038/s41467-021-22943-1";"FALSE";;;;;;;
"Université de Lille";2021;"1623,08";"10.3390/microorganisms9091823";"FALSE";;;;;;;
"Université de Lille";2021;901,71;"10.3390/en14082092";"FALSE";;;;;;;
"Université de Lille";2021;"1120,00";"10.1016/j.atmosenv.2021.118278";"FALSE";;;;;;;
"Université de Lille";2021;"2032,50";"10.1016/j.jphotobiol.2021.112330";"TRUE";;;;;;;
"Université de Lille";2021;"1045,84";"10.31031/ACET.2020.04.000597";"FALSE";;;;;;;
"Université de Lille";2021;330;"10.1016/j.dib.2021.107220";"FALSE";;;;;;;
