"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Université de Limoges",2024,3049.96,"10.3390/pharmaceutics16010139",FALSE,"MDPI AG","Pharmaceutics","1999-4923",NA,"1999-4923","1999-4923","https://creativecommons.org/licenses/by/4.0/",TRUE,"38276509","PMC10818580",NA,NA,TRUE
"Université de Limoges",2024,3000,"10.34133/bmr.0009",FALSE,"American Association for the Advancement of Science (AAAS)","Biomaterials Research","2055-7124",NA,"2055-7124","1226-4601",NA,TRUE,"38560579","PMC10981932",NA,NA,TRUE
"Université de Limoges",2024,2345,"10.1038/s41598-024-56663-5",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"38480783",NA,NA,NA,TRUE
"Université de Limoges",2024,1833.81,"10.1109/access.2024.3378056",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536","2169-3536","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,NA,NA,NA,NA,TRUE
"Université de Limoges",2024,3600,"10.22967/hcis.2025.15.003",FALSE,"KIPS-CSWRG","Human-centric Computing and Information Sciences","2192-1962",NA,"2192-1962","2192-1962",NA,FALSE,NA,NA,NA,NA,FALSE
"Université de Limoges",2024,2945,"10.1186/s12889-024-19032-5",FALSE,"Springer Nature","BMC Public Health","1471-2458",NA,"1471-2458","1471-2458","https://creativecommons.org/licenses/by/4.0",TRUE,"38844918",NA,NA,NA,TRUE
"Université de Limoges",2024,1750,"10.2340/jrm.v56.40559",FALSE,"MJS Publishing, Medical Journals Sweden AB","Journal of Rehabilitation Medicine","1651-2081",NA,"1651-2081","1650-1977","https://creativecommons.org/licenses/by/4.0",TRUE,"38915294","PMC11218675",NA,NA,TRUE
"Université de Limoges",2024,3945,"10.1038/s41417-024-00802-7",TRUE,"Springer Nature","Cancer Gene Therapy","0929-1903","0929-1903","1476-5500","0929-1903","https://creativecommons.org/licenses/by/4.0",TRUE,"38918490","PMC11327105",NA,NA,FALSE
"Université de Limoges",2024,2146.97,"10.3390/biomedicines12071550",FALSE,"MDPI AG","Biomedicines","2227-9059",NA,"2227-9059","2227-9059","https://creativecommons.org/licenses/by/4.0/",TRUE,"39062123","PMC11274897",NA,NA,TRUE
"Université de Limoges",2024,1212,"10.1186/s12863-023-01172-z",FALSE,"Springer Nature","BMC Genomic Data","2730-6844",NA,"2730-6844","2730-6844","https://creativecommons.org/licenses/by/4.0",TRUE,"37986039","PMC10662504",NA,NA,TRUE
"Université de Limoges",2024,2290,"10.1371/journal.pone.0307965",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"39255313","PMC11386418",NA,NA,TRUE
"Université de Limoges",2024,2470.28,"10.3390/ijms251910847",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"39409175","PMC11476664",NA,NA,FALSE
"Université de Limoges",2024,2765.53,"10.1093/mnras/stae2522",FALSE,"Oxford University Press (OUP)","Monthly Notices of the Royal Astronomical Society","0035-8711","0035-8711","1365-2966","0035-8711","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
