"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title ";"issn";"issn_print";" issn_electronic";"url"
"Université de Lorraine";2015;2331;"10.1111/1751-7915.12285";"FALSE";;;;;;
"Université de Lorraine";2015;2050;"10.1186/s13227-015-0033-3";"FALSE";;;;;;
"Université de Lorraine";2015;2029;"10.1186/s13023-015-0375-x";"FALSE";;;;;;
"Université de Lorraine";2015;1986;"10.1186/s12890-015-0013-3";"FALSE";;;;;;
"Université de Lorraine";2015;1735;"10.3389/fmicb.2015.01483";"FALSE";;;;;;
"Université de Lorraine";2015;1730;"10.1186/s12918-015-0178-7";"FALSE";;;;;;
"Université de Lorraine";2015;1370;"10.1155/2017/8428102";"FALSE";;;;;;
"Université de Lorraine";2015;1370;"10.1074/jbc.M114.628123";"TRUE";;;;;;
"Université de Lorraine";2015;1348;"10.1038/srep09318";"FALSE";;;;;;
"Université de Lorraine";2015;1232;"10.1371/journal.pone.0133321";"FALSE";;;;;;
"Université de Lorraine";2015;1165;"10.1038/srep10348";"FALSE";;;;;;
"Université de Lorraine";2015;1092;"10.7150/thno.11642";"FALSE";;;;;;
"Université de Lorraine";2015;1054;"10.15376/biores.10.4.7165-7177";"FALSE";;;;;;
"Université de Lorraine";2015;1054;"10.15376/biores.10.4.7339-7352";"FALSE";;;;;;
"Université de Lorraine";2015;959;"10.15376/biores.10.4.8014-8024";"FALSE";;;;;;
"Université de Lorraine";2015;930;"10.1038/srep17612";"FALSE";;;;;;
"Université de Lorraine";2015;821;"10.4236/ajor.2015.53014 ";"FALSE";;;;;;
"Université de Lorraine";2015;730;"10.1155/2015/728164";"FALSE";;;;;;
"Université de Lorraine";2015;671;"10.15376/biores.10.3.5233-5241";"FALSE";;;;;;
"Université de Lorraine";2015;446;"10.1016/j.csite.2015.09.006";"FALSE";;;;;;
"Université de Lorraine";2015;181;"10.1107/S2056989015016941";"FALSE";;;;;;
