"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn/isbn";"issn_print";"issn_electronic";"url"
"Université Louis Lumière - Lyon II";2024;1456,48;"10.1162/imag_a_00070";"FALSE";;;;;;
"Université Louis Lumière - Lyon II";2024;2568,39;"10.3390/children11010123";"FALSE";;;;;;
"Université Louis Lumière - Lyon II";2024;1326,84;"10.3390/ejihpe14030034";"FALSE";;;;;;
"Université Louis Lumière - Lyon II";2024;1615;"10.1080/2331186X.2023.2287907";"FALSE";;;;;;
"Université Louis Lumière - Lyon II";2024;1836,52;"10.2196/48129";"FALSE";;;;;;
"Université Louis Lumière - Lyon II";2024;2814;"10.1038/s41598-024-61018-1";"FALSE";;;;;;
"Université Louis Lumière - Lyon II";2024;3170;"10.1080/08351813.2024.2369482";"TRUE";;;;;;
"Université Louis Lumière - Lyon II";2024;923,3;"10.1093/pnasnexus/pgae354";"FALSE";;;;;;
"Université Louis Lumière - Lyon II";2024;579,37;"10.3390/brainsci14100998";"FALSE";;;;;;
"Université Louis Lumière - Lyon II";2024;933,85;"10.3389/fpsyg.2024.1102206";"FALSE";;;;;;
