"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Université d'Orléans",2022,904.93,"10.1039/d1ra07208k",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069","2046-2069","http://creativecommons.org/licenses/by/3.0/",TRUE,"35424561","PMC8981913","ut:000759676100001",NA,TRUE
"Université d'Orléans",2022,1446.25,"10.32907/ro-130-2663483920",FALSE,"Research Outreach","Research Outreach","2517-7028",NA,NA,"2517-701X",NA,TRUE,NA,NA,NA,NA,FALSE
"Université d'Orléans",2022,1152.84,"10.36959/422/458",FALSE,"sPage.direcT","Journal of Aerospace Engineering and Mechanics","2578-6350",NA,"2578-6350","2578-6350",NA,TRUE,NA,NA,NA,NA,FALSE
"Université d'Orléans",2022,1108.5,"10.1021/acsomega.2c00079",FALSE,"American Chemical Society (ACS)","ACS Omega","2470-1343","2470-1343","2470-1343","2470-1343","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"35721916","PMC9202279","ut:000811919500001",NA,TRUE
"Université d'Orléans",2022,450.75,"10.14569/ijacsa.2022.0130670",FALSE,"The Science and Information Organization","International Journal of Advanced Computer Science and Applications","2156-5570","2158-107X","2156-5570","2156-5570",NA,TRUE,NA,NA,NA,NA,FALSE
"Université d'Orléans",2022,800,"10.31545/intagr/152057",FALSE,"Institute of Agrophysics Polish Academy of Sciences","International Agrophysics","0236-8722","0236-8722","2300-8725","0236-8722","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000854099500001",NA,TRUE
"Université d'Orléans",2022,2400,"10.1016/j.biopha.2022.113555",FALSE,"Elsevier BV","Biomedicine & Pharmacotherapy","0753-3322","0753-3322",NA,"0753-3322","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36027610",NA,"ut:000861060200012",NA,TRUE
"Université d'Orléans",2022,1827.1,"10.1016/j.jfueco.2022.100052",FALSE,"Elsevier BV","Fuel Communications","2666-0520","2666-0520",NA,"2666-0520","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université d'Orléans",2022,2610,"10.1016/j.proci.2022.07.179",TRUE,"Elsevier BV","Proceedings of the Combustion Institute","1540-7489","1540-7489",NA,"1540-7489","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Université d'Orléans",2022,1313.25,"10.1155/2022/1645265",FALSE,"Hindawi Publishing Corporation","Evidence-Based Complementary and Alternative Medicine","1741-4288","1741-427X","1741-4288","1741-427X","https://creativecommons.org/licenses/by/4.0/",TRUE,"36330227","PMC9626195","ut:000880432600002",NA,FALSE
"Université d'Orléans",2022,1259.57,"10.1155/2022/6480590",FALSE,"Hindawi Publishing Corporation","Oxidative Medicine and Cellular Longevity","1942-0994","1942-0900","1942-0994","1942-0994","https://creativecommons.org/licenses/by/4.0/",TRUE,"36193081","PMC9526642","ut:000892072700007",NA,FALSE
"Université d'Orléans",2022,1259.57,"10.1155/2022/7127037",FALSE,"Hindawi Publishing Corporation","Evidence-Based Complementary and Alternative Medicine","1741-4288","1741-427X","1741-4288","1741-427X","https://creativecommons.org/licenses/by/4.0/",TRUE,"36217433","PMC9547688","ut:000868322800002",NA,FALSE
"Université d'Orléans",2022,1662.95,"10.1371/journal.pone.0272514",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"35921304","PMC9348702","ut:000839311900057",NA,TRUE
"Université d'Orléans",2022,1298.47,"10.3390/antibiotics11020170",FALSE,"MDPI AG","Antibiotics","2079-6382",NA,"2079-6382","2079-6382","https://creativecommons.org/licenses/by/4.0/",TRUE,"35203773","PMC8868394","ut:000778153500001",NA,TRUE
"Université d'Orléans",2022,1442.74,"10.3390/antibiotics11040482",FALSE,"MDPI AG","Antibiotics","2079-6382",NA,"2079-6382","2079-6382","https://creativecommons.org/licenses/by/4.0/",TRUE,"35453233","PMC9031865","ut:000785235100001",NA,TRUE
"Université d'Orléans",2022,2171.93,"10.3390/biom12101337",FALSE,"MDPI AG","Biomolecules","2218-273X",NA,"2218-273X","2218-273X","https://creativecommons.org/licenses/by/4.0/",TRUE,"36291548","PMC9599274","ut:000872287900001",NA,TRUE
"Université d'Orléans",2022,1563.9,"10.3390/catal12080828",FALSE,"MDPI AG","Catalysts","2073-4344",NA,"2073-4344","2073-4344","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000846045800001",NA,TRUE
"Université d'Orléans",2022,1107.45,"10.3390/cosmetics9040071",FALSE,"MDPI AG","Cosmetics","2079-9284",NA,"2079-9284","2079-9284","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000846008900001",NA,TRUE
"Université d'Orléans",2022,1758.23,"10.3390/e24101343",FALSE,"MDPI AG","Entropy","1099-4300",NA,"1099-4300","1099-4300","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,"PMC9600582","ut:000872772200001",NA,TRUE
"Université d'Orléans",2022,991.88,"10.3390/en15113942",FALSE,"MDPI AG","Energies","1996-1073",NA,"1996-1073","1996-1073","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000808823500001",NA,TRUE
"Université d'Orléans",2022,1803.43,"10.3390/f13020287",FALSE,"MDPI AG","Forests","1999-4907",NA,"1999-4907","1999-4907","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000850372800001",NA,TRUE
"Université d'Orléans",2022,1983.77,"10.3390/foods11091353",FALSE,"MDPI AG","Foods","2304-8158",NA,"2304-8158","2304-8158","https://creativecommons.org/licenses/by/4.0/",TRUE,"35564076","PMC9103815","ut:000794687200001",NA,TRUE
"Université d'Orléans",2022,2277.38,"10.3390/foods11162419",FALSE,"MDPI AG","Foods","2304-8158",NA,"2304-8158","2304-8158","https://creativecommons.org/licenses/by/4.0/",TRUE,"36010419","PMC9407207","ut:000845959100001",NA,TRUE
"Université d'Orléans",2022,1325.02,"10.3390/horticulturae8100871",FALSE,"MDPI AG","Horticulturae","2311-7524",NA,"2311-7524","2311-7524","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000875262200001",NA,TRUE
"",,,"","","","","","","","","","","","","","",""
"Université d'Orléans",2022,1803.43,"10.3390/molecules27010222",FALSE,"MDPI AG","Molecules","1420-3049",NA,"1420-3049","1420-3049","https://creativecommons.org/licenses/by/4.0/",TRUE,"35011451","PMC8746612","ut:000758882300001",NA,TRUE
"Université d'Orléans",2022,2349.38,"10.3390/molecules27144508",FALSE,"MDPI AG","Molecules","1420-3049",NA,"1420-3049","1420-3049","https://creativecommons.org/licenses/by/4.0/",TRUE,"35889377","PMC9316849","ut:000833357700001",NA,TRUE
"Université d'Orléans",2022,1388.64,"10.3390/nano12010130",FALSE,"MDPI AG","Nanomaterials","2079-4991",NA,"2079-4991","2079-4991","https://creativecommons.org/licenses/by/4.0/",TRUE,"35010080","PMC8746504","ut:000751270100001",NA,TRUE
"Université d'Orléans",2022,2068.51,"10.3390/ph15091156",FALSE,"MDPI AG","Pharmaceuticals","1424-8247",NA,"1424-8247","1424-8247","https://creativecommons.org/licenses/by/4.0/",TRUE,"36145377","PMC9503641","ut:000857568300001",NA,TRUE
"Université d'Orléans",2022,2162.05,"10.3390/plants11131659",FALSE,"MDPI AG","Plants","2223-7747",NA,"2223-7747","2223-7747","https://creativecommons.org/licenses/by/4.0/",TRUE,"35807610","PMC9269095","ut:000824485500001",NA,TRUE
"Université d'Orléans",2022,2080.08,"10.3390/plants11192578",FALSE,"MDPI AG","Plants","2223-7747",NA,"2223-7747","2223-7747","https://creativecommons.org/licenses/by/4.0/",TRUE,"36235444","PMC9573456","ut:000868039800001",NA,TRUE
"Université d'Orléans",2022,1551.74,"10.3390/plants11212965",FALSE,"MDPI AG","Plants","2223-7747",NA,"2223-7747","2223-7747","https://creativecommons.org/licenses/by/4.0/",TRUE,"36365418","PMC9655162","ut:000881466800001",NA,TRUE
"Université d'Orléans",2022,1558.51,"10.3390/plants11223084",FALSE,"MDPI AG","Plants","2223-7747",NA,"2223-7747","2223-7747","https://creativecommons.org/licenses/by/4.0/",TRUE,"36432812","PMC9693110","ut:000887834700001",NA,TRUE
"Université d'Orléans",2022,2484.41,"10.3390/polym14163349",FALSE,"MDPI AG","Polymers","2073-4360",NA,"2073-4360","2073-4360","https://creativecommons.org/licenses/by/4.0/",TRUE,"36015606","PMC9414174","ut:000845628800001",NA,TRUE
"Université d'Orléans",2022,2164.11,"10.3390/s22103835",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"35632244","PMC9146771","ut:000803485000001",NA,TRUE
"Université d'Orléans",2022,1731.29,"10.3390/s22114014",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"35684634","PMC9183029","ut:000808988700001",NA,TRUE
"Université d'Orléans",2022,2398.3,"10.3390/toxins14070475",FALSE,"MDPI AG","Toxins","2072-6651",NA,"2072-6651","2072-6651","https://creativecommons.org/licenses/by/4.0/",TRUE,"35878213","PMC9316831","ut:000832438000001",NA,TRUE
"Université d'Orléans",2022,766.46,"10.3390/w14060923",FALSE,"MDPI AG","Water","2073-4441",NA,"2073-4441","2073-4441","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000774279700001",NA,TRUE
"Université d'Orléans",2022,518.65,"10.31083/j.fbs1501001",FALSE,"IMR Press","Frontiers in Bioscience-Scholar","1945-0516","1945-0516",NA,"1945-0516",NA,TRUE,"36959109",NA,NA,NA,TRUE
"Université d'Orléans",2022,2574,"10.1186/s13065-022-00816-y",FALSE,"Springer Nature","BMC Chemistry","2661-801X",NA,"2661-801X","2661-801X","https://creativecommons.org/licenses/by/4.0",TRUE,"35337384","PMC8957128","ut:000773254800001",NA,TRUE
"Université d'Orléans",2022,2454,"10.1186/s13568-021-01297-3",FALSE,"Springer Nature","AMB Express","2191-0855",NA,"2191-0855","2191-0855","https://creativecommons.org/licenses/by/4.0",TRUE,"34661766","PMC8523646","ut:000708473800001",NA,TRUE
