"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Université Paris Diderot - Paris VII",2015,3700,"10.1038/ncomms10134",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723",NA,TRUE,"26729062","PMC4728338","ut:000369026700001",NA,TRUE
"Université Paris Diderot - Paris VII",2015,3700,"10.1038/ncomms9882",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","http://www.springer.com/tdm",TRUE,"26582123","PMC4673486","ut:000366296600002",NA,TRUE
"Université Paris Diderot - Paris VII",2015,1920,"10.5194/acp-16-10419-2016",FALSE,"Copernicus GmbH","Atmospheric Chemistry and Physics","1680-7324",NA,"1680-7324","1680-7316","https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000383742600002",NA,TRUE
"Université Paris Diderot - Paris VII",2015,1530,"10.1093/bioinformatics/btu822",TRUE,"Oxford University Press (OUP)","Bioinformatics","1460-2059","1367-4803","1460-2059","1367-4803",NA,TRUE,"25505095","PMC4410650","ut:000355665800022",NA,FALSE
"Université Paris Diderot - Paris VII",2015,1500,"10.1073/pnas.1507063112",TRUE,"Proceedings of the National Academy of Sciences","Proceedings of the National Academy of Sciences","0027-8424","0027-8424","1091-6490","0027-8424",NA,TRUE,"26038542","PMC4460501","ut:000355832200045",NA,FALSE
"Université Paris Diderot - Paris VII",2015,1440,"10.1088/1367-2630/17/6/063022",FALSE,"IOP Publishing","New Journal of Physics","1367-2630",NA,"1367-2630","1367-2630","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000358928500001",NA,TRUE
"Université Paris Diderot - Paris VII",2015,1440,"10.1088/1367-2630/17/2/023016",FALSE,"IOP Publishing","New Journal of Physics","1367-2630",NA,"1367-2630","1367-2630","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000352864800006",NA,TRUE
"Université Paris Diderot - Paris VII",2015,1425,"10.3389/fnbeh.2015.00267",FALSE,"Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153",NA,"1662-5153","1662-5153",NA,TRUE,"26539088","PMC4611057","ut:000363785600001",NA,TRUE
"Université Paris Diderot - Paris VII",2015,1375.05,"10.1073/pnas.1422534112",TRUE,"Proceedings of the National Academy of Sciences","Proceedings of the National Academy of Sciences","0027-8424","0027-8424","1091-6490","0027-8424",NA,TRUE,"26015577","PMC4466712","ut:000355823200030",NA,FALSE
"Université Paris Diderot - Paris VII",2015,1350,"10.1371/journal.pone.0141920",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26528826","PMC4631373","ut:000364032600077",NA,TRUE
"Université Paris Diderot - Paris VII",2015,1350,"10.1371/journal.pone.0139122",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26422144","PMC4589393","ut:000362175700070",NA,TRUE
"Université Paris Diderot - Paris VII",2015,1165,"10.1038/srep10750",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://www.springer.com/tdm",TRUE,"26040922","PMC4455150","ut:000355720900001",NA,TRUE
"Université Paris Diderot - Paris VII",2015,960,"10.3389/fpsyt.2015.00054",FALSE,"Frontiers Media SA","Frontiers in Psychiatry","1664-0640",NA,"1664-0640","1664-0640",NA,TRUE,"25941496","PMC4403291","ut:000364346000001",NA,TRUE
"Université Paris Diderot - Paris VII",2015,600,"10.3389/fphy.2014.00084",FALSE,"Frontiers Media SA","Frontiers in Physics","2296-424X",NA,"2296-424X","2296-424X",NA,TRUE,NA,NA,"ut:000387126400001",NA,TRUE
"Université Paris Diderot - Paris VII",2015,598.51,"10.1016/j.ymgmr.2014.12.007",FALSE,"Elsevier BV","Molecular Genetics and Metabolism Reports","2214-4269","2214-4269",NA,"2214-4269","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28649528","PMC5471159","ut:000217267400011",NA,TRUE
