"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Université de Pau et des Pays de l'Adour - UPPA",2021,2045,"10.1186/s13102-022-00467-5",FALSE,"Springer Nature","BMC Sports Science, Medicine and Rehabilitation","2052-1847",NA,"2052-1847","2052-1847","https://creativecommons.org/licenses/by/4.0",TRUE,"35443695","PMC9022324","ut:000784135300003",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,2616.06,"10.3389/fnhum.2022.835784",FALSE,"Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161",NA,"1662-5161","1662-5161","https://creativecommons.org/licenses/by/4.0/",TRUE,"35250521","PMC8893167","ut:000798841100001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,820.29,"10.3389/fphys.2021.779249",FALSE,"Frontiers Media SA","Frontiers in Physiology","1664-042X",NA,"1664-042X","1664-042X","https://creativecommons.org/licenses/by/4.0/",TRUE,"35095554","PMC8791235","ut:000747956900001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,514.83,"10.28991/esj-2021-sp1-04",FALSE,"Ital Publication","Emerging Science Journal","2610-9182",NA,"2610-9182","2610-9182",NA,TRUE,NA,NA,NA,NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,1217.31,"10.3390/ijgi10090592",FALSE,"MDPI AG","ISPRS International Journal of Geo-Information","2220-9964",NA,"2220-9964","2220-9964","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000700689200001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2020,1297.14,"10.3390/jmse8120993",FALSE,"MDPI AG","Journal of Marine Science and Engineering","2077-1312",NA,"2077-1312","2077-1312","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000601994000001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,2119.03,"10.3390/md19100574",FALSE,"MDPI AG","Marine Drugs","1660-3397",NA,"1660-3397","1660-3397","https://creativecommons.org/licenses/by/4.0/",TRUE,"34677473","PMC8539579","ut:000715457300001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,2164.11,"10.3390/rs13214470",FALSE,"MDPI AG","Remote Sensing","2072-4292",NA,"2072-4292","2072-4292","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000718399800001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,1485.61,"10.3390/s21030825",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"33530518","PMC7865706","ut:000615497600001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,2890,"10.1038/s41522-021-00255-y",FALSE,"Springer Nature","npj Biofilms and Microbiomes","2055-5008",NA,"2055-5008","2055-5008","https://creativecommons.org/licenses/by/4.0",TRUE,"34799579","PMC8605020","ut:000720640300001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,2040,"10.1098/rsbl.2021.0366",TRUE,"The Royal Society","Biology Letters","1744-957X",NA,"1744-957X","1744-9561","https://royalsociety.org/journals/ethics-policies/data-sharing-mining/",TRUE,"34699739","PMC8548077","ut:000711138500002",NA,FALSE
"Université de Pau et des Pays de l'Adour - UPPA",2021,2450,"10.1111/eva.13307",FALSE,"Wiley-Blackwell","Evolutionary Applications","1752-4571","1752-4571","1752-4571","1752-4571","http://creativecommons.org/licenses/by/4.0/",TRUE,"34815748","PMC8591331","ut:000712844500001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,811.54,"10.3390/min11090957",FALSE,"MDPI AG","Minerals","2075-163X",NA,"2075-163X","2075-163X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000701075900001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,1388.64,"10.3390/nano11051205",FALSE,"MDPI AG","Nanomaterials","2079-4991",NA,"2079-4991","2079-4991","https://creativecommons.org/licenses/by/4.0/",TRUE,"34062927","PMC8147277","ut:000657006900001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2020,1698.64,"10.3390/w12061639",FALSE,"MDPI AG","Water","2073-4441",NA,"2073-4441","2073-4441","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000549465200001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2022,991.88,"10.3390/min12020163",FALSE,"MDPI AG","Minerals","2075-163X",NA,"2075-163X","2075-163X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000763157800001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,1803.43,"10.3390/en14238003",FALSE,"MDPI AG","Energies","1996-1073",NA,"1996-1073","1996-1073","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000735373700001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,1758.34,"10.3390/pr9111885",FALSE,"MDPI AG","Processes","2227-9717",NA,"2227-9717","2227-9717","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000724173400001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,2164.11,"10.3390/toxins13100716",FALSE,"MDPI AG","Toxins","2072-6651",NA,"2072-6651","2072-6651","https://creativecommons.org/licenses/by/4.0/",TRUE,"34679009","PMC8540339","ut:000714945000001",NA,TRUE
"Université de Pau et des Pays de l'Adour - UPPA",2021,1803.43,"10.3390/en14175239",FALSE,"MDPI AG","Energies","1996-1073",NA,"1996-1073","1996-1073","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000694165700001",NA,TRUE
"",,,"","","","","","","","","","","","","","",""
