"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn";"issn_print";"issn_electronic";"url"
"Université de Rennes 2";2021;230;"10.5114/biolsport.2022.104914";"FALSE";;;;;;
"Université de Rennes 2";2021;815,2;"10.3389/feduc.2021.733663";"FALSE";;;;;;
"Université de Rennes 2";2021;2481,54;"10.3389/fpsyg.2021.723235";"FALSE";;;;;;
"Université de Rennes 2";2021;1983,77;"10.3390/cancers13215402";"FALSE";;;;;;
"Université de Rennes 2";2021;2073,94;"10.3390/rs13101892";"FALSE";;;;;;
"Université de Rennes 2";2021;2164,11;"10.3390/rs13101960";"FALSE";;;;;;
"Université de Rennes 2";2021;901,71;"10.3390/vetsci9010014";"FALSE";;;;;;
"Université de Rennes 2";2021;647,93;"10.7717/peerj.10537";"FALSE";;;;;;
"Université de Rennes 2";2021;620;"10.1080/22797254.2020.1795727";"FALSE";;;;;;
"Université de Rennes 2";2021;2210;"10.1080/2159032X.2021.1888400";"TRUE";;;;;;
"Université de Rennes 2";2021;2210;"10.1080/2159032X.2021.1914298";"TRUE";;;;;;
"Université de Rennes 2";2021;347,1;"10.5334/jcaa.64";"FALSE";;;;;;
