"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Université de La Réunion",2022,2616.06,"10.3389/fphar.2022.832928",FALSE,"Frontiers Media SA","Frontiers in Pharmacology","1663-9812",NA,"1663-9812","1663-9812","https://creativecommons.org/licenses/by/4.0/",TRUE,"35359845","PMC8963451",NA,NA,TRUE
"Université de La Réunion",2022,1947.7,"10.3390/md20030186",FALSE,"MDPI AG","Marine Drugs","1660-3397",NA,"1660-3397","1660-3397","https://creativecommons.org/licenses/by/4.0/",TRUE,"35323485","PMC8951328",NA,NA,TRUE
"Université de La Réunion",2022,1440,"10.1098/rsos.211600",FALSE,"The Royal Society","Royal Society Open Science","2054-5703",NA,"2054-5703","2054-5703","https://royalsociety.org/journals/ethics-policies/data-sharing-mining/",TRUE,"35154796","PMC8825989",NA,NA,TRUE
"Université de La Réunion",2022,2300,"10.1029/2021gc010214",FALSE,"American Geophysical Union (AGU)","Geochemistry, Geophysics, Geosystems","1525-2027","1525-2027","1525-2027","1525-2027","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université de La Réunion",2022,3115,"10.1007/s00520-021-06601-2",TRUE,"Springer Nature","Supportive Care in Cancer","0941-4355","0941-4355","1433-7339","0941-4355","https://creativecommons.org/licenses/by/4.0",TRUE,"34636946","PMC8794932",NA,NA,FALSE
"Université de La Réunion",2022,1790,"10.1038/s41598-022-10057-7",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"35397679","PMC8994064",NA,NA,TRUE
"",,,"","","","","","","","","","","","","","",""
"Université de La Réunion",2022,1667.5,"10.1016/j.actatropica.2022.106462",TRUE,"Elsevier BV","Acta Tropica","0001-706X","0001-706X",NA,"0001-706X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"35421381",NA,NA,NA,FALSE
"Université de La Réunion",2022,532,"10.5751/ace-02174-170132",FALSE,"Resilience Alliance, Inc.","Avian Conservation and Ecology","1712-6568","1712-6568",NA,"1712-6568",NA,TRUE,NA,NA,NA,NA,TRUE
"Université de La Réunion",2022,1388.64,"10.3390/antiox11050858",FALSE,"MDPI AG","Antioxidants","2076-3921",NA,"2076-3921","2076-3921","https://creativecommons.org/licenses/by/4.0/",TRUE,"35624723","PMC9138119",NA,NA,TRUE
"Université de La Réunion",2022,1096.76,"10.3389/frai.2022.744755",FALSE,"Frontiers Media SA","Frontiers in Artificial Intelligence","2624-8212",NA,"2624-8212","2624-8212","https://creativecommons.org/licenses/by/4.0/",TRUE,"35757298","PMC9226554",NA,NA,TRUE
"Université de La Réunion",2022,2254.28,"10.3390/rs14102454",FALSE,"MDPI AG","Remote Sensing","2072-4292",NA,"2072-4292","2072-4292","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université de La Réunion",2022,1947.7,"10.3390/v14051101",FALSE,"MDPI AG","Viruses","1999-4915",NA,"1999-4915","1999-4915","https://creativecommons.org/licenses/by/4.0/",TRUE,"35632841","PMC9147401",NA,NA,TRUE
"Université de La Réunion",2022,2073.94,"10.3390/ijms23105372",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"35628176","PMC9141892",NA,NA,TRUE
