"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Université de La Réunion",2023,1472.88,"10.1016/j.ecolind.2023.109952",FALSE,"Elsevier BV","Ecological Indicators","1470-160X","1470-160X",NA,"1470-160X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université de La Réunion",2023,1159.2,"10.3390/cimb45020106",FALSE,"MDPI AG","Current Issues in Molecular Biology","1467-3045",NA,"1467-3045","1467-3037","https://creativecommons.org/licenses/by/4.0/",TRUE,"36826051","PMC9955058",NA,NA,TRUE
"Université de La Réunion",2023,3662.48,"10.1128/aem.01632-22",TRUE,"American Society for Microbiology","Applied and Environmental Microbiology","0099-2240","0099-2240","1098-5336","0099-2240","https://creativecommons.org/licenses/by/4.0/",TRUE,"36602304","PMC9888187",NA,NA,FALSE
"Université de La Réunion",2023,2066.02,"10.1002/ece3.9814",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758","2045-7758","2045-7758","2045-7758","http://creativecommons.org/licenses/by/4.0/",TRUE,"36789336","PMC9919472",NA,NA,TRUE
"Université de La Réunion",2023,2528.92,"10.3390/ijms24054511",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"36901942","PMC10003728",NA,NA,FALSE
"Université de La Réunion",2023,2066.02,"10.1002/ece3.9850",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758","2045-7758","2045-7758","2045-7758","http://creativecommons.org/licenses/by/4.0/",TRUE,"36937067","PMC10019914",NA,NA,TRUE
"Université de La Réunion",2023,2520.01,"10.3390/rs15061581",FALSE,"MDPI AG","Remote Sensing","2072-4292",NA,"2072-4292","2072-4292","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Université de La Réunion",2023,1820,"10.1016/j.jiph.2023.03.008",FALSE,"Elsevier BV","Journal of Infection and Public Health","1876-0341","1876-0341",NA,"1876-0341","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36958171",NA,NA,NA,TRUE
"Université de La Réunion",2023,2645,"10.1186/s13002-023-00580-w",FALSE,"Springer Nature","Journal of Ethnobiology and Ethnomedicine","1746-4269",NA,"1746-4269","1746-4269","https://creativecommons.org/licenses/by/4.0",TRUE,"36964580","PMC10039506",NA,NA,TRUE
"Université de La Réunion",2023,1969.25,"10.3390/buildings13040879",FALSE,"MDPI AG","Buildings","2075-5309",NA,"2075-5309","2075-5309","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
