"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title ";"issn";"issn_print";" issn_electronic";"url"
"Université de Strasbourg";2017;225,49;"10.1016/j.dib.2015.08.014";"FALSE";;;;;;
"Université de Strasbourg";2017;2116,5;"10.3389/fphys.2016.00673";"FALSE";;;;;;
"Université de Strasbourg";2017;2490;"10.3389/fphys.2017.00052";"FALSE";;;;;;
"Université de Strasbourg";2017;1495;"10.1371/journal.pone.0170756";"FALSE";;;;;;
"Université de Strasbourg";2017;2600;"10.1038/cddis.2017.22";"FALSE";;;;;;
"Université de Strasbourg";2017;1305;"10.1038/srep42875";"FALSE";;;;;;
"Université de Strasbourg";2017;3700;"10.1038/ncomms15242";"FALSE";;;;;;
"Université de Strasbourg";2017;3700;"10.1038/ncomms14767";"FALSE";;;;;;
"Université de Strasbourg";2017;2932,5;"10.1126/sciadv.1601068";"FALSE";;;;;;
"Université de Strasbourg";2017;1950;"10.1109/TPAMI.2017.2672972";"TRUE";;;;;;
"Université de Strasbourg";2017;2000;"10.1016/j.ensci.2017.03.003";"FALSE";;;;;;
"Université de Strasbourg";2017;548;"10.1055/s-0037-1601352";"FALSE";;;;;;
"Université de Strasbourg";2017;4509,8;"10.1016/j.celrep.2017.06.035";"FALSE";;;;;;
"Université de Strasbourg";2017;2160;"10.1186/s12957-017-1197-1";"FALSE";;;;;;
"Université de Strasbourg";2017;1495;"10.1371/journal.pone.0182385";"FALSE";;;;;;
"Université de Strasbourg";2017;2490;"10.3389/fmicb.2017.01600";"FALSE";;;;;;
"Université de Strasbourg";2017;1000;"10.1021/acsomega.7b00619";"FALSE";;;;;;
"Université de Strasbourg";2017;1800;"10.1186/s12879-017-2646-8";"FALSE";;;;;;
"Université de Strasbourg";2017;1815;"10.1534/g3.117.300128";"FALSE";;;;;;
"Université de Strasbourg";2017;2250;"10.1371/journal.pgen.1006917";"FALSE";;;;;;
"Université de Strasbourg";2017;1333,19;"10.1364/OE.25.020216";"FALSE";;;;;;
"Université de Strasbourg";2017;1305;"10.1038/s41598-017-16749-9";"FALSE";;;;;;
"Université de Strasbourg";2017;1058,25;"10.3389/fpsyg.2017.02177";"FALSE";;;;;;
"Université de Strasbourg";2017;3600;"10.1002/2017JB014345";"TRUE";;;;;;
"Université de Strasbourg";2017;3000;"10.1128/JCM.01763-16";"TRUE";;;;;;
