"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn/isbn";"issn_print";"issn_electronic";"url"
"Université Toulouse III - Paul Sabatier";2022;400;"10.3324/haematol.2022.281431";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;465,12;"10.1016/j.csite.2022.102395";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1007,77;"10.3390/en15239064";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1093,42;"10.3389/fspas.2022.879045";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1802,63;"10.3847/1538-4357/ac6604";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1463;"10.5194/acp-22-4129-2022";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1945;"10.1038/s41598-022-16240-0";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;2590;"10.1007/s10705-022-10220-6";"TRUE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;3255;"10.5194/hess-26-3263-2022";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1668,17;"10.3390/w14050804";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1385;"10.1186/s13636-022-00255-6";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;2616,06;"10.3389/fnins.2022.779048";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1640,58;"10.3389/fnins.2022.779062";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1905,5;"10.1109/ACCESS.2022.3210523";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;381,32;"10.1371/journal.pcbi.1009437";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;991,88;"10.3390/membranes12050538";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;2459,87;"10.3389/fenrg.2022.981802";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;610;"10.1016/j.cscm.2022.e01123";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1381,5;"10.1088/2632-959X/ac3886";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;721,66;"10.4236/opj.2022.128014";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;4500;"10.1016/j.celrep.2022.110339";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;2813,42;"10.3389/fcell.2022.901351";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1623,08;"10.3390/jof8010088";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;2500;"10.1111/nph.17918";"TRUE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;2616,06;"10.3389/fmicb.2022.835463";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1009,92;"10.3390/insects13010037";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;2290;"10.1186/s13071-022-05463-9";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;3264;"10.1093/nar/gkac396";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1718,65;"10.3389/fped.2022.913105";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;2073,94;"10.3390/molecules27092737";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;676,28;"10.3390/v14040783";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1173,92;"10.1016/j.elecom.2022.107213";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;4790;"10.1002/advs.202205509";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1136,96;"10.1016/j.elecom.2022.107258";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;736,44;"10.1016/j.jmrt.2022.02.118";"FALSE";;;;;;
"Université Toulouse III - Paul Sabatier";2022;1004,74;"10.3390/en15238973";"FALSE";;;;;;
