institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
Université de Versailles-Saint-Quentin-en-Yvelines	2021	1455,79	10.1109/ACCESS.2021.3059926	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	1388,5	10.3390/jsan10010018	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	130,41	10.1093/jcde/qwab062	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	4530	10.1038/s41467-021-24019-6	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	1637,58	10.1364/OE.424970	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	3813,55	10.1126/sciadv.abf1332	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	932,2	10.1175/JHM-D-20-0115.1	TRUE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	2945	10.1186/s13054-021-03646-x	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	2542,37	10.7554/eLife.68764	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	228,75	10.1016/j.dib.2021.106981	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	2883	10.5194/amt-14-403-2021	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	1953	10.5194/amt-14-5049-2021	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	1581	10.5194/amt-14-5987-2021	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	2232	10.5194/bg-18-3981-2021	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	1771	10.5194/gmd-14-5891-2021	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	1411,01	10.3389/fphys.2021.797252	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	2500	10.3389/fpsyt.2021.731629	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	453,38	10.3837/tiis.2021.06.016	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	1713,25	10.3390/su13094972	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	1763,43	10.1177/14799731211036901	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	2480	10.1007/s10533-021-00759-x	TRUE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	1840	10.1080/16000889.2021.1914989	FALSE						
Université de Versailles-Saint-Quentin-en-Yvelines	2021	2000	10.1029/2020GL092206	TRUE						
