"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,2390,"10.1186/s12951-022-01256-5",FALSE,"Springer Nature","Journal of Nanobiotechnology","1477-3155",NA,"1477-3155","1477-3155","https://creativecommons.org/licenses/by/4.0",TRUE,"35135541","PMC8822649",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,1790,"10.1186/s12014-022-09342-4",FALSE,"Springer Nature","Clinical Proteomics","1542-6416","1542-6416","1559-0275","1542-6416","https://creativecommons.org/licenses/by/4.0",TRUE,"35144530","PMC8903615",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,2890,"10.1186/s12916-022-02345-w",FALSE,"Springer Nature","BMC Medicine","1741-7015",NA,"1741-7015","1741-7015","https://creativecommons.org/licenses/by/4.0",TRUE,"35351135","PMC8963401",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,3680,"10.1186/s13073-022-01043-9",FALSE,"Springer Nature","Genome Medicine","1756-994X",NA,"1756-994X","1756-994X","https://creativecommons.org/licenses/by/4.0",TRUE,"35449030","PMC9022055",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,1290,"10.1186/s40850-022-00124-x",FALSE,"Springer Nature","BMC Zoology","2056-3132",NA,"2056-3132","2056-3132","https://creativecommons.org/licenses/by/4.0",TRUE,"37170157","PMC10126999",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,1690,"10.1186/s40793-022-00417-1",FALSE,"Springer Nature","Environmental Microbiome","2524-6372",NA,"2524-6372","2524-6372","https://creativecommons.org/licenses/by/4.0",TRUE,"35526063","PMC9080219",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,1990,"10.1186/s13578-022-00804-8",FALSE,"Springer Nature","Cell & Bioscience","2045-3701",NA,"2045-3701","2045-3701","https://creativecommons.org/licenses/by/4.0",TRUE,"35672775","PMC9172153",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,1490,"10.1186/s40494-022-00734-1",FALSE,"Springer Nature","Heritage Science","2050-7445",NA,"2050-7445","2050-7445","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,2490,"10.1186/s12984-022-01055-x",FALSE,"Springer Nature","Journal of NeuroEngineering and Rehabilitation","1743-0003",NA,"1743-0003","1743-0003","https://creativecommons.org/licenses/by/4.0",TRUE,"35854321","PMC9297544",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,2490,"10.1186/s12951-022-01542-2",FALSE,"Springer Nature","Journal of Nanobiotechnology","1477-3155",NA,"1477-3155","1477-3155","https://creativecommons.org/licenses/by/4.0",TRUE,"35907835","PMC9338509",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,1490,"10.1186/s40850-022-00150-9",FALSE,"Springer Nature","BMC Zoology","2056-3132",NA,"2056-3132","2056-3132","https://creativecommons.org/licenses/by/4.0",TRUE,"37170309","PMC10127331",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,1690,"10.1007/s44196-022-00120-6",FALSE,"Springer Nature","International Journal of Computational Intelligence Systems","1875-6883",NA,"1875-6883","1875-6883","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,2290,"10.1186/s13071-022-05441-1",FALSE,"Springer Nature","Parasites & Vectors","1756-3305",NA,"1756-3305","1756-3305","https://creativecommons.org/licenses/by/4.0",TRUE,"36088326","PMC9463799",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,2590,"10.1186/s12915-022-01398-w",FALSE,"Springer Nature","BMC Biology","1741-7007",NA,"1741-7007","1741-7007","https://creativecommons.org/licenses/by/4.0",TRUE,"36153614","PMC9509653",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,2390,"10.1186/s12984-022-01088-2",FALSE,"Springer Nature","Journal of NeuroEngineering and Rehabilitation","1743-0003",NA,"1743-0003","1743-0003","https://creativecommons.org/licenses/by/4.0",TRUE,"36209096","PMC9548210",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,2290,"10.1186/s12917-022-03453-8",FALSE,"Springer Nature","BMC Veterinary Research","1746-6148",NA,"1746-6148","1746-6148","https://creativecommons.org/licenses/by/4.0",TRUE,"36224622","PMC9554378",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,2190,"10.1186/s40104-022-00763-7",FALSE,"Springer Nature","Journal of Animal Science and Biotechnology","2049-1891",NA,"2049-1891","1674-9782","https://creativecommons.org/licenses/by/4.0",TRUE,"36280872","PMC9594899",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,2490,"10.1186/s12889-022-14476-z",FALSE,"Springer Nature","BMC Public Health","1471-2458",NA,"1471-2458","1471-2458","https://creativecommons.org/licenses/by/4.0",TRUE,"36380311","PMC9664433",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,1890,"10.1186/s12862-022-01997-9",FALSE,"Springer Nature","BMC Ecology and Evolution","2730-7182",NA,"2730-7182","2730-7182","https://creativecommons.org/licenses/by/4.0",TRUE,"35365100","PMC8974093",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2022,1290,"10.1186/s13326-022-00281-5",FALSE,"Springer Nature","Journal of Biomedical Semantics","2041-1480",NA,"2041-1480","2041-1480","https://creativecommons.org/licenses/by/4.0",TRUE,"36732862","PMC9892682",NA,NA,TRUE
