institution;apc;doi;period;is_hybrid;currency
Consejo Superior de Investigaciones Cientificas (CSIC);1850;10.3389/fcell.2020.622918;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2950;10.3389/fmars.2020.00638;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1356,75;10.3389/fchem.2020.00743;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2950;10.3389/fpls.2020.600336;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1850;10.3389/fvets.2020.00495;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2950;10.3389/fpls.2020.594184;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2950;10.3389/fpls.2020.553948;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2950;10.3389/fchem.2020.00686;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2950;10.3389/fmars.2020.567877;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2950;10.3389/fphar.2020.00189;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2950;10.3389/fmicb.2020.00973;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2950;10.3389/fmicb.2020.01438;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2490;10.3389/fmolb.2020.00140;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1150;10.3389/fmolb.2020.617633;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2950;10.3389/fpls.2020.599462;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2950;10.3389/fpls.2020.00442;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1850;10.3389/fgene.2020.602949;01/01/2020;FALSE;USD
