"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2019,2224.26,"10.3389/fcell.2019.00372",FALSE,"Frontiers Media SA","Frontiers in Cell and Developmental Biology","2296-634X",NA,"2296-634X","2296-634X","https://creativecommons.org/licenses/by/4.0/",TRUE,"32039199","PMC6992535",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2019,2224.26,"10.3389/fonc.2020.00018",FALSE,"Frontiers Media SA","Frontiers in Oncology","2234-943X",NA,"2234-943X","2234-943X","https://creativecommons.org/licenses/by/4.0/",TRUE,"32117706","PMC7025541",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2019,1877.55,"10.3389/fmicb.2019.03131",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X","https://creativecommons.org/licenses/by/4.0/",TRUE,"32038565","PMC6992542",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2019,2635.16,"10.3389/fmicb.2020.00007",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X","https://creativecommons.org/licenses/by/4.0/",TRUE,"32038593","PMC6989612",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2019,1877.55,"10.3389/fpls.2019.01708",FALSE,"Frontiers Media SA","Frontiers in Plant Science","1664-462X",NA,"1664-462X","1664-462X","https://creativecommons.org/licenses/by/4.0/",TRUE,"32038682","PMC6988092",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2019,1877.55,"10.3389/fpls.2019.01702",FALSE,"Frontiers Media SA","Frontiers in Plant Science","1664-462X",NA,"1664-462X","1664-462X","https://creativecommons.org/licenses/by/4.0/",TRUE,"32038679","PMC6983915",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2019,2635.16,"10.3389/fmicb.2019.02937",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X","https://creativecommons.org/licenses/by/4.0/",TRUE,"31993027","PMC6971180",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2019,2635.16,"10.3389/fmicb.2019.02915",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X","https://creativecommons.org/licenses/by/4.0/",TRUE,"31998252","PMC6965051",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2019,2224.26,"10.3389/fmars.2019.00789",FALSE,"Frontiers Media SA","Frontiers in Marine Science","2296-7745",NA,"2296-7745","2296-7745","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2019,588.72,"10.3389/fpls.2019.01619",FALSE,"Frontiers Media SA","Frontiers in Plant Science","1664-462X",NA,"1664-462X","1664-462X","https://creativecommons.org/licenses/by/4.0/",TRUE,"31921262","PMC6934057",NA,NA,TRUE
"Consejo Superior de Investigaciones Cientificas (CSIC)",2019,2224.26,"10.3389/fmars.2019.00760",FALSE,"Frontiers Media SA","Frontiers in Marine Science","2296-7745",NA,"2296-7745","2296-7745","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
