"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","pmid","url","local_id"
"desy","2020","1019.43","10.3847/2041-8213/ab8b5f",TRUE,"Univ.","The astrophysical journal / 2","2041-8213",NA,NA,"oai:bib-pubdb1.desy.de:452228","PUBDB-2020-04557"
"desy","2020","1987.4","10.1364/oe.396703",TRUE,"Soc.","Optics express","1094-4087","PublisherOA",NA,"oai:bib-pubdb1.desy.de:452484","PUBDB-2020-04719"
"desy","2020","937.13","10.1364/osac.406041",TRUE,"OSA","OSA continuum","2578-7519","PublisherOA",NA,"oai:bib-pubdb1.desy.de:454401","PUBDB-2021-00475"
"desy","2021","1118.23","10.1364/osac.424340",TRUE,"OSA","OSA continuum","2578-7519","CCBY4",NA,"oai:bib-pubdb1.desy.de:455231","PUBDB-2021-00995"
"desy","2023","2328.18","10.1103/physrevresearch.5.013096",FALSE,"APS","Physical review research","2643-1564","CCBY4",NA,"oai:bib-pubdb1.desy.de:472099","PUBDB-2021-04838"
"desy","2022","2144.65","10.1039/d2fd00044j",TRUE,"Soc.","Faraday discussions","1359-6640","CCBY4",NA,"oai:bib-pubdb1.desy.de:474958","PUBDB-2022-01084"
"desy","2022","4701.02","10.1021/acsanm.1c04473",TRUE,"ACS Publications","ACS applied nano materials","2574-0970","CCBY4",NA,"oai:bib-pubdb1.desy.de:474972","PUBDB-2022-01098"
"desy","2022","2324.56","10.1038/s41524-022-00895-4",FALSE,"Nature Publ. Group","npj computational materials","2057-3960","CCBY4",NA,"oai:bib-pubdb1.desy.de:475344","PUBDB-2022-01325"
"desy","2023","4852.64","10.1038/s41467-023-36320-7",FALSE,"Nature Publishing Group UK","Nature Communications","2041-1723","CCBY4",NA,"oai:bib-pubdb1.desy.de:475435","PUBDB-2022-01345"
"desy","2022","1706","10.1107/s1600577522008773",FALSE,"Wiley-Blackwell","Journal of synchrotron radiation","0909-0495","CCBY4",NA,"oai:bib-pubdb1.desy.de:476139","PUBDB-2022-01593"
"desy","2023","4852.64","10.1038/s41467-023-36653-3",FALSE,"Nature Publishing Group UK","Nature Communications","2041-1723","CCBY4",NA,"oai:bib-pubdb1.desy.de:476769","PUBDB-2022-01878"
"desy","2023","4244.09","10.3847/1538-4357/acbe9e",FALSE,"Institute of Physics Publ.","The astrophysical journal / 1","0004-637X","CCBY4",NA,"oai:bib-pubdb1.desy.de:478248","PUBDB-2022-02516"
"desy","2022","1706","10.1107/s1600577522011341",FALSE,"Wiley-Blackwell","Journal of synchrotron radiation","0909-0495","CCBY4",NA,"oai:bib-pubdb1.desy.de:478516","PUBDB-2022-02611"
