"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"DIfE",2022,2146.08,"10.3390/ijms23063205",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"35328627","PMC8949927",NA,NA,TRUE
"DIfE",2022,5579.37,"10.1038/s41467-022-28496-1",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"35177612","PMC8854598",NA,NA,TRUE
"DIfE",2022,3033.93,"10.1038/s41387-022-00200-8",FALSE,"Springer Nature","Nutrition & Diabetes","2044-4052",NA,"2044-4052","2044-4052","https://creativecommons.org/licenses/by/4.0",TRUE,"35418570","PMC9008040",NA,NA,TRUE
"DIfE",2022,2001.37,"10.1038/s41598-022-11924-z",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"35545697","PMC9094121",NA,NA,TRUE
"DIfE",2022,2001.37,"10.1038/s41598-022-13778-x",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"35715450","PMC9205937",NA,NA,TRUE
"DIfE",2022,3010.19,"10.3390/nu14112359",FALSE,"MDPI AG","Nutrients","2072-6643",NA,"2072-6643","2072-6643","https://creativecommons.org/licenses/by/4.0/",TRUE,"35684159","PMC9182661",NA,NA,TRUE
"DIfE",2022,2473.45,"10.3390/nu14142781",FALSE,"MDPI AG","Nutrients","2072-6643",NA,"2072-6643","2072-6643","https://creativecommons.org/licenses/by/4.0/",TRUE,"35889738","PMC9323908",NA,NA,TRUE
"DIfE",2022,3570.35,"10.26508/lsa.202201495",FALSE,"Life Science Alliance, LLC","Life Science Alliance","2575-1077",NA,"2575-1077","2575-1077","https://creativecommons.org/licenses/by/4.0/",TRUE,"36271504","PMC9449705",NA,NA,TRUE
"DIfE",2022,2467.99,"10.3390/ijms23042108",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"35216219","PMC8876166",NA,NA,TRUE
"DIfE",2022,3155.34,"10.3390/nu14183697",FALSE,"MDPI AG","Nutrients","2072-6643",NA,"2072-6643","2072-6643","https://creativecommons.org/licenses/by/4.0/",TRUE,"36145073","PMC9506329",NA,NA,TRUE
"DIfE",2022,3013.4,"10.1186/s12933-021-01439-8",FALSE,"Springer Nature","Cardiovascular Diabetology","1475-2840",NA,"1475-2840","1475-2840","https://creativecommons.org/licenses/by/4.0",TRUE,"34998417","PMC8742328",NA,NA,TRUE
"DIfE",2022,3155.34,"10.3390/nu14204274",FALSE,"MDPI AG","Nutrients","2072-6643",NA,"2072-6643","2072-6643","https://creativecommons.org/licenses/by/4.0/",TRUE,"36296958","PMC9609960",NA,NA,TRUE
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"DIfE",2022,2671.06,"10.3390/antiox11040774",FALSE,"MDPI AG","Antioxidants","2076-3921",NA,"2076-3921","2076-3921","https://creativecommons.org/licenses/by/4.0/",TRUE,"35453460","PMC9031169",NA,NA,TRUE
"DIfE",2022,3155.34,"10.3390/nu14194066",FALSE,"MDPI AG","Nutrients","2072-6643",NA,"2072-6643","2072-6643","https://creativecommons.org/licenses/by/4.0/",TRUE,"36235718","PMC9571024",NA,NA,TRUE
"DIfE",2022,3036.48,"10.3390/ijerph191911945",FALSE,"MDPI AG","International Journal of Environmental Research and Public Health","1660-4601",NA,"1660-4601","1660-4601","https://creativecommons.org/licenses/by/4.0/",TRUE,"36231244","PMC9565835",NA,NA,FALSE
"DIfE",2022,2793.99,"10.3390/ijms231911863",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"36233162","PMC9569596",NA,NA,TRUE
"DIfE",2022,3155.34,"10.3390/nu14224721",FALSE,"MDPI AG","Nutrients","2072-6643",NA,"2072-6643","2072-6643","https://creativecommons.org/licenses/by/4.0/",TRUE,"36432409","PMC9699496",NA,NA,TRUE
"DIfE",2022,3181.57,"10.3389/fnut.2022.993180",FALSE,"Frontiers Media SA","Frontiers in Nutrition","2296-861X",NA,"2296-861X","2296-861X","https://creativecommons.org/licenses/by/4.0/",TRUE,"36276821","PMC9582278",NA,NA,TRUE
"DIfE",2022,3195.9,"10.3389/fnut.2022.1006043",FALSE,"Frontiers Media SA","Frontiers in Nutrition","2296-861X",NA,"2296-861X","2296-861X","https://creativecommons.org/licenses/by/4.0/",TRUE,"36386961","PMC9650276",NA,NA,TRUE
"DIfE",2022,3195.9,"10.3389/fnut.2022.859656",FALSE,"Frontiers Media SA","Frontiers in Nutrition","2296-861X",NA,"2296-861X","2296-861X","https://creativecommons.org/licenses/by/4.0/",TRUE,"35600831","PMC9116029",NA,NA,TRUE
"DIfE",2022,2713.2,"10.1002/jcsm.13118",FALSE,"Wiley-Blackwell","Journal of Cachexia, Sarcopenia and Muscle","2190-5991","2190-5991","2190-6009","2190-5991","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36377255","PMC9891921",NA,NA,TRUE
