"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"DIPF",2023,1513.53,"10.1007/s11618-023-01182-8",TRUE,"Springer Nature","Zeitschrift für Erziehungswissenschaft","1434-663X","1434-663X","1862-5215","1434-663X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"DIPF",2023,1513.53,"10.1007/s42010-023-00163-4",TRUE,"Springer Nature","Unterrichtswissenschaft","0340-4099","0340-4099","2520-873X","0340-4099","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"DIPF",2023,1513.53,"10.1007/s11618-023-01152-0",TRUE,"Springer Nature","Zeitschrift für Erziehungswissenschaft","1434-663X","1434-663X","1862-5215","1434-663X","https://creativecommons.org/licenses/by/4.0",TRUE,"38566772","PMC10121070",NA,NA,FALSE,"DEAL Springer Nature Germany"
"DIPF",2023,1513.53,"10.1007/s00799-023-00364-3",TRUE,"Springer Nature","International Journal on Digital Libraries","1432-5012","1432-5012","1432-1300","1432-1300","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"DIPF",2023,1513.53,"10.1007/s11423-023-10241-0",TRUE,"Springer Nature","Educational Technology Research and Development","1042-1629","1042-1629","1556-6501","1042-1629","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"DIPF",2023,1513.53,"10.1038/s44271-023-00013-0",TRUE,"Springer Nature","Communications Psychology","2731-9121",NA,"2731-9121","2731-9121","https://creativecommons.org/licenses/by/4.0",TRUE,"39242889","PMC11332017",NA,NA,FALSE,"DEAL Springer Nature Germany"
"DIPF",2023,1513.53,"10.1007/s11618-023-01184-6",TRUE,"Springer Nature","Zeitschrift für Erziehungswissenschaft","1434-663X","1434-663X","1862-5215","1434-663X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"DIPF",2023,1513.53,"10.1007/s10639-023-12198-2",TRUE,"Springer Nature","Education and Information Technologies","1360-2357","1360-2357","1573-7608","1360-2357","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"DIPF",2023,1513.53,"10.1007/s42010-023-00183-0",TRUE,"Springer Nature","Unterrichtswissenschaft","0340-4099","0340-4099","2520-873X","0340-4099","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"DIPF",2023,1513.53,"10.1007/s10639-023-12289-0",TRUE,"Springer Nature","Education and Information Technologies","1360-2357","1360-2357","1573-7608","1360-2357","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"DIPF",2023,1513.53,"10.1007/s10648-023-09830-5",TRUE,"Springer Nature","Educational Psychology Review","1040-726X","1040-726X","1573-336X","1040-726X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
