institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;issn_print;  issn_electronic;url
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2632.5;10.1002/rob.21812;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2970.27;10.1002/we.2185;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2200;10.1007/s00348-018-2516-1;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2200;10.1007/s00348-018-2518-z;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2200;10.1007/s00348-018-2538-8;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2200;10.1007/s11214-018-0531-4;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2200;10.1007/s12217-017-9580-7;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2200;10.1007/s12217-018-9611-z;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2200;10.1007/s12217-018-9654-1;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2200;10.1007/s12567-018-0214-8;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2200;10.1007/s13272-017-0264-1;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2200;10.1007/s13272-018-0294-3;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2200;10.1007/s13272-018-0298-z;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2606.98;10.1016/j.actaastro.2018.06.063;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2111.65;10.1016/j.actaastro.2018.09.032;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2541.14;10.1016/j.apenergy.2018.09.186;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;1789.53;10.1016/j.apgeog.2018.02.002;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2209.3;10.1016/j.ast.2018.06.020;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2755.89;10.1016/j.fuel.2018.02.176;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;1998.2;10.1016/j.icarus.2017.12.002;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;1789.53;10.1016/j.isprsjprs.2018.02.006;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;1789.53;10.1016/j.isprsjprs.2018.02.017;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;1574.79;10.1016/j.lssr.2018.04.003;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;1073.72;10.1016/j.mtla.2018.06.014;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2651.16;10.1016/j.pss.2018.03.017;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2761.14;10.1016/j.rse.2017.12.002;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2720.09;10.1016/j.rse.2018.02.025;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;1723.26;10.1016/j.trd.2018.09.017;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2138.12;10.1017/jfm.2018.132;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;1075.74;10.1017/S1759078718000016;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2430;10.1029/2017JE005399;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;1620;10.1029/2018GL079345;TRUE;;;;;;
Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR);2018;2430;10.1029/2018SW001933;TRUE;;;;;;
