institution,institution_ror,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_invoice_id,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee
Bielefeld FH,https://ror.org/00edvg943,2022,318.48,10.3934/matersci.2022017,FALSE,journal article,NA,NA,318.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bielefeld FH,https://ror.org/00edvg943,2022,1931.47,10.3390/math10060932,FALSE,journal article,NA,NA,1931.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bielefeld FH,https://ror.org/00edvg943,2022,1931.47,10.3390/polym14071391,FALSE,journal article,NA,NA,1931.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bielefeld FH,https://ror.org/00edvg943,2022,2575.29,10.3390/s22072481,FALSE,journal article,NA,NA,2575.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bielefeld FH,https://ror.org/00edvg943,2022,1502.26,10.3390/su14095670,FALSE,journal article,NA,NA,1502.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bielefeld FH,https://ror.org/00edvg943,2022,1367.52,10.3390/polym14142826,FALSE,journal article,NA,NA,1367.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bielefeld FH,https://ror.org/00edvg943,2022,2066.44,10.3390/su14169971,FALSE,journal article,NA,NA,2066.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bielefeld FH,https://ror.org/00edvg943,2022,1095.38,10.3390/polym14183895,FALSE,journal article,NA,NA,1095.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bielefeld FH,https://ror.org/00edvg943,2022,2126.43,10.1371/journal.pone.0275128,FALSE,journal article,NA,NA,2126.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bielefeld FH,https://ror.org/00edvg943,2022,1011.29,10.1177/15280837221139250,FALSE,journal article,NA,NA,1011.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bielefeld FH,https://ror.org/00edvg943,2022,1708.59,10.3390/su142215280,FALSE,journal article,NA,NA,1708.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bielefeld FH,https://ror.org/00edvg943,2022,1947.7,10.1371/journal.pone.0267883,FALSE,journal article,NA,NA,1947.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
