institution;period;euro;doi;is_hybrid;
Fachhochschule Südwestfalen;2022;1.931,47;https://doi.org/10.3390/app12062940 ;FALSE;
Fachhochschule Südwestfalen;2022;2.005,75;https://doi.org/10.3390/ani12070850;FALSE;
Fachhochschule Südwestfalen;2022;2.296,70;https://doi.org/10.1016/j.optmat.2022.112339;TRUE;
Fachhochschule Südwestfalen;2022;1.148,35;https://doi.org/10.1016/j.mlwa.2022.100341;FALSE;
Fachhochschule Südwestfalen;2022;3.284,40;https://doi.org/10.1016/j.enpol.2022.113073;TRUE;
Fachhochschule Südwestfalen;2022;2.305,95;https://doi.org/10.3390/su14137612;FALSE;
Fachhochschule Südwestfalen;2022;1.603,60;https://doi.org/10.3390/soc12030094 ;FALSE;
Fachhochschule Südwestfalen;2022;2.146,02;https://doi.org/10.1109/ACCESS.2022.3199913;FALSE;
Fachhochschule Südwestfalen;2022;2.136,75;https://doi.org/10.1109/ACCESS.2022.3196340;FALSE;
Fachhochschule Südwestfalen;2022;2.165,55;https://doi.org/10.1109/ACCESS.2022.3187702;FALSE;
Fachhochschule Südwestfalen;2022;2.001,37;https://doi.org/10.1038/s41598-022-21903-z;TRUE;
;;;;;
