"institution","period","euro","doi","is_hybrid","opt_out","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement","group_id"
"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acs.jchemed.3c01228",TRUE,FALSE,"American Chemical Society (ACS)","Journal of Chemical Education","0021-9584","0021-9584","1938-1328","0021-9584","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/jacs.3c13925",TRUE,FALSE,"American Chemical Society (ACS)","Journal of the American Chemical Society","0002-7863","0002-7863","1520-5126","0002-7863","https://creativecommons.org/licenses/by/4.0/",TRUE,"38588581","PMC11027151",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acschemneuro.3c00665",TRUE,FALSE,"American Chemical Society (ACS)","ACS Chemical Neuroscience","1948-7193","1948-7193","1948-7193","1948-7193","https://creativecommons.org/licenses/by/4.0/",TRUE,"38579109","PMC11027099",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acsabm.4c00057",TRUE,FALSE,"American Chemical Society (ACS)","ACS Applied Bio Materials","2576-6422","2576-6422","2576-6422","2576-6422","https://creativecommons.org/licenses/by/4.0/",TRUE,"38470448","PMC11022240",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acs.macromol.3c02030",TRUE,FALSE,"American Chemical Society (ACS)","Macromolecules","0024-9297","0024-9297","1520-5835","0024-9297","https://creativecommons.org/licenses/by/4.0/",TRUE,"38560346","PMC10977347",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acsphotonics.3c01287",TRUE,FALSE,"American Chemical Society (ACS)","ACS Photonics","2330-4022","2330-4022","2330-4022","2330-4022","https://creativecommons.org/licenses/by/4.0/",TRUE,"38523750","PMC10958599",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acs.inorgchem.3c04110",TRUE,FALSE,"American Chemical Society (ACS)","Inorganic Chemistry","0020-1669","0020-1669","1520-510X","0020-1669","https://creativecommons.org/licenses/by/4.0/",TRUE,"38437618","PMC10951951",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acs.inorgchem.3c03380",TRUE,FALSE,"American Chemical Society (ACS)","Inorganic Chemistry","0020-1669","0020-1669","1520-510X","0020-1669","https://creativecommons.org/licenses/by/4.0/",TRUE,"38373324","PMC10915800",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/jacs.3c11580",TRUE,FALSE,"American Chemical Society (ACS)","Journal of the American Chemical Society","0002-7863","0002-7863","1520-5126","0002-7863","https://creativecommons.org/licenses/by/4.0/",TRUE,"38334415","PMC10885143",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acsnano.3c11760",TRUE,FALSE,"American Chemical Society (ACS)","ACS Nano","1936-0851","1936-0851","1936-086X","1936-0851","https://creativecommons.org/licenses/by/4.0/",TRUE,"38290218","PMC10867891",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/jacs.3c09309",TRUE,FALSE,"American Chemical Society (ACS)","Journal of the American Chemical Society","0002-7863","0002-7863","1520-5126","0002-7863","https://creativecommons.org/licenses/by/4.0/",TRUE,"38275163","PMC10859934",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acsmacrolett.3c00633",TRUE,FALSE,"American Chemical Society (ACS)","ACS Macro Letters","2161-1653","2161-1653","2161-1653","2161-1653","https://creativecommons.org/licenses/by/4.0/",TRUE,"38230657","PMC10883036",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acsaom.4c00200",TRUE,FALSE,"American Chemical Society (ACS)","ACS Applied Optical Materials","2771-9855","2771-9855","2771-9855","2771-9855","https://creativecommons.org/licenses/by/4.0/",TRUE,"39086657","PMC11287792",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acsomega.4c01196",FALSE,FALSE,"American Chemical Society (ACS)","ACS Omega","2470-1343","2470-1343","2470-1343","2470-1343","https://creativecommons.org/licenses/by/4.0/",TRUE,"39035945","PMC11256340",NA,NA,TRUE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acs.biomac.4c00007",TRUE,FALSE,"American Chemical Society (ACS)","Biomacromolecules","1525-7797","1525-7797","1526-4602","1525-7797","https://creativecommons.org/licenses/by/4.0/",TRUE,"38963401","PMC11323007",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acs.jpcc.4c00654",TRUE,FALSE,"American Chemical Society (ACS)","The Journal of Physical Chemistry C","1932-7447","1932-7447","1932-7455","1932-7447","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acs.analchem.3c05372",TRUE,FALSE,"American Chemical Society (ACS)","Analytical Chemistry","0003-2700","0003-2700","1520-6882","0003-2700","https://creativecommons.org/licenses/by/4.0/",TRUE,"38771097","PMC11154666",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acsami.4c04045",TRUE,FALSE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252","1944-8244","https://creativecommons.org/licenses/by/4.0/",TRUE,"38700504","PMC11103662",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acs.macromol.4c00448",TRUE,FALSE,"American Chemical Society (ACS)","Macromolecules","0024-9297","0024-9297","1520-5835","0024-9297","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acsomega.4c02770",FALSE,FALSE,"American Chemical Society (ACS)","ACS Omega","2470-1343","2470-1343","2470-1343","2470-1343","https://creativecommons.org/licenses/by/4.0/",TRUE,"38737089","PMC11080039",NA,NA,TRUE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acs.organomet.4c00052",TRUE,FALSE,"American Chemical Society (ACS)","Organometallics","0276-7333","0276-7333","1520-6041","0276-7333","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acs.analchem.4c03280",TRUE,FALSE,"American Chemical Society (ACS)","Analytical Chemistry","0003-2700","0003-2700","1520-6882","0003-2700","https://creativecommons.org/licenses/by/4.0/",TRUE,"39292759","PMC11447666",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acs.analchem.4c02329",TRUE,FALSE,"American Chemical Society (ACS)","Analytical Chemistry","0003-2700","0003-2700","1520-6882","0003-2700","https://creativecommons.org/licenses/by/4.0/",TRUE,"39289923","PMC11447665",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena",2024,NA,"10.1021/acs.jpca.4c03794",TRUE,FALSE,"American Chemical Society (ACS)","The Journal of Physical Chemistry A","1089-5639","1089-5639","1520-5215","1089-5639","https://creativecommons.org/licenses/by/4.0/",TRUE,"39163640","PMC11372758",NA,NA,FALSE,"acs2024fak","05qpz1x62_acs2024fak_2024"
