"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"FU Berlin",2016,1950.83,"10.3389/fncom.2016.00145",FALSE,"Frontiers Media SA","Frontiers in Computational Neuroscience","1662-5188",NA,"1662-5188","1662-5188",NA,TRUE,"28149276","PMC5241316","ut:000392334900001",NA,TRUE
"FU Berlin",2016,333.27,"10.4236/ojps.2017.71008",FALSE,"Scientific Research Publishing, Inc,","Open Journal of Political Science","2164-0505","2164-0505","2164-0513","2164-0505","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"FU Berlin",2016,1937.58,"10.3389/fnhum.2016.00669",FALSE,"Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161",NA,"1662-5161","1662-5161",NA,TRUE,"28111545","PMC5216683","ut:000391236100001",NA,TRUE
"FU Berlin",2016,1503.65,"10.1080/2331186X.2017.1280256",FALSE,"Informa UK Limited","Cogent Education","2331-186X",NA,"2331-186X","2331-186X",NA,TRUE,NA,NA,"ut:000392829600001",NA,TRUE
"FU Berlin",2016,1954.74,"10.3389/fpsyg.2016.02073",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078",NA,TRUE,"28123376","PMC5225144","ut:000391585700001",NA,TRUE
"FU Berlin",2016,1949.18,"10.3389/fpsyg.2017.00006",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078",NA,TRUE,"28167923","PMC5253367","ut:000392373300001",NA,TRUE
"FU Berlin",2016,1439.9,"10.1186/s11671-017-1835-0",FALSE,"Springer Nature","Nanoscale Research Letters","1931-7573","1931-7573","1556-276X","1556-276X","http://creativecommons.org/licenses/by/4.0",TRUE,"28116609","PMC5256633",NA,NA,TRUE
"FU Berlin",2016,1618.4,"10.1038/cddiscovery.2016.106",FALSE,"Springer Nature","Cell Death Discovery","2058-7716",NA,"2058-7716","2058-7716",NA,TRUE,"28149533","PMC5279457",NA,NA,FALSE
"FU Berlin",2016,1694.17,"10.1371/journal.pone.0169822",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"28072882","PMC5225004","ut:000391844200050",NA,TRUE
"FU Berlin",2016,1285.2,"10.5194/nhess-16-2391-2016",FALSE,"Copernicus GmbH","Natural Hazards and Earth System Sciences","1684-9981",NA,"1684-9981","1561-8633","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000388869100001",NA,TRUE
"FU Berlin",2016,1667.61,"10.3390/ijms18010059",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067",NA,TRUE,"28036087","PMC5297694",NA,NA,TRUE
"FU Berlin",2016,734.05,"10.1017/fms.2017.1",FALSE,"Cambridge University Press (CUP)","Forum of Mathematics, Sigma","2050-5094",NA,"2050-5094","2050-5094",NA,TRUE,NA,NA,NA,NA,TRUE
"FU Berlin",2016,952,"10.17645/pag.v4i4.743",FALSE,"Cogitatio","Politics and Governance","2183-2463",NA,"2183-2463","2183-2463","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
