"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"FU Berlin",2021,6000,"10.1515/9783110707151",FALSE,"De Gruyter","Sterben dürfen im Krankenhaus","978-3-11-070715-1",NA,"978-3-11-070715-1",NA,TRUE,TRUE
"FU Berlin",2021,6960,"10.1515/9783110667189",FALSE,"De Gruyter","Der Teufel und seine poietische Macht in literarischen Texten vom Mittelalter zur Moderne","978-3-11-066718-9",NA,"978-3-11-066718-9",NA,TRUE,TRUE
"FU Berlin",2021,6000,"10.14361/9783839455302",FALSE,"transcript Verlag","Die Kunst des Büchermachens: Autorschaft und Materialität der Literatur zwischen 1765 und 1815","978-3-8376-5530-8","978-3-8376-5530-8","978-3-8394-5530-2","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"FU Berlin",2021,6000,"10.1515/9783110719253",FALSE,"De Gruyter","Der Kampf um Chinas kollektives Gedächtnis","978-3-11-071925-3",NA,"978-3-11-071925-3",NA,TRUE,TRUE
"FU Berlin",2021,6727.74,"10.1017/9781108942713",FALSE,"Cambridge University Press","Encounters between Foreign Relations Law and International Law","978-1-108-94271-3","978-1-108-83774-3","978-1-108-94271-3","https://www.cambridge.org/core/terms",TRUE,FALSE
"FU Berlin",2021,6000,"10.14361/9783839456682",FALSE,"transcript Verlag","Robuste Langzeit-Governance bei der Endlagersuche","978-3-8376-5668-8","978-3-8376-5668-8","978-3-8394-5668-2","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"FU Berlin",2021,6765.15,"10.14361/9783839457290",FALSE,"transcript Verlag","The Wealthy, the Brilliant, the Few","978-3-8376-5729-6","978-3-8376-5729-6","978-3-8394-5729-0","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"FU Berlin",2021,6000,"10.1515/9783110691597",FALSE,"De Gruyter","Qualität in der Inhaltserschließung","978-3-11-069159-7",NA,"978-3-11-069159-7",NA,TRUE,FALSE
"FU Berlin",2021,6000,"10.14361/9783839457023",FALSE,"transcript Verlag","Mediale Affektökonomie","978-3-8376-5702-9","978-3-8376-5702-9","978-3-8394-5702-3","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"FU Berlin",2021,3570,"10.14361/9783839457399",FALSE,"transcript Verlag","Nichtstun als politische Praxis","978-3-8376-5739-5","978-3-8376-5739-5","978-3-8394-5739-9","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"FU Berlin",2021,6402.2,"10.11647/obp.0238",FALSE,"Open Book Publishers","Arab Media Systems","978-1-80064-059-7","978-1-80064-059-7","978-1-80064-061-0","http://creativecommons.org/licenses/by/4.0",TRUE,TRUE
