"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"FWF - Austrian Science Fund",2023,8000,"10.5771/9783748934110",FALSE,"Nomos Verlagsgesellschaft mbH & Co. KG","Der Vertrag von Sèvres","978-3-7489-3411-0","978-3-7489-3411-0",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"FWF - Austrian Science Fund",2023,10000,"10.7767/9783205218623",FALSE,"Böhlau","Das Tagebuch von Leo Thun-Hohenstein (1825–1842)","978-3-205-21862-3","978-3-205-21862-3","978-3-205-21863-0",NA,FALSE,FALSE
"FWF - Austrian Science Fund",2023,12000,"10.4324/9781003276029",FALSE,"Routledge","Risk and Responsibility in Context","978-1-003-27602-9",NA,"978-1-003-27602-9","http://creativecommons.org/licenses/by-nc/4.0",TRUE,FALSE
"FWF - Austrian Science Fund",2023,7000,NA,FALSE,"Academic Studies Press","Gescheiterte Aufklärung?","979-8-88719-623-7",NA,NA,NA,FALSE,FALSE
"FWF - Austrian Science Fund",2023,14000,"10.1553/978oeaw92008",FALSE,"Verlag der Österreichischen Akademie der Wissenschaften","Von Hyele zu Velia, Volume II","978-3-7001-9200-8","978-3-7001-9200-8",NA,NA,TRUE,FALSE
"",,,"","","","","","","","","",""
"FWF - Austrian Science Fund",2023,9000,"10.1007/978-3-031-39900-8",FALSE,"Springer International Publishing","Cultural Change in Post-Migrant Societies","978-3-031-39899-5","978-3-031-39899-5","978-3-031-39900-8","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"FWF - Austrian Science Fund",2023,22000,"10.5040/9781350294660",FALSE,"Bloomsbury Publishing","The Bloomsbury Handbook of Susanne K. Langer","978-1-350-29466-0","978-1-350-29473-8","978-1-350-29466-0","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"FWF - Austrian Science Fund",2023,7000,"10.1553/978oeaw92985",FALSE,"Verlag der Österreichischen Akademie der Wissenschaften","Die Protokolle des cisleithanischen Ministerrates 1867‒ 1918. Band VIII: Erster Weltkrieg. Teilband 1","978-3-7001-9298-5","978-3-7001-9298-5","978-3-7001-9299-2",NA,FALSE,FALSE
"FWF - Austrian Science Fund",2023,8730,NA,FALSE,"Königshausen & Neumann","Marianne Pirker. Karriere einer Sängerin im 18. Jahrhundert","978-3-8260-8189-7",NA,NA,NA,FALSE,FALSE
"",,,"","","","","","","","","",""
"FWF - Austrian Science Fund",2023,11000,"10.1515/9783111085593",FALSE,"De Gruyter","Der Witwer. Die Gefährtin","978-3-11-108559-3",NA,"978-3-11-108559-3","http://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"",,,"","","","","","","","","",""
"FWF - Austrian Science Fund",2023,10000,"10.47788/gmty9723",FALSE,"University of Exeter Press","Imagining Air","978-1-80413-119-0","978-1-80413-119-0",NA,NA,TRUE,FALSE
"FWF - Austrian Science Fund",2023,12000,"10.14361/9783839461273",FALSE,"transcript Verlag","Unbehaglich Queer","978-3-8376-6127-9","978-3-8376-6127-9","978-3-8394-6127-3","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"FWF - Austrian Science Fund",2023,11575,"10.11116/9789461665409",FALSE,"Leuven University Press","Collecting Asian Art","978-94-6166-540-9","978-94-6166-540-9",NA,NA,TRUE,FALSE
"FWF - Austrian Science Fund",2023,18000,"10.5040/9781350299412",FALSE,"Bloomsbury Publishing","Vignette Research","978-1-350-29941-2","978-1-350-29937-5","978-1-350-29941-2",NA,TRUE,FALSE
"FWF - Austrian Science Fund",2023,13000,NA,FALSE,"Wallstein Verlag","Theater als »Spiel- und Spiegelform« jüdischer Erfahrung","978-3-8353-5621-4",NA,NA,NA,FALSE,FALSE
"FWF - Austrian Science Fund",2023,10000,"10.7767/9783205219019",FALSE,"Böhlau","Der Franziszeische Kataster im Kronland Österreichisch- Schlesien (1821-1851)","978-3-205-21901-9","978-3-205-21901-9","978-3-205-21902-6",NA,FALSE,FALSE
"",,,"","","","","","","","","",""
"FWF - Austrian Science Fund",2023,15670,"10.4324/9781003272267",FALSE,"Routledge","A Critical History of Health Films in Central and Eastern Europe and Beyond","978-1-003-27226-7",NA,"978-1-003-27226-7","http://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"FWF - Austrian Science Fund",2023,9000,"10.14361/9783839469064",FALSE,"transcript Verlag","Masculinities Ageing between Cultures","978-3-8376-6906-0","978-3-8376-6906-0","978-3-8394-6906-4","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"FWF - Austrian Science Fund",2023,13000,"10.1007/978-3-031-42763-3",FALSE,"Springer International Publishing","Feminist Activism, Travel and Translation Around 1900","978-3-031-42762-6","978-3-031-42762-6","978-3-031-42763-3","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"FWF - Austrian Science Fund",2023,10000,"10.7767/9783205219095",FALSE,"Böhlau","Franz Waxman: Zwischen Filmmusik und Konzertsaal","978-3-205-21909-5","978-3-205-21909-5","978-3-205-21909-5",NA,TRUE,FALSE
"FWF - Austrian Science Fund",2023,9456,"10.56560/isbn.978-3-7011-0535-9",FALSE,"Leykam Universitätsverlag","Brückenbauer im Kalten Krieg. Österreich und der lange Weg zur KSZE-Schlussakte","978-3-7011-0535-9","978-3-7011-0535-9",NA,NA,TRUE,FALSE
"FWF - Austrian Science Fund",2023,10000,NA,FALSE,"Böhlau","Das Wiener Hetzamphitheater (1755-1796)","978-3-205-22014-5",NA,NA,NA,FALSE,FALSE
"",,,"","","","","","","","","",""
"FWF - Austrian Science Fund",2023,22000,"10.4472/9783035807103",FALSE,"DIAPHANES","Inorganic Life. On Post-Vitalism","978-3-0358-0710-3",NA,NA,NA,FALSE,FALSE
"FWF - Austrian Science Fund",2023,7500,"10.4324/9781003259343",FALSE,"Routledge","Tango Dance and Music","978-1-003-25934-3",NA,"978-1-003-25934-3",NA,TRUE,FALSE
"FWF - Austrian Science Fund",2023,14000,NA,FALSE,"Hollitzer Verlag","Werkverzeichnis Anton Bruckner Bd. 1","978-3-99094-172-0",NA,NA,NA,FALSE,FALSE
"FWF - Austrian Science Fund",2023,14000,NA,FALSE,"Hollitzer Verlag","Werkverzeichnis Anton Bruckner Bd. 2","978-3-99094-174-4",NA,NA,NA,FALSE,FALSE
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"FWF - Austrian Science Fund",2023,12000,"10.4324/9781351025782",FALSE,"Routledge","The Chobanids of Kastamonu","978-1-351-02578-2",NA,"978-1-351-02578-2","http://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"FWF - Austrian Science Fund",2023,8000,"10.1515/9783111322537",FALSE,"De Gruyter","Formen und Funktionen auktorialer Epitexte im literarischen Feld der Gegenwart","978-3-11-132253-7",NA,"978-3-11-132253-7","http://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"FWF - Austrian Science Fund",2023,10000,NA,FALSE,"transcript Verlag","Postmigrantische Literaturgeschichte","978-3-8376-7243-5","978-3-8376-7243-5","978-3-8394-7243-9",NA,FALSE,FALSE
"FWF - Austrian Science Fund",2023,10000,NA,FALSE,"Böhlau","I libretti italiani a Vienna tra Sei e Settecento","978-3-205-22043-5",NA,NA,NA,FALSE,FALSE
"FWF - Austrian Science Fund",2023,14000,NA,FALSE,"De Gruyter","Arthur Schnitzler: Der einsame Weg. Historisch-kritische Ausgabe","978-3-11-133406-6","978-3-11-133173-7","978-3-11-133406-6",NA,FALSE,FALSE
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"FWF - Austrian Science Fund",2023,9000,"10.17433/978-3-17-043904-7",FALSE,"Kohlhammer","Religiöse Vorstellungen von SchülerInnen erforschen","978-3-17-043904-7",NA,"978-3-17-043904-7","https://creativecommons.org/licences/by-nc/4.0",TRUE,FALSE
"",,,"","","","","","","","","",""
"FWF - Austrian Science Fund",2023,14000,NA,FALSE,"Felix Meiner Verlag","Rudolf Carnap | Otto Neurath. Briefwechsel","978-3-7873-4514-4",NA,NA,NA,FALSE,FALSE
"FWF - Austrian Science Fund",2023,10000,"10.7767/9783205218746",FALSE,"Böhlau","Blicke in den Spiegel des Koran","978-3-205-21873-9","978-3-205-21873-9","978-3-205-21874-6",NA,TRUE,FALSE
