Institution;Period; Euro ;DOI;FWF e-book library;Publisher;Book_title;ISBN;Funding Programme
Austrian Science Fund (FWF);2021;9.500,00 ;10.14361/9783839459775h;ttps://e-book.fwf.ac.at/o:1704;TRANSCRIPT VERLAG ROSWITHA GOST & DR. KARIN WERNER GBR;Sexuelle Bildung ermöglichen: Sprachlosigkeit, Lust, Verletzbarkeit und Emanzipation als Herausforderungen pädagogischer Professionalisierung;978-3-8376-5977-1;Stand-Alone Publications
Austrian Science Fund (FWF);2021;8.000,00 ;10.14361/9783839460740;https://e-book.fwf.ac.at/o:1702;TRANSCRIPT VERLAG ROSWITHA GOST & DR. KARIN WERNER GBR;Living in Refuge: Ritualization and Religiosity in a Christian and a Muslim Palestinian Refugee Camp in Lebanon;978-3-8376-6074-6;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;10.14361/9783839461037;https://e-book.fwf.ac.at/o:1699;TRANSCRIPT VERLAG ROSWITHA GOST & DR. KARIN WERNER GBR;Spectatoriale Geschlechterkonstruktionen: Geschlechtsspezifische Wissens- und Welterzeugung in den französisch- und spanischsprachigen Moralischen Wochenschriften des 18. Jahrhunderts;978-3-8376-6103-3;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;10.1515/9783110592153;https://e-book.fwf.ac.at/o:1606;VERLAG WALTER DE GRUYTER GMBH;Kritische Edition der Sahidischen Version des Johannesevangeliums: Text und Dokumentation;978-3-11-059215-3;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;10.1515/9783110722055;https://e-book.fwf.ac.at/o:1548;VERLAG WALTER DE GRUYTER GMBH;Der Zweite Weltkrieg in postsozialistischen Gedenkmuseen: Geschichtspolitik zwischen der ‚Anrufung Europas‘ und dem Fokus auf ‚unser‘ Leid;78-3-11-071481-4;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;10.1515/9783110724127;https://e-book.fwf.ac.at/o:1596;VERLAG WALTER DE GRUYTER GMBH;Österreichs Skisport im Nationalsozialismus: Anpassung – Verfolgung – Kollaboration;978-3-11-072412-7;Stand-Alone Publications
;;;;;;;;
Austrian Science Fund (FWF);2021;8.000,00 ;10.15661/tyche/supplement.14.kurpios;https://e-book.fwf.ac.at/o:1692;VERLAG HOLZHAUSEN GMBH;The Reception of Thucydides in the Theory and Practice of Hellenistic Historiography;978-3-903207-53-0;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;10.46499/1554;https://e-book.fwf.ac.at/o:1709;WOCHENSCHAU VERLAG;Geschichtsunterricht vor der Frage nach dem Sinn: Geschichts(unter)bewusstsein und die Optionen eines sinnzentrierten Unterrichts;978-3-7344-1394-0;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;10.46499/1555;https://e-book.fwf.ac.at/o:1711;WOCHENSCHAU VERLAG;Konzepte historischen Denkens und ihre Entwicklungslogik: Eine Studie zur Genese historischer Verständnishorizonte;978-3-7344-1396-4;Stand-Alone Publications
