Institution;Period; EURO ;DOI;is_hybrid;Publisher;Journal_full_title;Funding Programme;Note
NA;NA;NA;NA;NA;NA;NA;NA;NA
Austrian Science Fund (FWF);2021;3.391,68 ;10.1126/sciadv.abb3424;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.945,75 ;10.1126/sciadv.aaz3666;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;4.147,41 ;10.1126/sciadv.abb7118;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;4.603,60 ;10.1126/sciadv.abf9134;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;4.657,98 ;10.1126/sciadv.abh1434;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;711,53 ;10.1021/acsomega.0c01079;FALSE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Omega;Peer-Reviewed Publications ;
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
Austrian Science Fund (FWF);2021;2.295,25 ;10.1063/5.0039136;FALSE;AMERICAN INSTITUTE OF PHYSICS (AIP);APL Materials;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.789,77 ;10.1063/5.0037235;FALSE;AMERICAN INSTITUTE OF PHYSICS (AIP);APL Photonics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.825,45 ;10.1063/5.0029310;FALSE;AMERICAN INSTITUTE OF PHYSICS (AIP);APL Photonics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.539,47 ;10.1063/5.0040811;TRUE;AMERICAN INSTITUTE OF PHYSICS (AIP);Applied Physics Letters;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.623,83 ;10.1063/5.0034569;TRUE;AMERICAN INSTITUTE OF PHYSICS (AIP);Review of Scientific Instruments;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;649,00 ;10.1090/bproc/68;TRUE;AMERICAN MATHEMATICAL SOCIETY (AMS);Proceedings of the American Mathematical Society;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.124,81 ;10.1175/JCLI-D-20-0385.1;TRUE;AMERICAN METEOROLOGICAL SOCIETY (AMS);Journal of Climate;Peer-Reviewed Publications ;
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
Austrian Science Fund (FWF);2021;1.067,74 ;10.1103/PhysRevE.102.062211;TRUE;AMERICAN PHYSICAL SOCIETY (APS);Physical Review E - Statistical, Nonlinear, and Soft Matter Physics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.136,96 ;10.1103/PhysRevMaterials.4.103604;TRUE;AMERICAN PHYSICAL SOCIETY (APS);Physical Review Materials;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.175,08 ;10.1103/PhysRevResearch.3.013018;TRUE;AMERICAN PHYSICAL SOCIETY (APS);Physical Review Research ;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.199,51 ;10.1103/PhysRevE.102.060601;TRUE;AMERICAN PHYSICAL SOCIETY (APS);Physical Review E - Statistical, Nonlinear, and Soft Matter Physics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.252,25 ;10.1103/PhysRevResearch.3.L012013;TRUE;AMERICAN PHYSICAL SOCIETY (APS);Physical Review Research ;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.259,95 ;10.1103/PhysRevResearch.3.033038;TRUE;AMERICAN PHYSICAL SOCIETY (APS);Physical Review Research ;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.263,85 ;10.1103/PhysRevResearch.3.013149;TRUE;AMERICAN PHYSICAL SOCIETY (APS);Physical Review Research ;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.264,25 ;10.1103/PhysRevA.103.022204;TRUE;AMERICAN PHYSICAL SOCIETY (APS);Physical Review A - Atomic, Molecular, and Optical Physics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.272,59 ;10.1103/PhysRevA.103.022205;TRUE;AMERICAN PHYSICAL SOCIETY (APS);Physical Review A - Atomic, Molecular, and Optical Physics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.277,40 ;10.1103/PhysRevResearch.3.013093;TRUE;AMERICAN PHYSICAL SOCIETY (APS);Physical Review Research ;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.281,91 ;10.1103/PhysRevResearch.3.033022;TRUE;AMERICAN PHYSICAL SOCIETY (APS);Physical Review Research ;Peer-Reviewed Publications ;
