"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"FZJ - ZB",2015,1744.35,"10.1155/2015/569052",FALSE,"Hindawi Publishing Corporation","BioMed Research International","2314-6133","2314-6133","2314-6141","http://creativecommons.org/licenses/by/3.0/",TRUE,"26568958","PMC4629059",NA,NA,TRUE
"FZJ - ZB",2015,1046,"10.1038/srep07968",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,TRUE,"25608949","PMC4302317",NA,NA,TRUE
"FZJ - ZB",2015,713.16,"10.3390/cancers7010287",FALSE,"MDPI AG","Cancers","2072-6694",NA,"2072-6694",NA,TRUE,"25635760","PMC4381259",NA,NA,TRUE
"FZJ - ZB",2015,1305,"10.5194/hess-19-2145-2015",FALSE,"Copernicus GmbH","Hydrology and Earth System Sciences","1607-7938",NA,"1607-7938","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"FZJ - ZB",2015,960,"10.5194/amt-8-3147-2015",FALSE,"Copernicus GmbH","Atmospheric Measurement Techniques","1867-8548",NA,"1867-8548","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"FZJ - ZB",2015,1056,"10.5194/amt-8-2473-2015",FALSE,"Copernicus GmbH","Atmospheric Measurement Techniques","1867-8548",NA,"1867-8548","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"FZJ - ZB",2015,1012,"10.5194/angeo-32-1373-2014",FALSE,"Copernicus GmbH","Annales Geophysicae","1432-0576",NA,"1432-0576","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"FZJ - ZB",2015,1368,"10.5194/amtd-7-10771-2014",FALSE,"Copernicus GmbH","Atmospheric Measurement Techniques Discussions","1867-8610",NA,"1867-8610","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"FZJ - ZB",2015,798.02,"10.1016/j.nme.2015.01.001",FALSE,"Elsevier BV","Nuclear Materials and Energy","23521791","23521791",NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,NA,NA,FALSE
"FZJ - ZB",2015,1314,"10.1002/2014EF000270",FALSE,"Wiley-Blackwell","Earth's Future","23284277",NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,NA,NA,NA,NA,FALSE
"FZJ - ZB",2015,1007.59,"10.3390/rs70302808",FALSE,"MDPI AG","Remote Sensing","2072-4292",NA,"2072-4292",NA,TRUE,NA,NA,NA,NA,TRUE
"FZJ - ZB",2015,1264,"10.1186/s12934-015-0274-9",FALSE,"Springer Nature","Microbial Cell Factories","1475-2859",NA,"1475-2859",NA,TRUE,"26062542","PMC4464236",NA,NA,TRUE
