Institution;Period;Rechnungssumme;DOI;Hybrid;Publisher;Journaltitle;ISSN;URL
FZJ-ZB;2016;1200.52;10.3389/fpsyg.2015.02045;FALSE;Frontiers;Frontiers in Psychology;;

FZJ-ZB;2016;1193.84;10.3389/fbioe.2016.00046;FALSE;Frontiers;Frontiers in Bioengineering and Biotechnology;;
FZJ-ZB;2016;1172.05;10.3389/fnana.2016.00057;FALSE;Frontiers;Frontiers in Neuroanatomy;;
FZJ-ZB;2016;1150.46;10.3389/fnins.2016.00008;FALSE;Frontiers;Frontiers in Neuroscience;;
FZJ-ZB;2016;1756.72;10.1364/OE.24.001358;FALSE;Optical Society of America (OSA);Optics Express;;
FZJ-ZB;2016;1165.00;10.1038/srep19836;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1051.00;10.1002/2015EF000321;FALSE;Wiley;Earths Future;;
FZJ-ZB;2016;1360.00;10.3402/tellusb.v67.28339;FALSE;Co-Action Publishing;Tellus B;;
FZJ-ZB;2016;1165.00;10.1038/srep20897;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1165.00;10.1038/srep19627;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;866.00;10.1002/2211-5463.12061;FALSE;Wiley;FEBS Open Bio;;
FZJ-ZB;2016;1240.85;10.1063/1.4940758;FALSE;AIP Publishing LLC;AIP Advances;;
FZJ-ZB;2016;1131.00;10.5194/acpd-15-35117-2015;FALSE;Copernicus;Atmospheric Chemistry and Physics;;
FZJ-ZB;2016;864.00;10.5194/acpd-15-34325-2015;FALSE;Copernicus;Atmospheric Chemistry and Physics;;
FZJ-ZB;2016;1176.00;10.5194/amtd-8-12475-2015;FALSE;Copernicus;Atmospheric Measurement Techniques;;
FZJ-ZB;2016;1102.00;10.5194/amtd-8-11779-2015;FALSE;Copernicus;Atmospheric Measurement Techniques;;
FZJ-ZB;2016;1200.00;10.5194/acpd-15-31537-2015;FALSE;Copernicus;Atmospheric Chemistry and Physics;;
FZJ-ZB;2016;1248.00;10.5194/gmd-9-1341-2016;FALSE;Copernicus;Geoscientific Model Development;;
FZJ-ZB;2016;792.00;10.5194/acpd-15-29939-2015;FALSE;Copernicus;Atmospheric Chemistry and Physics;;
FZJ-ZB;2016;1008.00;10.5194/acpd-15-29171-2015;FALSE;Copernicus;Atmospheric Chemistry and Physics;;
FZJ-ZB;2016;1056.00;10.5194/gmdd-8-9103-2015;FALSE;Copernicus;Geoscientific Model Development;;
FZJ-ZB;2016;1378.32;10.1371/journal.pone.0147470;FALSE;Public Library of Science (PLoS);PLoS ONE;;
FZJ-ZB;2016;1253.26;10.1088/1367-2630/18/2/023034;FALSE;Institute of Physics (IOP);New Journal of Physics;;
FZJ-ZB;2016;2440.15;10.1104/pp.15.01388;TRUE;American Society of Plant Biologists;Plant Physiology;;
FZJ-ZB;2016;2438.00;10.1093/cercor/bhw034;TRUE;Oxford University Press;Cerebral Cortex;;
FZJ-ZB;2016;1165.00;10.1038/srep22410;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;2945.38;10.1016/j.biombioe.2016.02.010;TRUE;Elsevier;Biomass and Bioenergy;;
FZJ-ZB;2016;466.74;10.15662/IJAREEIE.2016.0501068;FALSE;S&S Publications;International Journal of Advanced Research in Electrical, Electronics and Instrumentation Engineering;;
FZJ-ZB;2016;2444.40;10.1103/PhysRevLett.116.126805;TRUE;American Physical Society (APS);Physical Review Letters;;
FZJ-ZB;2016;1396.00;10.1186/s13628-016-0029-y;FALSE;Biomed Central (BMC);BMC Biophysics;;
FZJ-ZB;2016;1165.00;10.1038/srep23086;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1165.00;10.1038/srep22148;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1355.92;10.1371/journal.pone.0150267;FALSE;Public Library of Science (PLoS);PLoS ONE;;
FZJ-ZB;2016;2327.90;10.1063/1.4942462;TRUE;AIP Publishing LLC;Applied Physics Letters;;
FZJ-ZB;2016;1165.00;10.1038/srep22912;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1170.00;10.1088/1367-2630/18/4/045002;FALSE;Institute of Physics (IOP);New Journal of Physics;;
FZJ-ZB;2016;1996.33;10.1371/journal.pcbi.1004754;FALSE;Public Library of Science (PLoS);PLoS Computational Biology;;
FZJ-ZB;2016;3832.92;10.1523/JNEUROSCI.4375-15.2016;TRUE;Society for Neuroscience (SfN);Journal of Neuroscience;;
FZJ-ZB;2016;1563.23;10.3389/fnins.2016.00404;FALSE;Frontiers;Frontiers in Neuroscience;;
FZJ-ZB;2016;1591.78;10.3389/fpls.2016.00944;FALSE;Frontiers;Frontiers in Plant Science;;
FZJ-ZB;2016;1591.78;10.3389/fninf.2016.00026;FALSE;Frontiers;Frontiers in Neuroinformatics;;
FZJ-ZB;2016;1165.00;10.1038/srep24573;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1254.30;10.3390/rs8070574;FALSE;MDPI;Remote Sensing;;
FZJ-ZB;2016;2278.19;10.1073/pnas.1514529113;TRUE;National Academy of Sciences;Proceedings of the National Academy of Sciences of the United States of America (PNAS);;
FZJ-ZB;2016;1151.02;10.3389/fnana.2016.00040;FALSE;Frontiers;Frontiers in Neuroanatomy;;
FZJ-ZB;2016;1150.46;10.3389/fnana.2016.00051;FALSE;Frontiers;Frontiers in Neuroanatomy;;
FZJ-ZB;2016;1172.05;10.3389/fpls.2016.00745;FALSE;Frontiers;Frontiers in Plant Science;;
FZJ-ZB;2016;1563.23;10.3389/fninf.2016.00031;FALSE;Frontiers;Frontiers in Neuroinformatics;;
FZJ-ZB;2016;1322.68;10.1371/journal.pone.0153035;FALSE;Public Library of Science (PLoS);PLoS ONE;;
FZJ-ZB;2016;1308.70;10.1109/JPHOT.2016.2553847;FALSE;Institute of Electrical and Electronics Engineers (IEEE);IEEE Photonics Journal;;
FZJ-ZB;2016;624.78;10.1016/j.nme.2016.04.007;FALSE;Elsevier;Nuclear Materials and Energy;;
FZJ-ZB;2016;1165.00;10.1038/srep25843;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1150.46;10.3389/fnhum.2016.00225;FALSE;Frontiers;Frontiers in Human Neuroscience;;
FZJ-ZB;2016;1193.84;10.3389/fpls.2016.00803;FALSE;Frontiers;Frontiers in Plant Science;;
FZJ-ZB;2016;693.07;10.2136/vzj2015.09.0131;TRUE;Soil Science Society of America (SSSA);Vadose Zone Journal (VZJ);;
FZJ-ZB;2016;1165.00;10.1038/srep26197;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;536.18;10.3389/fpls.2016.00895;FALSE;Frontiers;Frontiers in Plant Science;;
FZJ-ZB;2016;432.43;10.23937/2377-9004/1410103;FALSE;ClinMed International Library;Clinical Medical Image Library;;
FZJ-ZB;2016;1165.00;10.1038/srep27146;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;0.00;10.3390/mi6060718;FALSE;MDPI;Micromachines;;
FZJ-ZB;2016;1165.00;10.1038/srep27035;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;446.27;10.1016/j.rinp.2016.05.010;FALSE;Elsevier;Results in Physics;;
FZJ-ZB;2016;719.68;10.3389/fneur.2016.00120;FALSE;Frontiers;Frontiers in Neurology;;
FZJ-ZB;2016;940.72;10.3390/polym8080291;FALSE;MDPI;Polymers;;
FZJ-ZB;2016;0.00;10.1155/2016/4287186;FALSE;Hindawi Publishing Corporation;Advances in Materials Science and Engineering;;
FZJ-ZB;2016;1103.57;10.4236/jmp.2016.713150;FALSE;Scientific Research;Journal of Modern Physics;;
FZJ-ZB;2016;3754.86;10.3791/54639;TRUE;My JOVE Corporation;Journal of Visualized Experiments (JoVE);;
FZJ-ZB;2016;2074.84;10.1371/journal.pcbi.1004939;FALSE;Public Library of Science (PLoS);PLoS Computational Biology;;
FZJ-ZB;2016;1165.00;10.1038/srep29493;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;3700.00;10.1038/ncomms12398;FALSE;Nature Publishing Group;Nature Communications;;
FZJ-ZB;2016;321.88;10.1063/1.4954714;TRUE;AIP Publishing LLC;Applied Physics Letters;;
FZJ-ZB;2016;1963.59;10.1016/j.ultsonch.2016.05.039;TRUE;Elsevier;Ultrasonics Sonochemistry;;
FZJ-ZB;2016;1326.05;10.1371/journal.pone.0156525;FALSE;Public Library of Science (PLoS);PLoS ONE;;
FZJ-ZB;2016;225.49;10.1016/j.dib.2016.06.024;FALSE;Elsevier;Data in Brief;;
FZJ-ZB;2016;1165.00;10.1038/srep29700;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1967.07;10.5194/acp-16-6863-2016;FALSE;Copernicus;Atmospheric Chemistry and Physics;;
FZJ-ZB;2016;718.57;10.2136/vzj2015.08.0113;TRUE;Soil Science Society of America (SSSA);Vadose Zone Journal (VZJ);;
FZJ-ZB;2016;3700.00;10.1038/ncomms12681;FALSE;Nature Publishing Group;Nature Communications;;
FZJ-ZB;2016;667.42;10.1103/PhysRevLett.117.054801;TRUE;American Physical Society (APS);Physical Review Letters;;
FZJ-ZB;2016;714.85;10.1080/15476286.2016.1205776;TRUE;Taylor & Francis;RNA Biology;;
FZJ-ZB;2016;1535.15;10.1103/PhysRevX.6.031024;FALSE;American Physical Society (APS);Physical Review X;;
FZJ-ZB;2016;2600.00;10.1093/cercor/bhw237;TRUE;Oxford University Press;Cerebral Cortex;;
FZJ-ZB;2016;1004.28;10.1088/1367-2630/18/8/083020;FALSE;Institute of Physics (IOP);New Journal of Physics;;
FZJ-ZB;2016;1396.00;10.1186/s12934-016-0604-6;FALSE;Biomed Central (BMC);Microbial Cell Factories;;
