"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"FZJ - ZB",2019,4698.83,"10.1002/admi.201900252",TRUE,"Wiley-Blackwell","Advanced Materials Interfaces","2196-7350","2196-7350","2196-7350","2196-7350","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000485498500001",NA,FALSE,"DEAL Wiley Germany"
"FZJ - ZB",2019,4698.83,"10.1002/cssc.201901487",TRUE,"Wiley-Blackwell","ChemSusChem","1864-5631","1864-5631","1864-564X","1864-5631","http://creativecommons.org/licenses/by/4.0/",TRUE,"31309710","PMC6790706","ut:000484145800001",NA,FALSE,"DEAL Wiley Germany"
"FZJ - ZB",2019,4698.83,"10.1029/2019gl083550",TRUE,"American Geophysical Union (AGU)","Geophysical Research Letters","0094-8276","0094-8276","1944-8007","0094-8276","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000481818900073",NA,FALSE,"DEAL Wiley Germany"
"FZJ - ZB",2019,4698.83,"10.1111/febs.15015",TRUE,"Wiley-Blackwell","FEBS Journal","1742-464X","1742-464X","1742-4658","1742-464X","http://creativecommons.org/licenses/by/4.0/",TRUE,"31330084",NA,"ut:000479584400001",NA,FALSE,"DEAL Wiley Germany"
"FZJ - ZB",2019,4698.83,"10.1107/s1600576719010847",TRUE,"International Union of Crystallography (IUCr)","Journal of Applied Crystallography","1600-5767",NA,"1600-5767","0021-8898","http://creativecommons.org/licenses/by/4.0/legalcode",TRUE,"31636520","PMC6782076","ut:000497756900012",NA,FALSE,"DEAL Wiley Germany"
"FZJ - ZB",2019,4698.83,"10.15252/embj.2019101468",TRUE,"EMBO","The EMBO Journal","0261-4189","0261-4189","1460-2075","0261-4189","http://creativecommons.org/licenses/by/4.0/",TRUE,"31506973","PMC6769379","ut:000486931900001",NA,FALSE,"DEAL Wiley Germany"
"FZJ - ZB",2019,4698.83,"10.15252/embr.201948451",TRUE,"EMBO","EMBO reports","1469-221X","1469-221X","1469-3178","1469-221X","http://creativecommons.org/licenses/by/4.0/",TRUE,"31535454","PMC6831999","ut:000487086400001",NA,FALSE,"DEAL Wiley Germany"
"FZJ - ZB",2019,4698.83,"10.1002/adma.201903391",TRUE,"Wiley-Blackwell","Advanced Materials","0935-9648","0935-9648","1521-4095","0935-9648","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"31441160",NA,"ut:000483160600001",NA,FALSE,"DEAL Wiley Germany"
"FZJ - ZB",2019,4698.83,"10.1002/aic.16788",TRUE,"Wiley-Blackwell","AIChE Journal","0001-1541","0001-1541","1547-5905","0001-1541","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"FZJ - ZB",2019,4698.83,"10.1111/jace.16740",TRUE,"Wiley-Blackwell","Journal of the American Ceramic Society","0002-7820","0002-7820","1551-2916","0002-7820","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000486945300001",NA,FALSE,"DEAL Wiley Germany"
