institution;doi;period;euro;is_hybrid
Bill & Melinda Gates Foundation;10.1016/j.dialog.2024.100168;2024;1006,32;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.fufo.2024.100316;2024;1646,7;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.ssmqr.2023.100383;2024;1344,51;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.ejro.2024.100546;2024;2262,49;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.worlddev.2024.106535;2024;3838,82;WAHR
Bill & Melinda Gates Foundation;10.4269/ajtmh.23-0631;2024;4940,11;WAHR
Bill & Melinda Gates Foundation;10.4269/ajtmh.23-0622;2024;2744,51;WAHR
Bill & Melinda Gates Foundation;10.1016/j.cortex.2024.01.004;2024;3165,33;WAHR
Bill & Melinda Gates Foundation;10.1016/j.ijpddr.2023.100519;2024;2225,4;FALSCH
Bill & Melinda Gates Foundation;10.1093/inthealth/ihae006;2024;1829,67;WAHR
Bill & Melinda Gates Foundation;10.12688/gatesopenres.15268.1;2024;805,05;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.14856.2;2023;1112,8;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.14819.2;2023;1080,94;FALSCH
Bill & Melinda Gates Foundation;10.3389/fimmu.2024.1329032;2024;3018,96;FALSCH
Bill & Melinda Gates Foundation;10.7189/jogh.14.04053;2024;3019,24;FALSCH
Bill & Melinda Gates Foundation;10.14309/ctg.0000000000000695;2024;2569,14;FALSCH
Bill & Melinda Gates Foundation;10.3389/fpls.2024.1365132;2024;3018,96;FALSCH
Bill & Melinda Gates Foundation;10.3389/fmala.2024.1338648;2024;1948,6;FALSCH
Bill & Melinda Gates Foundation;10.55085/aph.2024.714;2024;231,34;WAHR
Bill & Melinda Gates Foundation;10.1093/oxfimm/iqae001;2024;2789,35;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.15136.1;2024;805,05;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.13631.4;2022;2481,97;FALSCH
Bill & Melinda Gates Foundation;10.7189/jogh.14.04052;2024;3035,15;FALSCH
Bill & Melinda Gates Foundation;10.3389/fimmu.2024.1359178;2024;3018,96;FALSCH
Bill & Melinda Gates Foundation;10.3389/frph.2024.1351692;2024;1948,6;FALSCH
Bill & Melinda Gates Foundation;10.1093/ofid/ofae045;2024;4853,84;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12864-024-10135-2;2024;2735,36;FALSCH
Bill & Melinda Gates Foundation;10.1021/acs.joc.3c02855;2024;2769,15;WAHR
Bill & Melinda Gates Foundation;10.3389/fpls.2024.1361739;2024;3018,96;FALSCH
Bill & Melinda Gates Foundation;10.5194/soil-10-189-2024;2024;2094,97;FALSCH
Bill & Melinda Gates Foundation;10.1002/jaa2.112;2024;2287,09;WAHR
Bill & Melinda Gates Foundation;10.1038/s41564-023-01574-w;2024;10469,25;WAHR
Bill & Melinda Gates Foundation;10.3389/fpls.2024.1324090;2024;3018,96;FALSCH
Bill & Melinda Gates Foundation;10.1136/bmjgh-2023-014393;2024;4105,43;FALSCH
Bill & Melinda Gates Foundation;10.1136/bmjopen-2023-081682;2024;2717,06;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.endmts.2023.100154;2024;2284,81;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.fcr.2024.109278;2024;3631,89;WAHR
Bill & Melinda Gates Foundation;10.1016/j.fcr.2024.109281;2024;3631,89;WAHR
Bill & Melinda Gates Foundation;10.1016/j.gfs.2023.100738;2024;3439,78;WAHR
Bill & Melinda Gates Foundation;10.1016/j.ygeno.2024.110798;2024;2424,31;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.jdeveco.2023.103242;2024;3495,73;WAHR
Bill & Melinda Gates Foundation;10.12688/gatesopenres.15270.1;2024;1079,51;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.15189.1;2024;1079,51;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.wdp.2024.100572;2024;2689,61;WAHR
Bill & Melinda Gates Foundation;10.1016/j.worlddev.2023.106485;2024;3783,65;WAHR
Bill & Melinda Gates Foundation;10.12688/gatesopenres.15299.1;2024;1079,51;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.fochx.2023.101072;2024;2147,72;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.fochx.2023.101082;2024;2179,04;FALSCH
Bill & Melinda Gates Foundation;10.1016/s2214-109x(23)00585-5;2024;5031,59;FALSCH
Bill & Melinda Gates Foundation;10.1016/s2214-109x(23)00542-9;2024;5287,75;FALSCH
Bill & Melinda Gates Foundation;10.1016/s2214-109x(23)00563-6;2024;5287,75;FALSCH
Bill & Melinda Gates Foundation;10.1016/s2214-109x(23)00586-7;2024;5287,75;FALSCH
Bill & Melinda Gates Foundation;10.1016/s2214-109x(23)00550-8;2024;5287,75;FALSCH
Bill & Melinda Gates Foundation;10.1136/bmjopen-2023-077855;2024;1981,91;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.ssmph.2023.101593;2024;2559,21;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.jvacx.2023.100427;2024;1854,5;FALSCH
Bill & Melinda Gates Foundation;10.3389/fnhum.2024.1322820;2024;3018,96;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.13655.3;2022;1148,68;FALSCH
Bill & Melinda Gates Foundation;10.3389/fnins.2024.1348066;2024;3018,96;FALSCH
Bill & Melinda Gates Foundation;10.1093/pnasnexus/pgae090;2024;5151,74;FALSCH
Bill & Melinda Gates Foundation;10.3389/fitd.2023.1308129;2024;1975,04;FALSCH
Bill & Melinda Gates Foundation;10.2196/47817;2024;1937,52;FALSCH
Bill & Melinda Gates Foundation;10.3389/fpls.2024.1343038;2024;3018,96;FALSCH
Bill & Melinda Gates Foundation;10.3389/frph.2024.1278764;2024;1975,04;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12917-024-03913-3;2024;2479,1;FALSCH
Bill & Melinda Gates Foundation;10.1126/sciadv.adj4399;2024;4150,51;FALSCH
Bill & Melinda Gates Foundation;10.7717/peerj.16949;2024;1483,6;FALSCH
Bill & Melinda Gates Foundation;10.3389/fmolb.2024.1267046;2024;2995,02;FALSCH
Bill & Melinda Gates Foundation;10.1002/tpg2.20433;2024;2552,39;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.15323.1;2024;1079,51;FALSCH
Bill & Melinda Gates Foundation;10.3389/fgwh.2024.1169347;2024;1902,86;FALSCH
Bill & Melinda Gates Foundation;10.3389/fgene.2024.1353289;2024;3018,96;FALSCH
Bill & Melinda Gates Foundation;10.1038/s43016-024-00927-w;2024;11395,9;WAHR
Bill & Melinda Gates Foundation;10.1371/journal.pone.0293963;2024;1658,32;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41591-024-02810-4;2024;11395,84;WAHR
Bill & Melinda Gates Foundation;10.3389/fmicb.2024.1338191;2024;3018,96;FALSCH
Bill & Melinda Gates Foundation;10.3389/fmicb.2024.1370818;2024;3018,96;FALSCH
Bill & Melinda Gates Foundation;10.3389/frph.2024.1249750;2024;1928,68;FALSCH
Bill & Melinda Gates Foundation;10.1002/tpg2.20437;2024;2271,76;FALSCH
Bill & Melinda Gates Foundation;10.1007/s11627-024-10413-4;2024;3514,26;WAHR
Bill & Melinda Gates Foundation;10.4269/ajtmh.23-0406;2024;3338,1;WAHR
Bill & Melinda Gates Foundation;10.1038/s41562-024-01835-6;2024;11344,28;WAHR
Bill & Melinda Gates Foundation;10.12688/gatesopenres.13328.3;2021;991,65;FALSCH
Bill & Melinda Gates Foundation;10.1186/s40249-024-01183-7;2024;2095,59;FALSCH
Bill & Melinda Gates Foundation;10.3389/fimmu.2024.1325387;2024;3059,93;FALSCH
Bill & Melinda Gates Foundation;10.3389/ijph.2023.1606491;2024;2467,6;FALSCH
Bill & Melinda Gates Foundation;10.4269/ajtmh.23-0349;2024;3866,1;WAHR
Bill & Melinda Gates Foundation;10.1038/s41598-024-53791-w;2024;2401,56;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.14573.2;2023;1074,05;FALSCH
Bill & Melinda Gates Foundation;10.1001/jamanetworkopen.2023.55465;2024;2741,78;FALSCH
Bill & Melinda Gates Foundation;10.3389/fsufs.2024.1260167;2024;1975,04;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12889-024-17878-3;2024;2944,53;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41598-024-53916-1;2024;2401,56;FALSCH
Bill & Melinda Gates Foundation;10.7189/jogh.14.04022;2023;3061,22;FALSCH
Bill & Melinda Gates Foundation;10.3389/fpsyt.2023.1209836;2023;3046,05;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12887-023-04521-0;2024;2587,01;FALSCH
Bill & Melinda Gates Foundation;10.1371/journal.pone.0292802;2023;1625,58;FALSCH
Bill & Melinda Gates Foundation;10.1371/journal.pgph.0002494;2024;1947,21;FALSCH
Bill & Melinda Gates Foundation;10.3389/fnut.2024.1288748;2024;3059,93;FALSCH
Bill & Melinda Gates Foundation;10.3389/fpubh.2024.1334881;2024;3059,93;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12978-024-01750-z;2024;2865,19;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41598-024-52323-w;2024;2396,66;FALSCH
Bill & Melinda Gates Foundation;10.1186/s13073-024-01290-y;2024;4014,97;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41467-024-45074-9;2024;6295,99;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41467-024-45152-y;2024;5368,75;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.14499.2;2023;778,92;FALSCH
Bill & Melinda Gates Foundation;10.3389/fgene.2023.1332691;2024;1223,97;FALSCH
Bill & Melinda Gates Foundation;10.7189/jogh.14.04009;2023;3012,84;FALSCH
Bill & Melinda Gates Foundation;10.7189/jogh.14.04032;2023;3007,1;FALSCH
Bill & Melinda Gates Foundation;10.1371/journal.pgph.0002853;2024;1947,21;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41598-024-52239-5;2024;2470,68;FALSCH
Bill & Melinda Gates Foundation;10.1136/bmjgh-2023-013691;2024;3957,3;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.chembiol.2023.10.025;2024;8133,93;WAHR
Bill & Melinda Gates Foundation;10.1016/j.celrep.2024.113706;2024;4995;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.epidem.2024.100749;2024;2616,43;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.vaccine.2024.01.094;2024;3302,55;WAHR
Bill & Melinda Gates Foundation;10.1016/j.eti.2024.103563;2024;2195,6;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.lana.2023.100673;2024;3709;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.ssmph.2024.101618;2024;2524,94;FALSCH
Bill & Melinda Gates Foundation;10.3389/fmicb.2024.1346068;2024;3059,93;FALSCH
Bill & Melinda Gates Foundation;10.1186/s40249-024-01181-9;2024;2473,77;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.ijid.2023.11.022;2024;2284,81;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.ijid.2023.11.039;2024;2284,81;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.stem.2023.12.012;2024;8553,71;WAHR
Bill & Melinda Gates Foundation;10.1016/j.gastha.2024.02.003;2024;1829,67;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41558-023-01902-2;2024;10839,55;WAHR
Bill & Melinda Gates Foundation;10.1136/bmjopen-2023-074370;2024;2679,75;FALSCH
Bill & Melinda Gates Foundation;10.1136/bmjpo-2023-002317;2024;2660,25;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12916-023-03214-w;2024;2985,73;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.cdnut.2024.102088;2024;3659,34;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12889-024-17663-2;2024;2957,91;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.jpeds.2023.113816;2023;4012,85;WAHR
Bill & Melinda Gates Foundation;10.1016/j.jpeds.2023.113800;2023;4012,85;WAHR
Bill & Melinda Gates Foundation;10.1016/s2214-109x(23)00470-9;2024;5359,51;FALSCH
Bill & Melinda Gates Foundation;10.1136/bmjgh-2024-015212;2024;2067,76;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41467-024-44907-x;2024;4738,22;FALSCH
Bill & Melinda Gates Foundation;10.1136/bmjgh-2023-014140;2024;4105,43;FALSCH
Bill & Melinda Gates Foundation;10.1109/tcyb.2023.3243999;2023;3238,55;WAHR
Bill & Melinda Gates Foundation;10.1016/j.jvacx.2024.100456;2024;2305,38;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.worlddev.2023.106448;2023;3492,66;WAHR
Bill & Melinda Gates Foundation;10.1016/j.heliyon.2024.e25331;2024;1921,15;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41598-024-53121-0;2024;1937,94;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12863-024-01195-0;2024;1937,94;FALSCH
Bill & Melinda Gates Foundation;10.3389/fmed.2024.1297001;2024;3059,93;FALSCH
Bill & Melinda Gates Foundation;10.3389/fimmu.2024.1348905;2024;3059,93;FALSCH
Bill & Melinda Gates Foundation;10.1371/journal.pgph.0002845;2024;1947,21;FALSCH
Bill & Melinda Gates Foundation;10.1007/s00122-024-04545-9;2024;4348,78;WAHR
Bill & Melinda Gates Foundation;10.4102/phcfm.v16i1.4007;2023;1164,31;FALSCH
Bill & Melinda Gates Foundation;10.3389/fsufs.2023.1238776;2024;1897,38;FALSCH
Bill & Melinda Gates Foundation;10.1128/spectrum.02515-23;2024;3362,45;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12936-024-04856-8;2024;1253,32;FALSCH
Bill & Melinda Gates Foundation;10.3389/fsufs.2024.1331188;2024;1975,04;FALSCH
Bill & Melinda Gates Foundation;10.1186/s13031-024-00572-x;2024;1993,58;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.15184.1;2024;1078,43;FALSCH
Bill & Melinda Gates Foundation;10.3389/fitd.2024.1287025;2024;1975,04;FALSCH
Bill & Melinda Gates Foundation;10.1371/journal.pdig.0000434;2024;2392,29;FALSCH
Bill & Melinda Gates Foundation;10.1186/s13071-024-06119-6;2024;2614,22;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41467-024-44950-8;2024;6295,99;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12967-024-04876-7;2024;3236,09;FALSCH
Bill & Melinda Gates Foundation;10.7189/jogh.14.04011;2023;3046,79;FALSCH
Bill & Melinda Gates Foundation;10.3389/fmmed.2024.1345510;2024;1975,04;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41598-024-52569-4;2024;2401,56;FALSCH
Bill & Melinda Gates Foundation;10.3389/fimmu.2023.1291048;2024;3018,96;FALSCH
Bill & Melinda Gates Foundation;10.1001/jamanetworkopen.2023.52856;2023;2750,4;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12866-024-03198-4;2024;2298,39;FALSCH
Bill & Melinda Gates Foundation;10.3389/fimmu.2024.1305586;2024;3059,93;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12936-024-04841-1;2024;2587,01;FALSCH
Bill & Melinda Gates Foundation;10.3389/fanim.2024.1338621;2024;1196,15;FALSCH
Bill & Melinda Gates Foundation;10.1057/s41599-024-02620-6;2024;1567,04;FALSCH
Bill & Melinda Gates Foundation;10.3389/fgwh.2024.1328612;2024;1975,04;FALSCH
Bill & Melinda Gates Foundation;10.3389/frhs.2023.1310694;2024;1942,99;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12936-024-04849-7;2024;2587,01;FALSCH
