"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"GEOMAR",2017,4024,"10.1126/sciadv.1602411",FALSE,"American Association for the Advancement of Science (AAAS)","Science Advances","2375-2548",NA,"2375-2548","2375-2548",NA,TRUE,"28508039","PMC5406135","ut:000401954800032",NA,TRUE
"GEOMAR",2017,1609,"10.1002/2017ef000659",FALSE,"American Geophysical Union (AGU)","Earth's Future","2328-4277",NA,NA,"2328-4277","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000422682700006",NA,TRUE
"GEOMAR",2017,1609,"10.1002/2016ef000446",FALSE,"American Geophysical Union (AGU)","Earth's Future","2328-4277",NA,NA,"2328-4277","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000395001800011",NA,TRUE
"GEOMAR",2017,1609,"10.1002/2016ef000449",FALSE,"American Geophysical Union (AGU)","Earth's Future","2328-4277",NA,NA,"2328-4277","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000395001800005",NA,TRUE
"GEOMAR",2017,2231,"10.1002/2016gl070875",TRUE,"American Geophysical Union (AGU)","Geophysical Research Letters","0094-8276",NA,NA,"0094-8276","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000393954900032",NA,FALSE
"GEOMAR",2017,2231,"10.1002/2017gl074825",TRUE,"American Geophysical Union (AGU)","Geophysical Research Letters","0094-8276","0094-8276","1944-8007","0094-8276","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000419102300036",NA,FALSE
"GEOMAR",2017,3125,"10.1002/2017gc006813",TRUE,"American Geophysical Union (AGU)","Geochemistry, Geophysics, Geosystems","1525-2027",NA,NA,"1525-2027","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000405585000013",NA,FALSE
"GEOMAR",2017,3125,"10.1002/2016jc012374",TRUE,"American Geophysical Union (AGU)","Journal of Geophysical Research: Oceans","2169-9275",NA,NA,"2169-9275","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000398063100024",NA,FALSE
"GEOMAR",2017,3125,"10.1002/2016jc012271",TRUE,"American Geophysical Union (AGU)","Journal of Geophysical Research: Oceans","2169-9275",NA,NA,"2169-9275","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000400678900007",NA,FALSE
"GEOMAR",2017,715,"10.1175/jcli-d-16-0790.1",TRUE,"American Meteorological Society","Journal of Climate","0894-8755","0894-8755","1520-0442","0894-8755","http://www.ametsoc.org/PUBSReuseLicenses",TRUE,NA,NA,"ut:000404018600019",NA,FALSE
"GEOMAR",2017,715,"10.1175/jcli-d-16-0742.1",TRUE,"American Meteorological Society","Journal of Climate","0894-8755","0894-8755","1520-0442","0894-8755","http://www.ametsoc.org/PUBSReuseLicenses",TRUE,NA,NA,"ut:000416488200027",NA,FALSE
"GEOMAR",2017,894,"10.1128/genomea.00268-17",FALSE,"American Society for Microbiology","Genome Announcements","2169-8287",NA,"2169-8287","2169-8287",NA,TRUE,"28450525","PMC5408123","ut:000460695300027",NA,FALSE
