"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"HafenCity Universität Hamburg",2020,2188.92,"10.1007/s41064-020-00091-3",TRUE,"Springer Nature","PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science","2512-2789","2512-2789","2512-2819","2512-2789","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2021,1855.1,"10.1007/s42489-021-00072-5",TRUE,"Springer Nature","KN - Journal of Cartography and Geographic Information","2524-4957","2524-4957","2524-4965","2524-4957","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2021,1855.1,"10.1007/s42489-021-00076-1",TRUE,"Springer Nature","KN - Journal of Cartography and Geographic Information","2524-4957","2524-4957","2524-4965","2524-4957","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2021,1855.1,"10.1007/s42489-021-00093-0",TRUE,"Springer Nature","KN - Journal of Cartography and Geographic Information","2524-4957","2524-4957","2524-4965","2524-4957","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2021,1855.1,"10.1007/s42489-021-00078-z",TRUE,"Springer Nature","KN - Journal of Cartography and Geographic Information","2524-4957","2524-4957","2524-4965","2524-4957","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2021,1855.1,"10.1007/s42489-021-00092-1",TRUE,"Springer Nature","KN - Journal of Cartography and Geographic Information","2524-4957","2524-4957","2524-4965","2524-4957","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2021,1855.1,"10.1007/s42489-021-00084-1",TRUE,"Springer Nature","KN - Journal of Cartography and Geographic Information","2524-4957","2524-4957","2524-4965","2524-4957","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2022,1887.54,"10.1007/s42489-022-00111-9",TRUE,"Springer Nature","KN - Journal of Cartography and Geographic Information","2524-4957","2524-4957","2524-4965","2524-4957","https://creativecommons.org/licenses/by/4.0",TRUE,"35755310","PMC9205413",NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2022,1887.54,"10.1007/s12518-022-00442-2",TRUE,"Springer Nature","Applied Geomatics","1866-9298","1866-9298","1866-928X","1866-928X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2022,1887.54,"10.1007/s42489-022-00100-y",TRUE,"Springer Nature","KN - Journal of Cartography and Geographic Information","2524-4957","2524-4957","2524-4965","2524-4957","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2022,1887.54,"10.1007/s42489-022-00109-3",TRUE,"Springer Nature","KN - Journal of Cartography and Geographic Information","2524-4957","2524-4957","2524-4965","2524-4957","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2022,1887.54,"10.1007/s12518-022-00438-y",TRUE,"Springer Nature","Applied Geomatics","1866-9298","1866-9298","1866-928X","1866-928X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2023,1265.66,"10.1007/s42489-023-00131-z",TRUE,"Springer Nature","KN - Journal of Cartography and Geographic Information","2524-4957","2524-4957","2524-4965","2524-4957","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2023,1265.66,"10.1007/s12469-023-00342-7",TRUE,"Springer Nature","Public Transport","1866-749X","1866-749X","1613-7159","1613-7159","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"HafenCity Universität Hamburg",2023,1265.66,"10.1007/s42489-022-00127-1",TRUE,"Springer Nature","KN - Journal of Cartography and Geographic Information","2524-4957","2524-4957","2524-4965","2524-4957","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
